西暦,和暦,種別,道路実延長(km),改良済計(km),改良済_19.5m以上(km),改良済_13.0m〜19.5m(km),改良済_5.5m〜13.0m(km),改良済_5.5m未満(km),未改良計(km),未改良_5.5m以上(km),未改良_3.5m〜5.5m(km),未改良_3.5m未満(km),未改良_3.5m未満_うち自動車交通不能(km),舗装道(km),舗装道_セメント系(km),舗装道_アスファルト系(km),簡易舗装道(km),未舗装道(km),道路延長(km),橋りょう_個数(箇所),橋りょう_延長(km),トンネル_個数(箇所),トンネル_延長(km),渡船場_個数(箇所),渡船場_延長(km),歩道設置道路実延長(km),立体横断施設(箇所),鉄道との交差箇所数(箇所)
2010年,平成22年,総数,15353.5,8939.6,45,297.9,3564.2,5032.6,6413.9,42.3,757.7,5613.9,2277.1,5773.5,601.6,5171.9,6957.3,2622.7,15066.4,12403,220.5,154,66.6,1,0.3,2208.7,236,1221
2011年,平成23年,総数,15441.6,9054.4,45.7,301.4,3607.1,5100.3,6387.2,42.5,757,5587.8,2268.6,5835.4,606.7,5228.7,6996.7,2609.4,15146.9,12411,223.8,156,70.9,1,0.3,2247.3,235,1222
2012年,平成24年,総数,15460.4,9097.5,45.7,302.1,3629,5120.6,6363,42,752.8,5568.2,2262.2,5869.7,605.3,5264.4,6990.9,2600,15169,12352,220.4,157,71.1,1,0.3,2260.7,236,1222
2013年,平成25年,総数,15512.3,9168.2,45.8,304.1,3679.1,5139.1,6344.1,41.5,749,5553.7,2212.1,6376.1,605.7,5770.4,6561.9,2574.3,15220.7,12360,220,160,71.5,1,0.3,2288.1,268,1184
2014年,平成26年,総数,15517.2,9210.2,45.7,318.9,3676.9,5168.7,6306.9,41.7,739.7,5525.4,2230.5,6412.1,603.2,5809,6550.6,2554.4,15223.4,12487,222.3,159,71.3,1,0.3,2285.4,269,1188
2014年,平成26年,高速自動車国道,69.4,69.4,-,34.2,35.2,-,-,-,-,-,-,69.4,6.2,63.2,-,-,47.5,120,14.7,9,7.3,-,-,-,-,11
2014年,平成26年,一般国道,930.7,895.4,23.5,136.4,686.1,49.4,35.3,1,16.7,17.6,-,888.7,46.1,842.6,42,-,819.9,1113,65,85,45.9,-,-,505.1,143,67
2014年,平成26年,一般国道_指定区間,365,365,22.7,126.4,215.9,-,-,-,-,-,-,365,10.9,354.1,-,-,302.7,538,47.4,35,15,-,-,241.6,133,42
2014年,平成26年,一般国道_指定区間外,565.7,530.3,0.8,10,470.2,49.4,35.3,1,16.7,17.6,-,523.6,35.2,488.5,42,-,517.2,575,17.6,50,31,-,-,263.5,10,25
2014年,平成26年,府道,2177.4,1489.1,8.4,78.7,1135.2,266.8,688.2,9.4,301,377.8,15.6,1436.6,25.9,1410.7,686,54.8,2127.6,2101,42.3,33,7.4,1,0.3,693.8,60,176
2014年,平成26年,府道_主要地方道,1107.8,856.6,6.3,55.7,658.2,136.3,251.2,4,124.8,122.4,4.9,850.3,9,841.4,245.4,12,1078.3,1025,24.1,21,5.2,-,-,441.5,45,78
2014年,平成26年,府道_一般府道,1069.6,632.6,2.1,23,477,130.5,437,5.4,176.2,255.4,10.7,586.3,17,569.4,440.6,42.9,1049.2,1076,18.2,12,2.2,1,0.3,252.3,15,98
2014年,平成26年,市町村道,12339.6,6756.4,13.9,69.6,1820.4,4852.5,5583.3,31.1,422.1,5130.1,2214.8,4017.5,525.1,3492.5,5822.6,2499.5,12228.5,9153,100.4,32,10.8,-,-,1086.4,66,934
