西暦,和暦,種別,総数_個数(箇所),総数_延長(m),材料別_鋼橋_個数(箇所),材料別_鋼橋_延長(m),材料別_石橋、コンクリート橋_個数(箇所),材料別_石橋、コンクリート橋_延長(m),材料別_木橋_個数(箇所),材料別_木橋_延長(m),材料別_混合橋_個数(箇所),材料別_混合橋_延長(m),材料別_その他_個数(箇所),材料別_その他_延長(m),構造形式別_桁橋_個数(箇所),構造形式別_桁橋_延長(m),構造形式別_トラス橋_個数(箇所),構造形式別_トラス橋_延長(m),構造形式別_アーチ橋_個数(箇所),構造形式別_アーチ橋_延長(m),構造形式別_床版橋_個数(箇所),構造形式別_床版橋_延長(m),構造形式別_その他_個数(箇所),構造形式別_その他_延長(m),橋長別_30m未満_個数(箇所),橋長別_30m未満_延長(m),橋長別_30m以上100m未満_個数(箇所),橋長別_30m以上100m未満_延長(m),橋長別_100m以上_個数(箇所),橋長別_100m以上_延長(m)
2010年,平成22年,総数,2668,167707,1031,80402,1511,75278,29,1212,88,9263,9,1552,2092,125335,21,2642,34,3647,448,26578,73,9505,1480,29964,865,43084,323,94659
2011年,平成23年,総数,2684,172356,1033,83100,1524,76872,29,1212,89,9620,9,1552,2100,128552,21,2642,36,3965,452,26777,75,10420,1486,30096,865,43105,333,99155
2012年,平成24年,総数,2696,173092,1036,82603,1532,77532,29,1212,90,10193,9,1552,2109,128749,21,2642,36,3965,455,27316,75,10420,1489,30149,870,43359,337,99584
2013年,平成25年,総数,2789,190270,1068,87398,1599,92125,25,1135,92,9496,5,116,2169,137966,23,2783,36,3843,486,36353,75,9325,1502,30420,900,44760,387,115090
2014年,平成26年,総数,2824,194952,1097,90100,1625,96032,23,1075,75,7644,4,101,2177,138571,24,2804,38,4373,503,36625,82,12579,1518,30760,913,45400,393,118792
2014年,平成26年,高速自動車国道,106,21185,36,8363,70,12822,-,-,-,-,-,-,61,11983,1,78,3,749,32,7312,9,1063,15,314,34,1752,57,19119
2014年,平成26年,一般国道,562,78560,243,34700,301,39590,-,-,16,4226,2,44,413,49444,6,1438,13,1534,110,19657,20,6487,176,3574,186,9981,200,65005
2014年,平成26年,一般国道_指定区間,338,63080,141,26842,182,32582,-,-,15,3656,-,-,232,38748,2,670,8,759,86,18573,10,4330,77,1602,92,4857,169,56621
2014年,平成26年,一般国道_指定区間外,224,15480,102,7858,119,7008,-,-,1,570,2,44,181,10696,4,768,5,775,24,1084,10,2157,99,1972,94,5124,31,8384
2014年,平成26年,府道,615,34191,271,18935,329,12958,1,356,14,1942,-,-,491,27848,7,800,16,1552,83,2226,18,1765,317,6454,231,11698,67,16039
2014年,平成26年,府道_主要地方道,333,20012,142,10878,181,7451,-,-,10,1683,-,-,271,16889,5,593,7,848,40,950,10,732,165,3440,130,6560,38,10012
2014年,平成26年,府道_一般府道,282,14179,129,8057,148,5507,1,356,4,259,-,-,220,10959,2,207,9,704,43,1276,8,1033,152,3014,101,5138,29,6027
2014年,平成26年,市町村道,1541,61016,547,28102,925,30662,22,719,45,1476,2,57,1212,49296,10,488,6,538,278,7430,35,3264,1010,20418,462,21969,69,18629
