西暦,和暦,年月等,総数_建築物の数(むね),総数_床面積の合計(m2),総数_工事費予定額(万円),国_建築物の数(むね),国_床面積の合計(m2),国_工事費予定額(万円),府_建築物の数(むね),府_床面積の合計(m2),府_工事費予定額(万円),市区町村_建築物の数(むね),市区町村_床面積の合計(m2),市区町村_工事費予定額(万円),会社_建築物の数(むね),会社_床面積の合計(m2),会社_工事費予定額(万円),会社でない団体_建築物の数(むね),会社でない団体_床面積の合計(m2),会社でない団体_工事費予定額(万円),個人_建築物の数(むね),個人_床面積の合計(m2),個人_工事費予定額(万円)
2011年度,平成23年度,年度次,10274,2210449,36683529,30,17425,337321,59,14745,252299,203,52415,760193,3894,1092301,17192885,319,247969,4297324,5769,785594,13843507
2012年度,平成24年度,年度次,10229,2185514,37236717,22,13479,147565,77,24446,517472,120,58259,1407539,3860,988917,15028158,316,288423,5917852,5834,811990,14218131
2013年度,平成25年度,年度次,11736,2995062,53831687,11,24912,838810,68,54459,1519297,200,104069,2927872,4323,1546801,24245122,309,296106,6995202,6825,968715,17305384
2014年度,平成26年度,年度次,10057,2353771,46765201,20,13827,176040,56,21001,535337,213,132689,3511952,3793,1113812,20584367,347,243317,6637603,5628,829125,15319902
2015年度,平成27年度,年度次,10439,2329090,48341127,30,21791,778339,46,25406,539821,167,39229,953091,4168,1249387,26514810,275,160174,3977898,5753,833103,15577168
2015年度,平成27年度,4月,825,193347,4021501,-,-,-,5,11312,183650,10,1649,44824,335,97310,2190771,28,16187,353615,447,66889,1248641
2015年度,平成27年度,5月,862,244401,4732348,-,-,-,6,9055,235850,6,406,11724,354,147005,2672193,18,16017,443875,478,71918,1368706
2015年度,平成27年度,6月,964,184085,3396690,3,1053,11922,1,216,6500,14,2746,93471,403,98791,1749359,40,8150,154215,503,73129,1381223
2015年度,平成27年度,7月,958,209398,4037112,-,-,-,2,120,2007,9,2417,48963,337,91678,1502679,34,30026,883914,576,85157,1599549
2015年度,平成27年度,8月,857,170733,3520072,21,19835,760233,9,955,32032,20,4402,101117,354,76559,1244149,16,10207,262780,437,58775,1119761
2015年度,平成27年度,9月,1038,189062,3516536,-,-,-,4,429,6499,51,3301,71175,374,84218,1502937,30,10360,314300,579,90754,1621625
2015年度,平成27年度,10月,912,171016,3213757,-,-,-,2,105,742,12,1632,38934,349,82848,1513217,16,9987,225425,533,76444,1435439
2015年度,平成27年度,11月,947,226038,4340559,-,-,-,5,271,5353,11,9717,365185,399,128240,2281061,18,11934,253030,514,75876,1435930
2015年度,平成27年度,12月,801,170873,3123330,-,-,-,-,-,-,6,2047,57351,321,105278,1927177,15,4022,44419,459,59526,1094383
2015年度,平成27年度,1月,710,225040,7542660,1,23,234,7,2736,65800,18,9420,100847,296,147281,6078026,18,11707,272137,370,53873,1025616
2015年度,平成27年度,2月,743,198457,4138205,3,243,1400,2,102,660,8,1244,16020,299,111014,2369097,20,25197,640155,411,60657,1110873
2015年度,平成27年度,3月,822,146640,2758357,2,637,4550,3,105,728,2,248,3480,347,79165,1484144,22,6380,130033,446,60105,1135422
