西暦,和暦,用途,建築物の数(むね),床面積の合計(m2),工事費予定額(万円)
2011年度,平成23年度,総数,10274,2210449,36683529
2011年度,平成23年度,居住専用住宅,8727,1220089,20638191
2011年度,平成23年度,居住専用準住宅,61,23599,410958
2011年度,平成23年度,居住産業併用,150,71975,1164156
2011年度,平成23年度,農林水産業用,86,11409,100028
2011年度,平成23年度,"鉱業,採石業,砂利採取業,建設業用",40,21072,282370
2011年度,平成23年度,製造業用,174,172548,3013233
2011年度,平成23年度,電気・ガス・熱供給・水道業用,23,2743,33870
2011年度,平成23年度,情報通信業用,24,10298,145930
2011年度,平成23年度,運輸業用,33,61655,603510
2011年度,平成23年度,"卸売業,小売業用",151,145757,1694739
2011年度,平成23年度,"金融業,保険業用",9,9363,207030
2011年度,平成23年度,不動産業用,39,15000,248440
2011年度,平成23年度,"宿泊業,飲食サービス業用",48,40154,1050493
2011年度,平成23年度,"教育,学習支援業用",188,100442,1724156
2011年度,平成23年度,"医療,福祉用",199,226875,4259131
2011年度,平成23年度,その他のサービス業用,172,57454,755481
2011年度,平成23年度,公務用,101,11979,240197
2011年度,平成23年度,他に分類されない,49,8037,111616
2012年度,平成24年度,総数,10229,2185514,37236717
2012年度,平成24年度,居住専用住宅,8702,1275211,21535673
2012年度,平成24年度,居住専用準住宅,32,23568,482617
2012年度,平成24年度,居住産業併用,180,74853,1300002
2012年度,平成24年度,農林水産業用,69,13613,78364
2012年度,平成24年度,"鉱業,採石業,砂利採取業,建設業用",29,11700,99510
2012年度,平成24年度,製造業用,149,105301,1075502
2012年度,平成24年度,電気・ガス・熱供給・水道業用,14,2598,47710
2012年度,平成24年度,情報通信業用,7,7534,295406
2012年度,平成24年度,運輸業用,41,24430,272307
2012年度,平成24年度,"卸売業,小売業用",197,110383,1275697
2012年度,平成24年度,"金融業,保険業用",14,16419,519960
2012年度,平成24年度,不動産業用,61,46148,970558
2012年度,平成24年度,"宿泊業,飲食サービス業用",57,26807,554678
2012年度,平成24年度,"教育,学習支援業用",169,187229,4102513
2012年度,平成24年度,"医療,福祉用",186,138396,2527611
2012年度,平成24年度,その他のサービス業用,186,83156,1434914
2012年度,平成24年度,公務用,109,34925,604036
2012年度,平成24年度,他に分類されない,27,3243,59659
2013年度,平成25年度,総数,11736,2995062,53831687
2013年度,平成25年度,居住専用住宅,9950,1603376,27209990
2013年度,平成25年度,居住専用準住宅,30,18395,424609
2013年度,平成25年度,居住産業併用,204,121712,2232200
2013年度,平成25年度,農林水産業用,109,11016,103070
2013年度,平成25年度,"鉱業,採石業,砂利採取業,建設業用",28,6134,48550
2013年度,平成25年度,製造業用,154,135729,2187033
2013年度,平成25年度,電気・ガス・熱供給・水道業用,28,9382,142656
2013年度,平成25年度,情報通信業用,17,22708,602626
2013年度,平成25年度,運輸業用,59,42123,641726
2013年度,平成25年度,"卸売業,小売業用",263,367032,4163107
2013年度,平成25年度,"金融業,保険業用",17,7004,242730
2013年度,平成25年度,不動産業用,55,21594,387245
2013年度,平成25年度,"宿泊業,飲食サービス業用",74,73177,2256306
2013年度,平成25年度,"教育,学習支援業用",202,179894,4007196
2013年度,平成25年度,"医療,福祉用",159,219440,5908582
2013年度,平成25年度,その他のサービス業用,249,102301,1545023
2013年度,平成25年度,公務用,103,48648,1568042
2013年度,平成25年度,他に分類されない,35,5397,160996
2014年度,平成26年度,総数,10057,2353771,46765201
2014年度,平成26年度,居住専用住宅,8405,1323581,23834810
2014年度,平成26年度,居住専用準住宅,23,13966,295802
2014年度,平成26年度,居住産業併用,159,81084,1579875
2014年度,平成26年度,農林水産業用,62,6555,72278
2014年度,平成26年度,"鉱業,採石業,砂利採取業,建設業用",45,10867,112636
2014年度,平成26年度,製造業用,155,150530,3341922
2014年度,平成26年度,電気・ガス・熱供給・水道業用,35,4782,86334
2014年度,平成26年度,情報通信業用,10,5599,128600
2014年度,平成26年度,運輸業用,41,25899,694691
2014年度,平成26年度,"卸売業,小売業用",181,98054,1530340
2014年度,平成26年度,"金融業,保険業用",11,3464,88598
2014年度,平成26年度,不動産業用,68,79009,761841
2014年度,平成26年度,"宿泊業,飲食サービス業用",83,56150,1886257
2014年度,平成26年度,"教育,学習支援業用",195,139392,3976306
2014年度,平成26年度,"医療,福祉用",179,154108,4016026
2014年度,平成26年度,その他のサービス業用,222,124830,2411196
2014年度,平成26年度,公務用,126,67059,1703309
2014年度,平成26年度,他に分類されない,57,8842,244380
2015年度,平成27年度,総数,10439,2329090,48341127
2015年度,平成27年度,居住専用住宅,8744,1396830,26155539
2015年度,平成27年度,居住専用準住宅,32,23984,519680
2015年度,平成27年度,居住産業併用,166,83762,1905562
2015年度,平成27年度,農林水産業用,79,13317,144673
2015年度,平成27年度,"鉱業,採石業,砂利採取業,建設業用",44,8796,119110
2015年度,平成27年度,製造業用,218,175230,3445871
2015年度,平成27年度,電気・ガス・熱供給・水道業用,32,7747,137886
2015年度,平成27年度,情報通信業用,24,6811,69909
2015年度,平成27年度,運輸業用,60,53894,520065
2015年度,平成27年度,"卸売業,小売業用",198,115644,1728587
2015年度,平成27年度,"金融業,保険業用",48,59150,4296632
2015年度,平成27年度,不動産業用,102,28093,508020
2015年度,平成27年度,"宿泊業,飲食サービス業用",90,54644,1519166
2015年度,平成27年度,"教育,学習支援業用",139,99726,2500052
2015年度,平成27年度,"医療,福祉用",145,100191,2481479
2015年度,平成27年度,その他のサービス業用,185,55875,926816
2015年度,平成27年度,公務用,109,42625,1319169
2015年度,平成27年度,他に分類されない,24,2771,42911
