西暦,和暦,地域コード,地域,総数_建築物の数(むね),総数_床面積の合計(m2),総数_工事費予定額(万円),木造_建築物の数(むね),木造_床面積の合計(m2),木造_工事費予定額(万円),鉄骨鉄筋コンクリート造_建築物の数(むね),鉄骨鉄筋コンクリート造_床面積の合計(m2),鉄骨鉄筋コンクリート造_工事費予定額(万円),鉄筋コンクリート造_建築物の数(むね),鉄筋コンクリート造_床面積の合計(m2),鉄筋コンクリート造_工事費予定額(万円),鉄骨造_建築物の数(むね),鉄骨造_床面積の合計(m2),鉄骨造_工事費予定額(万円),コンクリートブロック造_建築物の数(むね),コンクリートブロック造_床面積の合計(m2),コンクリートブロック造_工事費予定額(万円),その他_建築物の数(むね),その他_床面積の合計(m2),その他_工事費予定額(万円)
2011年度,平成23年度,26000,京都府,10274,2210449,36683529,7614,837350,13753356,19,96245,2334704,360,509177,9662723,2090,750854,10811116,11,464,3632,180,16359,117998
2012年度,平成24年度,26000,京都府,10229,2185514,37236717,7690,858744,13908828,11,41517,911544,368,594868,11065362,1944,675002,11223612,15,584,8523,201,14799,118848
2013年度,平成25年度,26000,京都府,11736,2995062,53831687,8654,980237,16256327,26,124918,3583643,425,785111,16578404,2436,1095570,17351557,14,503,5038,181,8723,56718
2014年度,平成26年度,26000,京都府,10057,2353771,46765201,7213,815699,13612823,18,19503,466995,331,556260,13224797,2219,945396,19254796,17,1164,24800,259,15749,180990
2015年度,平成27年度,26000,京都府,10439,2329090,48341127,7660,882282,14882278,16,46898,984535,322,475113,11515640,2174,908158,20840752,11,372,3017,256,16267,114905
2015年度,平成27年度,26100,京都市,5053,1244544,25018585,3657,413077,6976584,10,39247,762100,218,319708,7647193,1051,461805,9555070,2,28,X,115,10679,77258
2015年度,平成27年度,26101,京都市北区,462,96531,2178801,395,44692,724755,1,6651,X,16,9820,247400,46,35205,1056229,-,-,-,4,163,X
2015年度,平成27年度,26102,京都市上京区,250,88073,2093059,186,21191,359973,-,-,-,27,54278,1453069,36,12506,X,-,-,-,1,98,X
2015年度,平成27年度,26103,京都市左京区,610,141982,3036960,455,53528,971115,1,4188,X,39,56719,1452804,88,22880,509482,1,13,X,26,4654,16479
2015年度,平成27年度,26104,京都市中京区,311,127272,2811983,163,20521,333782,2,1751,X,29,53831,1194862,105,50459,1240060,-,-,-,12,710,7279
2015年度,平成27年度,26105,京都市東山区,118,43743,1000244,79,10967,X,-,-,-,5,12195,363900,32,20526,X,-,-,-,2,55,X
2015年度,平成27年度,26110,京都市山科区,481,92047,1604692,361,39483,666378,1,8266,X,8,6637,140585,98,36315,615860,-,-,-,13,1346,X
2015年度,平成27年度,26106,京都市下京区,208,73168,1659706,116,13288,X,-,-,-,25,36740,855507,66,23125,580951,-,-,-,1,15,X
2015年度,平成27年度,26107,京都市南区,412,118260,2454543,255,26809,445900,-,-,-,19,26043,583200,127,65264,1423410,-,-,-,11,144,2033
2015年度,平成27年度,26108,京都市右京区,728,137115,2645745,566,60570,1023697,2,16207,X,20,24116,513415,132,35856,804998,-,-,-,8,366,4535
2015年度,平成27年度,26111,京都市西京区,552,76882,1414917,438,45205,749051,2,1452,X,3,2310,56500,102,27822,586335,-,-,-,7,93,1031
2015年度,平成27年度,26109,京都市伏見区,921,249471,4117935,643,76823,1274931,1,732,X,27,37019,785951,219,131847,2027915,1,15,X,30,3035,20838
