西暦,和暦,年月等,新設(戸),新設_新築(戸),新設_増築(戸),新設_改築(戸),その他(件),その他_増築(件),その他_改築(件)
2011年度,平成23年度,年度次,15036,14769,256,11,565,547,18
2012年度,平成24年度,年度次,16036,15648,355,33,442,435,7
2013年度,平成25年度,年度次,19582,19262,269,51,546,526,20
2014年度,平成26年度,年度次,16826,16600,146,80,514,509,5
2015年度,平成27年度,年度次,17490,17163,290,37,522,520,2
2015年度,平成27年度,4月,1374,1315,43,16,46,46,-
2015年度,平成27年度,5月,2099,2070,27,2,45,44,1
2015年度,平成27年度,6月,1700,1666,33,1,38,38,-
2015年度,平成27年度,7月,1834,1810,21,3,43,43,-
2015年度,平成27年度,8月,1219,1145,72,2,42,42,-
2015年度,平成27年度,9月,1614,1599,12,3,75,75,-
2015年度,平成27年度,10月,1515,1504,9,2,49,49,-
2015年度,平成27年度,11月,1451,1431,16,4,30,30,-
2015年度,平成27年度,12月,1114,1102,11,1,39,39,-
2015年度,平成27年度,1月,1172,1160,11,1,37,37,-
2015年度,平成27年度,2月,1313,1300,13,-,39,39,-
2015年度,平成27年度,3月,1085,1061,22,2,39,38,1
