西暦,和暦,年月等,総計_一戸建_戸数(戸),総計_一戸建_床面積の合計(m2),総計_長屋建_戸数(戸),総計_長屋建_床面積の合計(m2),総計_共同住宅_戸数(戸),総計_共同住宅_床面積の合計(m2),専用住宅_一戸建_戸数(戸),専用住宅_一戸建_床面積の合計(m2),専用住宅_長屋建_戸数(戸),専用住宅_長屋建_床面積の合計(m2),専用住宅_共同住宅_戸数(戸),専用住宅_共同住宅_床面積の合計(m2),併用住宅_一戸建_戸数(戸),併用住宅_一戸建_床面積の合計(m2),併用住宅_長屋建_戸数(戸),併用住宅_長屋建_床面積の合計(m2),併用住宅_共同住宅_戸数(戸),併用住宅_共同住宅_床面積の合計(m2)
2011年度,平成23年度,年度次,7826,855582,587,35436,6623,357515,7757,846479,587,35436,5994,324052,69,9103,-,-,629,33463
2012年度,平成24年度,年度次,7920,868501,604,31138,7512,415936,7822,855479,600,30727,6729,380867,98,13022,4,411,783,35069
2013年度,平成25年度,年度次,8907,982479,824,47248,9851,623263,8782,967364,822,46968,8447,547099,125,15115,2,280,1404,76164
2014年度,平成26年度,年度次,7366,809366,898,52413,8562,497239,7264,797609,898,52413,7674,453114,102,11757,-,-,888,44125
2015年度,平成27年度,年度次,7704,841003,900,49115,8886,527605,7586,826826,898,48874,8077,489470,118,14177,2,241,809,38135
2015年度,平成27年度,4月,617,66623,44,2555,713,42319,606,65259,44,2555,676,41361,11,1364,-,-,37,958
2015年度,平成27年度,5月,637,69791,79,4328,1383,91646,631,69152,79,4328,1284,87428,6,639,-,-,99,4218
2015年度,平成27年度,6月,720,78224,74,3781,906,57207,708,76970,74,3781,775,50592,12,1254,-,-,131,6615
2015年度,平成27年度,7月,699,76221,91,5406,1044,57541,693,75512,91,5406,970,53484,6,709,-,-,74,4057
2015年度,平成27年度,8月,631,67085,55,3163,533,29260,624,66364,55,3163,477,27190,7,721,-,-,56,2070
2015年度,平成27年度,9月,753,83540,46,2742,815,42500,742,81806,44,2501,750,39078,11,1734,2,241,65,3422
2015年度,平成27年度,10月,674,73264,97,5160,744,42791,665,72291,97,5160,650,39562,9,973,-,-,94,3229
2015年度,平成27年度,11月,701,76384,94,4995,656,37605,689,74768,94,4995,644,37270,12,1616,-,-,12,335
2015年度,平成27年度,12月,607,66418,63,3443,444,30654,596,65238,63,3443,444,30654,11,1180,-,-,-,-
2015年度,平成27年度,1月,485,53805,98,4710,589,35987,476,52664,98,4710,443,27324,9,1141,-,-,146,8663
2015年度,平成27年度,2月,545,61443,99,5360,669,42893,535,60194,99,5360,655,42151,10,1249,-,-,14,742
2015年度,平成27年度,3月,635,68205,60,3472,390,17202,621,66608,60,3472,309,13376,14,1597,-,-,81,3826
