西暦,和暦,地域コード,地域,総計_戸数(戸),総計_床面積の合計(m2),持家_戸数(戸),持家_床面積の合計(m2),貸家_戸数(戸),貸家_床面積の合計(m2),給与住宅_戸数(戸),給与住宅_床面積の合計(m2),分譲住宅_戸数(戸),分譲住宅_床面積の合計(m2)
2011年度,平成23年度,26000,京都府,15036,1248533,4572,537643,5080,232082,56,4676,5328,474132
2012年度,平成24年度,26000,京都府,16036,1315575,4742,556111,5713,270850,232,13672,5349,474942
2013年度,平成25年度,26000,京都府,19582,1652990,5453,639376,7225,354506,209,21556,6695,637552
2014年度,平成26年度,26000,京都府,16826,1359018,4382,514455,7037,363238,76,5915,5331,475410
2015年度,平成27年度,26000,京都府,17490,1417723,4663,544942,6569,312690,295,16206,5963,543885
2015年度,平成27年度,26100,京都市,10265,768079,1824,215700,4555,208696,134,6367,3752,337316
2015年度,平成27年度,26101,京都市北区,813,70088,191,24506,278,12488,-,-,344,33094
2015年度,平成27年度,26102,京都市上京区,838,58503,98,11782,408,15628,19,875,313,30218
2015年度,平成27年度,26103,京都市左京区,1177,92435,267,33153,574,26829,2,148,334,32305
2015年度,平成27年度,26104,京都市中京区,1116,78484,100,11720,572,26610,-,-,444,40154
2015年度,平成27年度,26105,京都市東山区,192,15403,41,5159,109,5765,4,893,38,3586
2015年度,平成27年度,26110,京都市山科区,820,64711,175,19856,370,18878,1,100,274,25877
2015年度,平成27年度,26106,京都市下京区,747,48359,74,8482,204,9515,16,1054,453,29308
2015年度,平成27年度,26107,京都市南区,963,60219,102,11182,492,22111,41,1698,328,25228
2015年度,平成27年度,26108,京都市右京区,1343,103902,200,22601,598,26954,1,72,544,54275
2015年度,平成27年度,26111,京都市西京区,603,54412,237,26536,144,7937,-,-,222,19939
2015年度,平成27年度,26109,京都市伏見区,1653,121563,339,40723,806,35981,50,1527,458,43332
2015年度,平成27年度,26201,福知山市,534,44138,248,29160,265,12799,-,-,21,2179
2015年度,平成27年度,26202,舞鶴市,331,31201,206,24248,112,5522,-,-,13,1431
2015年度,平成27年度,26203,綾部市,225,16699,57,6924,159,8835,-,-,9,940
2015年度,平成27年度,26204,宇治市,1135,98948,424,47069,278,13333,58,4882,375,33664
2015年度,平成27年度,26205,宮津市,42,5098,37,4552,-,-,1,207,4,339
2015年度,平成27年度,26206,亀岡市,414,40467,222,25597,91,4970,-,-,101,9900
2015年度,平成27年度,26207,城陽市,416,35490,229,23680,133,6811,1,223,53,4776
2015年度,平成27年度,26208,向日市,897,73063,104,11756,143,8071,96,3657,554,49579
2015年度,平成27年度,26209,長岡京市,542,42366,134,14929,270,14445,2,341,136,12651
2015年度,平成27年度,26210,八幡市,243,24100,102,11641,39,2241,-,-,102,10218
2015年度,平成27年度,26211,京田辺市,557,55339,245,29118,80,3562,1,100,231,22559
2015年度,平成27年度,26212,京丹後市,213,17576,99,12828,114,4748,-,-,-,-
2015年度,平成27年度,26213,南丹市,126,11476,70,7789,43,2377,-,-,13,1310
2015年度,平成27年度,26214,木津川市,993,97431,361,44141,163,8984,1,276,468,44030
2015年度,平成27年度,26303,乙訓郡大山崎町,147,12876,32,3554,49,3371,-,-,66,5951
2015年度,平成27年度,26322,久世郡久御山町,75,7223,54,5811,10,456,-,-,11,956
2015年度,平成27年度,26343,綴喜郡井手町,24,2817,22,2561,-,-,-,-,2,256
2015年度,平成27年度,26344,綴喜郡宇治田原町,27,3172,17,2063,-,-,1,153,9,956
2015年度,平成27年度,26364,相楽郡笠置町,-,-,-,-,-,-,-,-,-,-
2015年度,平成27年度,26365,相楽郡和束町,15,1594,6,1033,9,561,-,-,-,-
2015年度,平成27年度,26366,相楽郡精華町,181,17881,82,10099,56,2908,-,-,43,4874
2015年度,平成27年度,26367,相楽郡南山城村,1,96,1,96,-,-,-,-,-,-
2015年度,平成27年度,26407,船井郡京丹波町,31,3579,31,3579,-,-,-,-,-,-
2015年度,平成27年度,26463,与謝郡伊根町,2,284,2,284,-,-,-,-,-,-
2015年度,平成27年度,26465,与謝郡与謝野町,54,6730,54,6730,-,-,-,-,-,-
