西暦,和暦,種別,建築物の数_木造(むね),建築物の数_非木造(むね),床面積の合計_木造(m2),床面積の合計_非木造(m2),建築物の評価額_木造(万円),建築物の評価額_非木造(万円),建築物の損害見積額(万円),火災_建築物の数_木造(むね),火災_建築物の数_非木造(むね),火災_床面積の合計_木造(m2),火災_床面積の合計_非木造(m2),火災_建築物の損害見積額(万円),風水災_建築物の数_木造(むね),風水災_建築物の数_非木造(むね),風水災_床面積の合計_木造(m2),風水災_床面積の合計_非木造(m2),風水災_建築物の損害見積額(万円),震災・その他_建築物の数_木造(むね),震災・その他_建築物の数_非木造(むね),震災・その他_床面積の合計_木造(m2),震災・その他_床面積の合計_非木造(m2),震災・その他_建築物の損害見積額(万円)
2010年度,平成22年度,除却建築物,1282,362,134104,117826,149439,148330,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011年度,平成23年度,除却建築物,1214,440,133396,154784,122146,276803,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012年度,平成24年度,除却建築物,1238,328,137879,127875,125310,138409,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013年度,平成25年度,除却建築物,1162,477,128686,176888,180686,258353,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014年度,平成26年度,除却建築物,970,396,102103,143472,150996,176125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010年度,平成22年度,災害建築物,89,21,6661,2291,-,-,49846,89,21,6661,2291,49846,-,-,-,-,-,-,-,-,-,-
2011年度,平成23年度,災害建築物,78,16,6788,2024,-,-,41808,77,14,6738,1979,41772,1,2,50,45,36,-,-,-,-,-
2012年度,平成24年度,災害建築物,64,22,5481,3710,-,-,42416,64,22,5481,3710,42416,-,-,-,-,-,-,-,-,-,-
2013年度,平成25年度,災害建築物,60,14,4897,2480,-,-,36110,60,14,4897,2480,36110,-,-,-,-,-,-,-,-,-,-
2014年度,平成26年度,災害建築物,56,13,5095,1427,-,-,34790,56,13,5095,1427,34790,-,-,-,-,-,-,-,-,-,-
