西暦,和暦,発注機関,工事件数_合計(件),工事件数_治山・治水(件),工事件数_農林水産(件),工事件数_道路(含共同溝工事)(件),工事件数_港湾・空港(件),工事件数_下水道(件),工事件数_公園・運動競技場施設(件),工事件数_教育・病院(件),工事件数_住宅・宿舎(件),工事件数_庁舎(件),工事件数_再開発ビル等建設(件),工事件数_土地造成(件),工事件数_鉄道・軌道・自動車交通事業用施設(件),工事件数_郵政事業用施設(件),工事件数_電気・ガス事業用施設(件),工事件数_上・工業用水道(件),工事件数_廃棄物処理施設等(件),工事件数_他に分類されない工事(件),請負契約額_合計(百万円),請負契約額_治山・治水(百万円),請負契約額_農林水産(百万円),請負契約額_道路(含共同溝工事)(百万円),請負契約額_港湾・空港(百万円),請負契約額_下水道(百万円),請負契約額_公園・運動競技場施設(百万円),請負契約額_教育・病院(百万円),請負契約額_住宅・宿舎(百万円),請負契約額_庁舎(百万円),請負契約額_再開発ビル等建設(百万円),請負契約額_土地造成(百万円),請負契約額_鉄道・軌道・自動車交通事業用施設(百万円),請負契約額_郵政事業用施設(百万円),請負契約額_電気・ガス事業用施設(百万円),請負契約額_上・工業用水道(百万円),請負契約額_廃棄物処理施設等(百万円),請負契約額_他に分類されない工事(百万円)
2011年度,平成23年度,合計,1638,211,60,505,15,167,23,244,18,36,-,4,6,3,9,144,26,167,108626,7238,1582,40783,1010,8213,896,23062,3975,5011,-,2841,742,42,86,5743,1235,6166
2012年度,平成24年度,合計,2175,230,50,634,35,187,44,454,29,45,6,20,14,3,23,190,28,183,174047,15917,1859,70394,1471,17481,1279,38273,2219,5493,59,1733,3184,81,361,7749,1240,5256
2013年度,平成25年度,合計,4467,558,35,1110,10,359,91,846,393,365,-,25,27,15,-,350,37,244,279528,39800,716,71380,1407,25853,5840,74538,12299,10787,-,1801,980,307,-,10856,14152,8813
2014年度,平成26年度,合計,3887,579,129,1141,90,330,136,777,56,148,-,5,41,19,-,265,51,120,267291,29323,2047,71709,4350,30892,3939,64481,2217,9212,-,1365,5060,1003,-,14126,22538,5029
2015年度,平成27年度,合計,3231,312,22,868,20,381,86,594,170,166,14,19,31,19,1,312,51,166,238626,22442,839,51107,2246,33365,3022,59317,5851,11623,126,2859,5687,1858,13,15673,7092,15506
2015年度,平成27年度,国,255,45,-,87,9,-,-,26,13,67,-,-,-,-,-,-,-,7,33492,9637,-,6810,1086,-,-,5710,740,4361,-,-,-,-,-,-,-,5148
2015年度,平成27年度,独立行政法人,56,-,-,8,-,-,-,9,26,10,-,3,-,-,-,-,-,1,3335,-,-,1449,-,-,-,504,998,115,-,256,-,-,-,-,-,12
2015年度,平成27年度,政府関連企業等,212,25,-,22,1,7,12,101,3,3,-,1,15,19,1,-,-,3,43981,1068,-12,8360,1116,921,165,24157,272,672,-,118,5154,1858,13,-,-,121
2015年度,平成27年度,府,1004,161,-,366,-,86,19,165,59,57,-,-,-,-,-,22,-,70,39988,5224,-,16406,-,2649,371,5109,1448,1760,-,-,-,-,-,3187,-,3834
2015年度,平成27年度,市区町村,1268,80,21,298,-,186,55,284,43,27,14,12,-,-,-,128,39,81,83177,6513,840,14133,-,9368,2486,23693,1793,952,126,2334,-,-,-,7794,6830,6314
2015年度,平成27年度,地方公営企業,321,-,-,17,9,103,-,10,-,2,-,-,16,-,-,161,1,3,29923,-,-,445,44,20427,-,144,-,3581,-,-,532,-,-,4692,39,19
2015年度,平成27年度,その他,114,-,2,70,-,-,-,-,27,1,-,3,-,-,-,-,10,2,4731,-,11,3504,-,-,-,-,601,183,-,151,-,-,-,-,223,58
