西暦等,和暦等,種別,住宅数_総数(戸),住宅数_一戸建(戸),住宅数_長屋建(戸),住宅数_共同住宅(戸),住宅数_その他(戸)
総数,総数,住宅総数,1135000,641100,30000,461700,2100
1950年以前,昭和25年以前,住宅総数,63400,58800,3300,1000,200
1951年〜1960年,昭和26年〜昭和35年,住宅総数,17000,13600,1200,2200,0
1961年〜1970年,昭和36年〜昭和45年,住宅総数,72700,52800,5100,14600,200
1971年〜1980年,昭和46年〜昭和55年,住宅総数,183400,102600,5900,74600,300
1981年〜1990年,昭和56年〜平成2年,住宅総数,195800,99900,3100,92400,300
1991年〜1995年,平成3年〜平成7年,住宅総数,103300,50800,800,51500,200
1996年〜2000年,平成8年〜平成12年,住宅総数,121400,61300,1000,59000,0
2001年〜2005年,平成13年〜平成17年,住宅総数,110300,60000,1100,49100,100
2006年〜2008年,平成18年〜平成20年,住宅総数,72300,35700,800,35700,100
2009年,平成21年,住宅総数,15900,8200,300,7500,0
2010年,平成22年,住宅総数,15400,8900,400,6000,100
2011年,平成23年,住宅総数,16300,8800,300,7200,-
2012年,平成24年,住宅総数,12500,8700,100,3700,0
2013年1月〜9月,平成25年1月〜9月,住宅総数,10800,5900,300,4600,-
不詳,不詳,住宅総数,124600,65200,6200,52700,500
総数,総数,木造,351300,325500,13800,11300,800
1950年以前,昭和25年以前,木造,50300,47100,2800,200,200
1951年〜1960年,昭和26年〜昭和35年,木造,11100,10100,700,200,0
1961年〜1970年,昭和36年〜昭和45年,木造,37600,34000,2100,1400,100
1971年〜1980年,昭和46年〜昭和55年,木造,66100,62000,1900,2100,100
1981年〜1990年,昭和56年〜平成2年,木造,52500,50300,1000,1100,100
1991年〜1995年,平成3年〜平成7年,木造,22300,21500,300,400,0
1996年〜2000年,平成8年〜平成12年,木造,23000,22100,500,400,0
2001年〜2005年,平成13年〜平成17年,木造,19400,18400,300,700,0
2006年〜2008年,平成18年〜平成20年,木造,12000,11400,300,300,0
2009年,平成21年,木造,2400,2300,100,100,-
2010年,平成22年,木造,3200,3000,100,100,100
2011年,平成23年,木造,2600,2600,0,0,-
2012年,平成24年,木造,2200,2200,0,-,-
2013年1月〜9月,平成25年1月〜9月,木造,1400,1300,0,100,-
不詳,不詳,木造,44900,37300,3600,3900,200
総数,総数,防火木造,293500,272100,7700,13300,400
1950年以前,昭和25年以前,防火木造,10700,10300,400,0,-
1951年〜1960年,昭和26年〜昭和35年,防火木造,3600,3000,400,300,-
1961年〜1970年,昭和36年〜昭和45年,防火木造,19200,17100,1300,700,100
1971年〜1980年,昭和46年〜昭和55年,防火木造,37100,34300,1700,1100,0
1981年〜1990年,昭和56年〜平成2年,防火木造,44100,42100,500,1500,100
1991年〜1995年,平成3年〜平成7年,防火木造,26000,24700,300,1000,0
1996年〜2000年,平成8年〜平成12年,防火木造,34500,33500,300,800,0
2001年〜2005年,平成13年〜平成17年,防火木造,37500,36100,400,1000,0
2006年〜2008年,平成18年〜平成20年,防火木造,23200,21300,200,1600,0
2009年,平成21年,防火木造,5100,5000,0,100,0
2010年,平成22年,防火木造,5600,5300,100,200,0
2011年,平成23年,防火木造,5700,5300,100,300,-
2012年,平成24年,防火木造,6200,6000,0,100,0
2013年1月〜9月,平成25年1月〜9月,防火木造,4400,4200,200,0,-
不詳,不詳,防火木造,30500,23900,1900,4600,100
総数,総数,鉄筋・鉄骨コンクリート造,419600,22600,6500,390000,600
1950年以前,昭和25年以前,鉄筋・鉄骨コンクリート造,1600,900,100,700,0
1951年〜1960年,昭和26年〜昭和35年,鉄筋・鉄骨コンクリート造,1700,300,100,1300,0
1961年〜1970年,昭和36年〜昭和45年,鉄筋・鉄骨コンクリート造,14200,1100,1500,11700,0
1971年〜1980年,昭和46年〜昭和55年,鉄筋・鉄骨コンクリート造,74300,3900,2100,68200,100
1981年〜1990年,昭和56年〜平成2年,鉄筋・鉄骨コンクリート造,86300,3800,1300,81100,200
1991年〜1995年,平成3年〜平成7年,鉄筋・鉄骨コンクリート造,46800,2200,100,44400,0
1996年〜2000年,平成8年〜平成12年,鉄筋・鉄骨コンクリート造,54200,2400,200,51600,0
2001年〜2005年,平成13年〜平成17年,鉄筋・鉄骨コンクリート造,44900,2400,300,42200,100
2006年〜2008年,平成18年〜平成20年,鉄筋・鉄骨コンクリート造,31400,1600,100,29700,0
2009年,平成21年,鉄筋・鉄骨コンクリート造,6700,300,200,6300,-
2010年,平成22年,鉄筋・鉄骨コンクリート造,5700,300,100,5300,-
2011年,平成23年,鉄筋・鉄骨コンクリート造,6000,500,100,5500,-
2012年,平成24年,鉄筋・鉄骨コンクリート造,3400,200,0,3200,-
2013年1月〜9月,平成25年1月〜9月,鉄筋・鉄骨コンクリート造,3600,200,-,3500,-
不詳,不詳,鉄筋・鉄骨コンクリート造,38700,2600,400,35500,200
総数,総数,鉄骨造,67800,19600,1800,46200,300
1950年以前,昭和25年以前,鉄骨造,600,500,0,100,-
1951年〜1960年,昭和26年〜昭和35年,鉄骨造,500,100,-,400,-
1961年〜1970年,昭和36年〜昭和45年,鉄骨造,1600,600,200,800,0
1971年〜1980年,昭和46年〜昭和55年,鉄骨造,5600,2100,200,3200,100
1981年〜1990年,昭和56年〜平成2年,鉄骨造,12500,3600,300,8600,100
1991年〜1995年,平成3年〜平成7年,鉄骨造,8000,2300,0,5700,0
1996年〜2000年,平成8年〜平成12年,鉄骨造,9600,3200,100,6200,-
2001年〜2005年,平成13年〜平成17年,鉄骨造,8300,3000,200,5100,0
2006年〜2008年,平成18年〜平成20年,鉄骨造,4900,1200,200,3500,-
2009年,平成21年,鉄骨造,1500,500,0,900,-
2010年,平成22年,鉄骨造,900,300,100,400,0
2011年,平成23年,鉄骨造,1800,400,100,1200,-
2012年,平成24年,鉄骨造,600,300,-,300,-
2013年1月〜9月,平成25年1月〜9月,鉄骨造,1200,200,0,1000,-
不詳,不詳,鉄骨造,10100,1300,200,8600,100
総数,総数,その他,2800,1500,300,1000,0
1950年以前,昭和25年以前,その他,100,100,-,-,-
1951年〜1960年,昭和26年〜昭和35年,その他,100,100,-,-,-
1961年〜1970年,昭和36年〜昭和45年,その他,100,0,100,-,-
1971年〜1980年,昭和46年〜昭和55年,その他,200,200,0,-,-
1981年〜1990年,昭和56年〜平成2年,その他,300,200,-,100,-
1991年〜1995年,平成3年〜平成7年,その他,100,100,-,-,0
1996年〜2000年,平成8年〜平成12年,その他,100,100,-,0,-
2001年〜2005年,平成13年〜平成17年,その他,200,100,-,100,-
2006年〜2008年,平成18年〜平成20年,その他,800,200,-,600,-
2009年,平成21年,その他,100,100,-,-,-
2010年,平成22年,その他,100,100,-,0,-
2011年,平成23年,その他,100,100,-,100,-
2012年,平成24年,その他,0,0,-,-,-
2013年1月〜9月,平成25年1月〜9月,その他,100,100,0,-,-
不詳,不詳,その他,300,100,100,100,0
