地域コード,地域,種別,住宅数(戸),世帯数(世帯),世帯人員(人),1住宅当たり居住室数(室),1住宅当たり居住室の畳数(畳),1住宅当たり延べ面積(m2),1人当たり居住室の畳数(畳),1室当たり人員(人)
26000,京都府,合計,1135000,1139600,2570800,4.49,30.44,87.86,13.32,0.51
26000,京都府,持ち家,690300,694300,1832300,5.64,38.68,114.3,14.57,0.47
26000,京都府,借家,407600,408100,676800,2.54,16.49,43.08,9.93,0.65
26000,京都府,専用住宅,1104400,1108700,2492900,4.44,30.15,86.02,13.24,0.51
26000,京都府,店舗その他の併用住宅,30600,30800,77900,5.98,41.08,153.78,16.01,0.43
26100,京都市,合計,692800,694800,1437400,3.93,26.39,75.19,12.6,0.53
26100,京都市,持ち家,362900,364500,919200,5.22,35.45,103.76,14,0.49
26100,京都市,借家,301200,301600,471900,2.38,15.48,40.77,9.88,0.66
26100,京都市,専用住宅,673100,675000,1387600,3.87,26.02,73.03,12.5,0.54
26100,京都市,店舗その他の併用住宅,19700,19800,49800,5.81,38.92,148.4,15.25,0.44
26201,福知山市,合計,31560,31630,77050,5.48,37.26,115.92,15.25,0.45
26201,福知山市,持ち家,20920,20970,57500,6.78,46.57,149.14,16.95,0.41
26201,福知山市,借家,10410,10420,19060,2.87,18.55,49.13,10.13,0.64
26201,福知山市,専用住宅,30860,30920,75400,5.46,37,114.38,15.13,0.45
26201,福知山市,店舗その他の併用住宅,700,710,1640,6.45,48.91,183.87,20.79,0.36
26202,舞鶴市,合計,34260,34470,82500,5.36,35.39,107.49,14.52,0.45
26202,舞鶴市,持ち家,22960,23170,59970,6.26,41.84,130.95,16.02,0.42
26202,舞鶴市,借家,9920,9920,20180,3.27,20.46,53.19,10.05,0.62
26202,舞鶴市,専用住宅,33070,33280,79700,5.29,34.98,105.31,14.32,0.46
26202,舞鶴市,店舗その他の併用住宅,1200,1200,2790,7.13,46.41,165.92,20.01,0.33
26203,綾部市,合計,13440,13520,34140,5.97,40.12,129.15,15.77,0.43
26203,綾部市,持ち家,10620,10680,28470,6.71,45.53,149.27,16.98,0.4
26203,綾部市,借家,2790,2810,5630,3.15,19.55,52.56,9.68,0.64
26203,綾部市,専用住宅,12880,12950,32570,5.96,39.86,126.92,15.74,0.42
26203,綾部市,店舗その他の併用住宅,560,560,1580,6.26,46.12,180.15,16.4,0.45
26204,宇治市,合計,73490,73770,185780,4.85,34.07,91.69,13.47,0.52
