地域コード,地域,種別,総数(戸),太陽熱を利用した温水機器等_あり(戸),太陽熱を利用した温水機器等_なし(戸),太陽光を利用した発電機器_あり(戸),太陽光を利用した発電機器_なし(戸),二重サッシ又は複層ガラスの窓_すべての窓にあり(戸),二重サッシ又は複層ガラスの窓_一部の窓にあり(戸),二重サッシ又は複層ガラスの窓_なし(戸)
26000,京都府,合計,1135000,27000,1070900,24900,1073000,84800,131600,881600
26000,京都府,持ち家,690300,25700,664600,23300,667000,72800,115800,501700
26000,京都府,借家,407600,1300,406300,1500,406100,12000,15700,379900
26000,京都府,専用住宅,1104400,26200,1041900,24200,1043900,83100,125800,859200
26000,京都府,店舗その他の併用住宅,30600,900,29000,700,29200,1700,5700,22400
26100,京都市,合計,692800,7300,656900,9000,655100,40700,69200,554300
26100,京都市,持ち家,362900,6500,356400,8200,354700,32100,57700,273100
26100,京都市,借家,301200,800,300400,800,300400,8500,11500,281200
26100,京都市,専用住宅,673100,6900,638100,8700,636300,39700,65500,539800
26100,京都市,店舗その他の併用住宅,19700,400,18700,300,18800,900,3600,14500
26201,福知山市,合計,31560,2740,28590,1120,30210,3120,4470,23740
26201,福知山市,持ち家,20920,2690,18230,1100,19830,2640,3870,14410
26201,福知山市,借家,10410,50,10360,20,10380,480,600,9330
26201,福知山市,専用住宅,30860,2710,27930,1110,29530,3070,4320,23240
26201,福知山市,店舗その他の併用住宅,700,30,660,10,680,50,150,500
26202,舞鶴市,合計,34260,1420,31460,1040,31840,4030,5550,23290
26202,舞鶴市,持ち家,22960,1380,21580,1010,21950,3510,5140,14310
26202,舞鶴市,借家,9920,30,9880,20,9890,520,410,8990
26202,舞鶴市,専用住宅,33070,1340,30350,1030,30670,3990,5240,22470
26202,舞鶴市,店舗その他の併用住宅,1200,70,1110,10,1180,50,310,830
26203,綾部市,合計,13440,2020,11390,620,12780,1400,2070,9930
26203,綾部市,持ち家,10620,1960,8650,590,10020,1280,1950,7390
26203,綾部市,借家,2790,50,2740,30,2760,130,120,2540
26203,綾部市,専用住宅,12880,1940,10900,590,12250,1350,1950,9550
26203,綾部市,店舗その他の併用住宅,560,70,490,30,530,50,120,390
26204,宇治市,合計,73490,1440,69830,2060,69210,6410,8590,56260
26204,宇治市,持ち家,53520,1350,52160,2020,51500,6070,8220,39230
26204,宇治市,借家,17750,90,17670,40,17720,350,370,17030
26204,宇治市,専用住宅,71630,1410,68060,1980,67490,6250,8210,55010
26204,宇治市,店舗その他の併用住宅,1860,30,1770,80,1720,160,390,1250
26205,宮津市,合計,7680,250,7360,140,7470,530,1250,5830
26205,宮津市,持ち家,5900,250,5660,140,5760,500,1190,4220
26205,宮津市,借家,1710,0,1710,-,1710,40,60,1620
26205,宮津市,専用住宅,7270,240,6960,130,7070,500,1180,5520
26205,宮津市,店舗その他の併用住宅,410,10,400,10,410,40,60,310
26206,亀岡市,合計,33770,1680,31380,1690,31380,3850,4930,24280
26206,亀岡市,持ち家,26330,1680,24650,1690,24640,3670,4780,17870
26206,亀岡市,借家,6740,-,6740,-,6740,180,150,6410
26206,亀岡市,専用住宅,33050,1640,30710,1610,30730,3800,4760,23780
26206,亀岡市,店舗その他の併用住宅,720,40,680,80,640,50,170,500
26207,城陽市,合計,29510,910,28080,1190,27800,2540,3530,22920
26207,城陽市,持ち家,23660,810,22850,890,22770,2410,3330,17920
26207,城陽市,借家,5330,100,5230,300,5030,130,200,5000
26207,城陽市,専用住宅,29110,910,27690,1180,27420,2510,3490,22600
26207,城陽市,店舗その他の併用住宅,410,-,390,10,380,30,40,320
26208,向日市,合計,21090,430,20180,770,19840,1680,3490,15430
26208,向日市,持ち家,15770,420,15350,770,15000,1650,3130,10990
26208,向日市,借家,4830,10,4820,-,4830,30,360,4440
26208,向日市,専用住宅,20620,430,19700,770,19360,1680,3410,15030
26208,向日市,店舗その他の併用住宅,480,-,480,-,480,-,80,400
26209,長岡京市,合計,31570,630,30650,950,30320,3390,4610,23280
26209,長岡京市,持ち家,22960,560,22400,850,22110,3120,4280,15570
26209,長岡京市,借家,8310,70,8240,100,8210,280,330,7710
26209,長岡京市,専用住宅,30910,590,30050,950,29690,3360,4510,22770
26209,長岡京市,店舗その他の併用住宅,660,30,600,-,640,30,90,510
26210,八幡市,合計,29650,490,28720,780,28430,2500,3030,23670
26210,八幡市,持ち家,19560,490,19080,740,18820,2350,2800,14410
26210,八幡市,借家,9650,-,9650,30,9610,150,230,9260
26210,八幡市,専用住宅,29310,480,28400,760,28110,2490,3000,23390
26210,八幡市,店舗その他の併用住宅,340,10,320,10,320,20,40,280
26211,京田辺市,合計,29200,1010,27490,1310,27190,3460,4240,20810
26211,京田辺市,持ち家,18590,1000,17590,1270,17320,3130,3500,11960
26211,京田辺市,借家,9910,10,9900,40,9870,330,730,8850
26211,京田辺市,専用住宅,29000,1000,27310,1300,27010,3430,4210,20670
26211,京田辺市,店舗その他の併用住宅,200,10,180,10,180,20,20,140
26212,京丹後市,合計,20530,760,19760,300,20210,1210,3660,15650
26212,京丹後市,持ち家,17730,760,16970,300,17420,940,3550,13230
26212,京丹後市,借家,2790,-,2790,-,2790,260,110,2420
26212,京丹後市,専用住宅,19280,710,18550,280,18990,1150,3450,14670
26212,京丹後市,店舗その他の併用住宅,1250,50,1200,20,1220,60,210,980
26213,南丹市,合計,12980,1320,11190,480,12020,1000,2000,9510
26213,南丹市,持ち家,9400,1300,8100,470,8940,910,1850,6640
26213,南丹市,借家,3100,10,3080,10,3090,80,140,2870
26213,南丹市,専用住宅,12650,1290,10910,470,11720,970,1910,9310
26213,南丹市,店舗その他の併用住宅,330,30,280,10,300,30,80,200
26214,木津川市,合計,25410,1190,23650,1400,23430,4170,3690,16980
26214,木津川市,持ち家,19770,1170,18590,1360,18410,4040,3540,12190
26214,木津川市,借家,5070,20,5050,50,5030,130,150,4800
26214,木津川市,専用住宅,24770,1160,23050,1390,22810,4050,3580,16590
26214,木津川市,店舗その他の併用住宅,640,40,590,10,620,120,110,400
26303,大山崎町,合計,5690,80,5580,160,5500,570,990,4110
26303,大山崎町,持ち家,4590,80,4500,160,4430,520,960,3110
26303,大山崎町,借家,1080,-,1080,-,1080,50,30,1000
26303,大山崎町,専用住宅,5580,80,5470,160,5400,570,960,4020
26303,大山崎町,店舗その他の併用住宅,110,-,110,-,110,-,20,80
26322,久御山町,合計,6260,170,6040,210,6000,300,600,5310
26322,久御山町,持ち家,3770,170,3590,210,3560,290,550,2930
26322,久御山町,借家,2440,-,2440,-,2440,10,50,2380
26322,久御山町,専用住宅,6150,150,5960,190,5920,300,560,5240
26322,久御山町,店舗その他の併用住宅,110,30,80,30,80,-,40,70
26366,精華町,合計,12660,1130,11440,790,11780,2660,2410,7500
26366,精華町,持ち家,10740,1060,9680,730,10010,2450,2340,5940
26366,精華町,借家,1840,70,1760,70,1770,210,70,1560
26366,精華町,専用住宅,12610,1130,11390,790,11730,2660,2400,7460
26366,精華町,店舗その他の併用住宅,50,-,50,-,50,-,10,40
26407,京丹波町,合計,5290,720,4550,210,5060,180,1090,4000
26407,京丹波町,持ち家,4920,700,4220,200,4720,160,1070,3690
26407,京丹波町,借家,350,20,330,10,340,20,20,310
26407,京丹波町,専用住宅,5210,720,4460,200,4980,160,1040,3980
26407,京丹波町,店舗その他の併用住宅,90,-,90,10,70,10,50,30
