西暦,和暦,地域コード,地域,専用住宅数(戸),持ち家(戸),借家(戸),借家_公営(戸),借家_都市再生機構・公社(戸),借家_民営(戸),借家_給与住宅(戸)
1998年,平成10年,26000,京都府,908800,527300,364300,40500,23300,276700,23900
2003年,平成15年,26000,京都府,989400,593100,361700,39600,25000,278600,18500
2008年,平成20年,26000,京都府,1052000,630900,375100,37800,22900,291800,22700
2013年,平成25年,26000,京都府,1104400,690300,407600,35900,22700,332900,16100
2013年,平成25年,26100,京都市,673100,362900,301200,23600,14000,254900,8800
2013年,平成25年,26101,京都市北区,56110,28790,25570,490,-,24530,560
2013年,平成25年,26102,京都市上京区,40940,17950,21930,60,720,20960,190
2013年,平成25年,26103,京都市左京区,81710,38720,36950,1440,200,34350,960
2013年,平成25年,26104,京都市中京区,56300,25810,27960,380,1290,25130,1150
2013年,平成25年,26105,京都市東山区,20080,9130,10200,850,-,9150,210
2013年,平成25年,26106,京都市下京区,44110,16140,25320,420,340,23530,1030
2013年,平成25年,26107,京都市南区,43480,23840,17430,970,920,15080,470
2013年,平成25年,26108,京都市右京区,88510,53510,32080,600,850,30060,580
2013年,平成25年,26109,京都市伏見区,123290,62930,54680,11860,6650,34210,1960
2013年,平成25年,26110,京都市山科区,57700,34830,21370,2450,110,18070,730
2013年,平成25年,26111,京都市西京区,60870,34890,25050,4010,2900,17420,710
2013年,平成25年,26201,福知山市,30860,20270,10370,1080,-,8160,1130
2013年,平成25年,26202,舞鶴市,33070,21840,9850,1810,-,6810,1230
2013年,平成25年,26203,綾部市,12880,10090,2760,600,-,1920,230
2013年,平成25年,26204,宇治市,71630,51840,17630,2590,970,12120,1950
2013年,平成25年,26205,宮津市,7270,5540,1660,350,-,1100,220
2013年,平成25年,26206,亀岡市,33050,25680,6660,770,570,5130,200
2013年,平成25年,26207,城陽市,29110,23310,5290,480,-,4590,220
2013年,平成25年,26208,向日市,20620,15370,4760,520,-,4070,160
2013年,平成25年,26209,長岡京市,30910,22390,8250,130,-,7330,780
2013年,平成25年,26210,八幡市,29310,19300,9570,560,4460,4440,120
2013年,平成25年,26211,京田辺市,29000,18410,9900,1550,-,8170,180
2013年,平成25年,26212,京丹後市,19280,16590,2670,210,-,2210,250
2013年,平成25年,26213,南丹市,12650,9110,3080,180,-,2850,60
2013年,平成25年,26214,木津川市,24770,19210,4990,310,1450,3090,140
2013年,平成25年,26303,大山崎町,5580,4490,1060,-,-,1020,40
2013年,平成25年,26322,久御山町,6150,3660,2440,440,1260,740,-
2013年,平成25年,26366,精華町,12610,10700,1830,-,-,1740,80
2013年,平成25年,26407,京丹波町,5210,4830,350,200,-,140,10
2013年,平成25年,26465,与謝野町,8310,6620,1640,620,-,980,40
