西暦,和暦,地域コード,地域,住宅総数(戸),一戸建(戸),長屋建(戸),共同住宅(戸),その他(戸)
1998年,平成10年,26000,京都府,963500,526600,75900,357300,3700
2003年,平成15年,26000,京都府,1034000,581900,49600,400400,2100
2008年,平成20年,26000,京都府,1086800,611500,30000,443200,2100
2013年,平成25年,26000,京都府,1135000,641100,30000,461700,2100
2013年,平成25年,26100,京都市,692800,322300,16700,352700,1100
2013年,平成25年,26101,京都市北区,58040,31880,1390,24670,110
2013年,平成25年,26102,京都市上京区,42640,16300,1080,25140,110
2013年,平成25年,26103,京都市左京区,83920,40850,400,42630,30
2013年,平成25年,26104,京都市中京区,58530,20070,820,37530,110
2013年,平成25年,26105,京都市東山区,21530,10400,300,10700,130
2013年,平成25年,26106,京都市下京区,45980,13430,950,31510,80
2013年,平成25年,26107,京都市南区,44490,20540,880,23030,40
2013年,平成25年,26108,京都市右京区,90830,48200,3780,38610,230
2013年,平成25年,26109,京都市伏見区,125390,54570,2990,67810,10
2013年,平成25年,26110,京都市山科区,59260,33570,1450,24220,20
2013年,平成25年,26111,京都市西京区,62190,32450,2660,26850,230
2013年,平成25年,26201,福知山市,31560,22100,1290,8100,80
2013年,平成25年,26202,舞鶴市,34260,24210,1730,8230,90
2013年,平成25年,26203,綾部市,13440,11120,360,1930,20
2013年,平成25年,26204,宇治市,73490,50270,1610,21580,30
2013年,平成25年,26205,宮津市,7680,6380,470,820,20
2013年,平成25年,26206,亀岡市,33770,26880,370,6460,60
2013年,平成25年,26207,城陽市,29510,24180,660,4640,40
2013年,平成25年,26208,向日市,21090,14830,1100,5130,40
2013年,平成25年,26209,長岡京市,31570,20480,840,10200,50
2013年,平成25年,26210,八幡市,29650,16630,1050,11900,70
2013年,平成25年,26211,京田辺市,29200,16740,770,11650,40
2013年,平成25年,26212,京丹後市,20530,18560,320,1480,160
2013年,平成25年,26213,南丹市,12980,9890,360,2710,30
2013年,平成25年,26214,木津川市,25410,18380,540,6410,100
2013年,平成25年,26303,大山崎町,5690,2830,1140,1720,-
2013年,平成25年,26322,久御山町,6260,3610,50,2580,30
2013年,平成25年,26366,精華町,12660,10440,240,1980,-
2013年,平成25年,26407,京丹波町,5290,5110,180,-,-
2013年,平成25年,26465,与謝野町,8570,7150,240,1090,80
