西暦,和暦,地域コード,地域,総数(戸),1960年以前(戸),1961年〜1970年(戸),1971年〜1980年(戸),1981年〜1990年(戸),1991年〜1995年(戸),1996年〜2000年(戸),2001年〜2005年(戸),2006年〜2010年(戸),2011年〜2013年9月(戸)
1993年,平成5年,26000,京都府,907700,155800,127000,264900,264300,198100,・,・,・,・
1998年,平成10年,26000,京都府,963500,134800,111500,251400,250200,115900,71100,・,・,・
2003年,平成15年,26000,京都府,1034000,102400,94000,200500,224200,105000,143600,・,・,・
2008年,平成20年,26000,京都府,1086800,91200,81100,189200,209700,96700,130500,122200,55200,・
2013年,平成25年,26000,京都府,1135000,80400,72700,183400,195800,103300,121400,110300,103700,39500
2013年,平成25年,26100,京都市,692800,45200,38000,104500,120000,60600,73300,66000,61200,23500
2013年,平成25年,26101,京都市北区,58040,6240,3070,5770,10110,5720,6080,5540,5190,2080
2013年,平成25年,26102,京都市上京区,42640,4620,1410,4430,8440,3750,4950,3160,5600,1630
2013年,平成25年,26103,京都市左京区,83920,6030,4090,11630,15400,7780,6380,6310,7100,2810
2013年,平成25年,26104,京都市中京区,58530,5430,1800,5050,10200,5290,7250,6170,7680,1890
2013年,平成25年,26105,京都市東山区,21530,2820,960,2670,4010,1690,1240,1490,1890,910
2013年,平成25年,26106,京都市下京区,45980,3580,1150,2950,5480,3810,6020,7550,5430,2920
2013年,平成25年,26107,京都市南区,44490,2730,1910,7430,8170,3300,4470,3930,3820,980
2013年,平成25年,26108,京都市右京区,90830,5550,7110,13010,15730,7410,10100,9030,7280,4510
2013年,平成25年,26109,京都市伏見区,125390,4560,7550,27560,20440,9990,13710,12250,8830,2020
2013年,平成25年,26110,京都市山科区,59260,2010,5370,10860,8690,5030,5580,6140,4590,1790
2013年,平成25年,26111,京都市西京区,62190,1640,3630,13100,13340,6860,7520,4430,3750,1970
2013年,平成25年,26201,福知山市,31560,4200,1880,4200,5770,3540,3830,2980,3490,1090
2013年,平成25年,26202,舞鶴市,34260,4080,2620,4840,4150,3370,3700,2980,3230,1060
2013年,平成25年,26203,綾部市,13440,3080,990,1830,1990,1520,1190,1300,1060,370
2013年,平成25年,26204,宇治市,73490,1830,5380,12790,14710,7400,8710,7240,7250,1990
2013年,平成25年,26205,宮津市,7680,1840,770,1280,1140,670,580,450,610,210
2013年,平成25年,26206,亀岡市,33770,1950,1830,5990,6860,4660,3060,2740,3020,1480
2013年,平成25年,26207,城陽市,29510,630,2380,6710,6030,2790,3590,2890,2590,1020
2013年,平成25年,26208,向日市,21090,690,2380,4430,3110,2180,2410,2580,1780,650
2013年,平成25年,26209,長岡京市,31570,670,3580,5810,5560,3140,3000,3640,3630,2030
2013年,平成25年,26210,八幡市,29650,770,1130,10750,5060,1980,2320,2390,3170,1040
2013年,平成25年,26211,京田辺市,29200,500,2230,3620,3810,2610,4230,4530,3820,1710
2013年,平成25年,26212,京丹後市,20530,4490,2620,3940,3100,1250,1810,1080,1540,370
2013年,平成25年,26213,南丹市,12980,2340,770,1440,1810,1300,1560,1070,620,350
2013年,平成25年,26214,木津川市,25410,1460,910,2350,5750,2200,3610,3400,3230,1200
2013年,平成25年,26303,大山崎町,5690,2020,※1960年以前と併合し、1970年以前としている。,730,810,930,※1991年〜1995年と併合し、1991年〜2000年としている。,430,450,290
2013年,平成25年,26322,久御山町,6260,820,※1960年以前と併合し、1970年以前としている。,2940,920,560,※1991年〜1995年と併合し、1991年〜2000年としている。,110,360,260
2013年,平成25年,26366,精華町,12660,1290,※1960年以前と併合し、1970年以前としている。,1140,1310,3690,※1991年〜1995年と併合し、1991年〜2000年としている。,2570,1680,560
2013年,平成25年,26407,京丹波町,5290,1750,※1960年以前と併合し、1970年以前としている。,1220,1050,690,※1991年〜1995年と併合し、1991年〜2000年としている。,230,220,50
2013年,平成25年,26465,与謝野町,8570,2700,※1960年以前と併合し、1970年以前としている。,1230,1080,1230,※1991年〜1995年と併合し、1991年〜2000年としている。,1110,400,150
