西暦,和暦,地域コード,地域,総数(戸),京都府_計(戸),京都府_府営住宅(戸),京都府_特別賃貸(戸),京都府_特定公共賃貸(戸),市町村(戸),都市再生機構(戸)
2012年,平成24年,26000,京都府,64482,15016,13291,1600,125,25694,23772
2013年,平成25年,26000,京都府,63870,14880,13214,1600,66,25492,23498
2014年,平成26年,26000,京都府,63790,14812,13146,1600,66,25437,23541
2015年,平成27年,26000,京都府,63840,14983,13328,1600,55,25317,23540
2016年,平成28年,26000,京都府,63859,15019,13364,1600,55,25348,23492
2016年,平成28年,26100,京都市,38521,5120,4216,900,4,19219,14182
2016年,平成28年,26201,福知山市,1812,750,732,-,18,1062,-
2016年,平成28年,26202,舞鶴市,2438,1483,1477,-,6,955,-
2016年,平成28年,26203,綾部市,847,597,597,-,-,250,-
2016年,平成28年,26204,宇治市,4272,2547,2024,500,23,591,1134
2016年,平成28年,26205,宮津市,539,156,156,-,-,383,-
2016年,平成28年,26206,亀岡市,1408,263,263,-,-,557,588
2016年,平成28年,26207,城陽市,431,420,420,-,-,11,-
2016年,平成28年,26208,向日市,743,701,701,-,-,42,-
2016年,平成28年,26209,長岡京市,151,-,-,-,-,151,-
2016年,平成28年,26210,八幡市,5104,325,325,-,-,185,4594
2016年,平成28年,26211,京田辺市,1419,1181,1181,-,-,238,-
2016年,平成28年,26212,京丹後市,708,335,335,-,-,373,-
2016年,平成28年,26213,南丹市,345,95,95,-,-,250,-
2016年,平成28年,26214,木津川市,2013,97,97,-,-,227,1689
2016年,平成28年,26303,乙訓郡大山崎町,48,48,48,-,-,-,-
2016年,平成28年,26322,久世郡久御山町,1677,464,264,200,-,-,1213
2016年,平成28年,26343,綴喜郡井手町,90,42,42,-,-,48,-
2016年,平成28年,26344,綴喜郡宇治田原町,38,-,-,-,-,38,-
2016年,平成28年,26364,相楽郡笠置町,74,-,-,-,-,74,-
2016年,平成28年,26365,相楽郡和束町,93,-,-,-,-,93,-
2016年,平成28年,26366,相楽郡精華町,247,3,3,-,-,152,92
2016年,平成28年,26367,相楽郡南山城村,2,2,2,-,-,-,-
2016年,平成28年,26407,船井郡京丹波町,121,25,25,-,-,96,-
2016年,平成28年,26463,与謝郡伊根町,34,-,-,-,-,34,-
2016年,平成28年,26465,与謝郡与謝野町,684,365,361,-,4,319,-
