種別,西暦,和暦,年月等,製造工業,鉄鋼業,非鉄金属工業,金属製品工業,はん用・生産用・業務用機械工業,はん用機械工業,生産用機械工業,業務用機械工業,電子部品・デバイス工業,電気・情報通信機械工業,輸送機械工業,窯業・土石製品工業,化学工業,プラスチック製品工業,繊維工業,食料品・たばこ工業,印刷工業,その他工業,最終需要財,投資財,資本財,建設財,消費財,耐久消費財,非耐久消費財,生産財
生産指数,-,-,ウェイト,10000,43.7,100,359.4,1669.3,324.7,862,482.6,1353.6,978.7,966.2,715.3,477,274.6,277.4,1779.8,770.6,234.4,4280.7,1982.1,1891.2,90.9,2298.6,336.1,1962.5,5719.3
生産指数,2011年,平成23年,年次,97.2,100.8,100.6,98.8,105.4,108.6,106,102.4,101.1,91.8,104.6,90.8,101.8,78.8,89.7,96.2,81.3,102.9,97.6,100.9,100.8,102.7,94.7,82.7,96.8,96.9
生産指数,2012年,平成24年,年次,99.2,101,92.8,104.5,96.2,99.3,99.8,87.5,131.6,91.1,94.8,99.5,97.7,78.1,86.4,98,77,104.4,94.6,94.8,94.3,106.1,94.3,78.2,97.1,102.7
生産指数,2013年,平成25年,年次,105.5,107.3,93.2,91.5,96.3,109.3,92.7,94,150.8,124.5,96.1,102.4,101.7,96.1,83.5,94.8,82,108.2,101.8,97,96.1,115,106,172.1,94.7,108.2
生産指数,2014年,平成26年,年次,117,108.1,101.1,91.4,99.8,115,96.9,94.9,192,139.6,106.6,109.6,102.3,98.9,81.8,102.6,93.2,103.3,108.1,100.2,100.1,103.5,114.8,187.1,102.4,123.6
生産指数,2015年,平成27年,年次,120.7,93.8,98.5,86,109.2,110.5,113.8,100,227.8,113.6,108.2,109.5,106.4,97.7,76.8,104.4,89.3,103.9,109.8,111.3,111.7,102.7,108.4,130.8,104.6,128.9
生産指数,2015年,平成27年,1月,124.2,99.7,101.8,90.2,103,126.7,96.3,98.7,241.9,116.6,116.7,107.4,100.3,100.1,80.8,106.3,100.7,102,105.8,103.4,103.3,109.5,107.4,140.6,102.1,138.6
生産指数,2015年,平成27年,2月,120.7,104.9,96.7,85.7,101.2,119.5,95.8,98.3,224.9,114.4,110.2,108,103.3,100,79.7,103.6,95.1,116.9,105,100.5,99,127.7,110.3,134.7,106.2,131.1
生産指数,2015年,平成27年,3月,117.2,99.1,98.8,85.6,98.8,113.3,97.6,89.9,231.6,116.3,110.1,110.1,90.1,95.3,79.3,99.5,88,105,103.2,103.1,102.9,104.4,102.5,132.5,97.1,128.1
生産指数,2015年,平成27年,4月,127.4,97.9,98.4,88.8,110.2,106.6,116.7,99.8,252.3,111.7,110,108.8,108.5,98.1,78.6,106.4,94.1,105,111.7,108.1,108.2,106.8,107.3,107.1,106.1,138.3
生産指数,2015年,平成27年,5月,121.3,96.4,100,87.7,104.3,105.6,109.2,97.6,253.5,111.2,112.6,112.5,94.7,95.6,76.7,101.8,85.9,99.8,105.2,107.1,107.7,93.3,102.2,120.8,99.7,133.9
生産指数,2015年,平成27年,6月,120.8,94.1,100.1,87.6,104.5,103.2,103.3,104.9,228.3,117.7,114.1,111.4,118.5,101.9,76.3,104.2,87.7,105.8,111.1,112.3,112.7,99.9,111.4,147.5,107.3,128.2
生産指数,2015年,平成27年,7月,119.4,91.5,99.5,86.1,107.2,110.1,105.7,106,222.8,125.2,104,109.6,104.8,99.3,76.4,106.5,87.5,96.9,109.7,107.4,107.8,90.3,112.3,152.6,105.6,127.1
生産指数,2015年,平成27年,8月,123.1,93.2,98.2,85.8,109.1,110,112.9,100.1,235.1,114.6,110,100.8,134.6,106.5,77.2,100.3,88.5,105.9,114.1,115.8,116.7,101.5,111.1,137.5,105.1,129.7
生産指数,2015年,平成27年,9月,121,89,98.3,81.3,117.4,114.4,129.9,100.5,220.8,111.1,101.7,109.6,120.1,91.1,75.4,105.9,86.6,102.4,113.4,115.5,117.5,85.2,110.7,133.2,108.7,126.6
生産指数,2015年,平成27年,10月,120.9,91.7,97.5,85.4,123.3,109.8,139.1,104.8,217,113.1,107.7,109.5,102,91.6,75.2,106.1,87.5,104,114.5,128.1,130,105.1,108,123.1,104.3,125.7
生産指数,2015年,平成27年,11月,120.4,85.6,98.9,82.1,119.4,107.3,136.7,101.3,232.8,108.8,98.7,113.3,96.1,100.1,74.4,104.4,85.8,102.8,112.2,119.4,119.9,102.6,108.7,122.7,106,128
生産指数,2015年,平成27年,12月,114.3,81.6,95.6,86.4,117.5,103,132.3,103,187.6,102.1,103.8,111.4,102.6,92.3,72.8,105.2,86.2,101.4,111.6,120.4,120.6,109.9,106.5,107,104.9,116.5
出荷指数,-,-,ウェイト,10000,81.2,144.4,326.6,1492.7,271.2,699,522.5,809.4,1079.1,1369.7,438.2,366.3,310.9,203,2150.1,953.8,274.6,4802,1937.3,1845.2,92.1,2864.7,599.6,2265.1,5198
出荷指数,2011年,平成23年,年次,97.5,109.9,97,97.2,106.9,109,108.8,103.3,105.6,91.7,102.3,94.3,103.7,80.8,74.1,98.1,81.3,101.8,97,101.5,101.7,98.3,94,80.4,97.6,97.9
出荷指数,2012年,平成24年,年次,95.8,109.2,86.6,101,98.1,98.8,102.2,92.3,135.1,79.4,91,102.2,99.7,79.7,70.1,100.3,77,103.5,92.4,96.3,96.1,101.6,89.8,54.9,99,99
出荷指数,2013年,平成25年,年次,96.9,116.1,86,98.3,98.3,109.9,96.1,95.4,146.9,92.9,100.2,101.7,103.3,95.3,68,82.5,82,108.7,91.7,98.5,97.9,109.6,87.2,104.1,82.7,101.5
出荷指数,2014年,平成26年,年次,104,118.3,93.5,100.1,100.1,115.2,95.8,98.1,179.2,96.5,109.7,106.9,104.2,97.1,68.6,87.6,93.2,103.8,95.2,100.7,100.8,98.1,91.6,105,88,112
出荷指数,2015年,平成27年,年次,106.2,111.7,92.2,94.8,111.7,111.1,117.8,103.9,210.8,79.1,102.9,108,107.8,94.9,64.5,93.7,89.3,105.2,97.4,112.5,113.3,97.4,87.1,60.5,94.2,114.3
出荷指数,2015年,平成27年,1月,109.4,120.6,94.1,99.2,104.2,127,98,101.7,225.7,90.8,114.9,109.2,102.9,97.1,66.7,92.4,100.7,103.8,98,104.6,105.1,96.3,93.5,103.6,91.8,123.7
