西暦,和暦,種別,事業所数(事業所),敷地面積(m2),建築面積(m2),延建築面積(m2),工業用水(淡水)_総数(m3),工業用水(淡水)_水源別(1日あたり用水量)_工業用水道(m3),工業用水(淡水)_水源別(1日あたり用水量)_上水道(m3),工業用水(淡水)_水源別(1日あたり用水量)_井戸水(m3),工業用水(淡水)_水源別(1日あたり用水量)_その他(m3),工業用水(淡水)_水源別(1日あたり用水量)_回収水(m3),工業用水(淡水)_用途別(1日当たり用水量)_ボイラー(m3),工業用水(淡水)_用途別(1日当たり用水量)_原料(m3),工業用水(淡水)_用途別(1日当たり用水量)_製品処理洗浄(m3),工業用水(淡水)_用途別(1日当たり用水量)_冷却温調(m3),工業用水(淡水)_用途別(1日当たり用水量)_その他(m3)
2010年,平成22年,合計,778,13807871,4997042,7721521,366271,13845,30322,88242,42589,191273,10338,13479,113295,201425,27734
2011年,平成23年,合計,825,14202072,…,…,354178,14884,37623,87209,37096,177366,…,…,…,…,…
2012年,平成24年,合計,756,13578060,4975021,7601153,345839,15901,33133,85509,41153,170143,9274,6834,112562,170846,46323
2013年,平成25年,合計,762,14736328,5065700,7874444,324961,14547,32901,84544,39347,153622,9213,6877,112886,169628,26357
2014年,平成26年,合計,773,14837028,5145673,7974661,322931,15857,28491,82519,41403,154661,8432,6564,110831,171855,25249
2014年,平成26年,09_食料品,133,1128514,366873,581319,32379,1358,6030,24069,427,495,2022,2618,16263,8398,3078
2014年,平成26年,10_飲料・たばこ・飼料,22,655094,287780,583910,22003,-,2478,17256,-,2269,897,3327,9151,6535,2093
2014年,平成26年,11_繊維,33,408657,139004,218054,7470,6,946,4582,1780,156,912,-,5455,448,655
2014年,平成26年,12_木材・木製品,10,264702,102936,117976,604,-,562,42,-,-,502,-,8,42,52
2014年,平成26年,13_家具・装備品,7,32045,15317,21407,143,-,13,130,-,-,6,-,101,12,24
2014年,平成26年,14_パルプ・紙,29,473778,222925,285719,5790,4261,612,917,-,-,333,-,3864,588,1005
2014年,平成26年,15_印刷,50,481595,169195,373355,7478,-,817,1232,-,5429,297,-,407,6390,384
2014年,平成26年,16_化学,36,1066158,299403,507283,24932,3309,1848,3125,4389,12261,795,603,4847,17744,943
2014年,平成26年,17_石油・石炭,2,X,X,X,X,-,X,X,-,-,-,-,X,X,X
2014年,平成26年,18_プラスチック製品,49,571939,210809,310783,10947,136,1142,769,2438,6462,768,-,225,9470,484
2014年,平成26年,19_ゴム製品,5,115457,64085,84555,547,445,16,37,49,-,188,-,38,268,53
2014年,平成26年,20_皮革,5,10094,8607,11633,26,-,7,19,-,-,-,-,X,-,X
2014年,平成26年,21_窯業・土石,17,1372644,454006,570051,22128,980,2290,579,12402,5877,366,16,4068,17236,442
2014年,平成26年,22_鉄鋼,13,831448,145378,151577,79587,2237,400,90,18000,58860,188,-,28122,50804,473
2014年,平成26年,23_非鉄金属,10,276615,118309,145021,3759,583,1474,567,-,1135,13,-,2254,1041,451
2014年,平成26年,24_金属製品,57,709211,270702,358674,4496,358,1070,1151,1917,-,123,-,3190,712,471
2014年,平成26年,25_はん用機械,20,616223,223588,301938,892,-,647,244,1,-,99,-,143,215,435
2014年,平成26年,26_生産用機械,89,986651,344214,543744,1351,-,907,444,-,-,-,-,524,200,627
2014年,平成26年,27_業務用機械,35,614298,219905,425300,1388,48,1055,81,-,204,27,-,183,462,716
2014年,平成26年,28_電子部品,31,598862,165653,346238,26244,598,1000,17693,-,6953,393,-,8870,9319,7662
2014年,平成26年,29_電気機械,69,1373239,514623,813193,8049,1536,1823,3400,-,1290,218,-,2817,3560,1454
2014年,平成26年,30_情報通信,5,X,X,X,X,-,X,X,-,-,3,-,-,X,X
2014年,平成26年,31_輸送用機械,30,1955115,649089,930830,61977,2,3056,5649,-,53270,282,-,20273,38100,3322
2014年,平成26年,32_その他,16,80556,36829,89578,110,-,105,5,-,-,-,-,2,41,67
