西暦,和暦,地域コード,地域等,総数_事業所数(事業所),総数_従業者数(人),総数_製造品出荷額等(万円),食料品_事業所数(事業所),食料品_従業者数(人),食料品_製造品出荷額等(万円),飲料・たばこ・飼料_事業所数(事業所),飲料・たばこ・飼料_従業者数(人),飲料・たばこ・飼料_製造品出荷額等(万円),繊維_事業所数(事業所),繊維_従業者数(人),繊維_製造品出荷額等(万円),衣服_事業所数(事業所),衣服_従業者数(人),衣服_製造品出荷額等(万円),木材・木製品_事業所数(事業所),木材・木製品_従業者数(人),木材・木製品_製造品出荷額等(万円),家具・装備品_事業所数(事業所),家具・装備品_従業者数(人),家具・装備品_製造品出荷額等(万円),パルプ・紙_事業所数(事業所),パルプ・紙_従業者数(人),パルプ・紙_製造品出荷額等(万円),印刷_事業所数(事業所),印刷_従業者数(人),印刷_製造品出荷額等(万円),化学_事業所数(事業所),化学_従業者数(人),化学_製造品出荷額等(万円),石油・石炭_事業所数(事業所),石油・石炭_従業者数(人),石油・石炭_製造品出荷額等(万円),プラスチック製品_事業所数(事業所),プラスチック製品_従業者数(人),プラスチック製品_製造品出荷額等(万円),ゴム製品_事業所数(事業所),ゴム製品_従業者数(人),ゴム製品_製造品出荷額等(万円),皮革_事業所数(事業所),皮革_従業者数(人),皮革_製造品出荷額等(万円),窯業・土石_事業所数(事業所),窯業・土石_従業者数(人),窯業・土石_製造品出荷額等(万円),鉄鋼_事業所数(事業所),鉄鋼_従業者数(人),鉄鋼_製造品出荷額等(万円),非鉄金属_事業所数(事業所),非鉄金属_従業者数(人),非鉄金属_製造品出荷額等(万円),金属製品_事業所数(事業所),金属製品_従業者数(人),金属製品_製造品出荷額等(万円),一般機械_事業所数(事業所),一般機械_従業者数(人),一般機械_製造品出荷額等(万円),はん用機械_事業所数(事業所),はん用機械_従業者数(人),はん用機械_製造品出荷額等(万円),生産用機械_事業所数(事業所),生産用機械_従業者数(人),生産用機械_製造品出荷額等(万円),業務用機械_事業所数(事業所),業務用機械_従業者数(人),業務用機械_製造品出荷額等(万円),電子部品_事業所数(事業所),電子部品_従業者数(人),電子部品_製造品出荷額等(万円),電気機械_事業所数(事業所),電気機械_従業者数(人),電気機械_製造品出荷額等(万円),情報通信_事業所数(事業所),情報通信_従業者数(人),情報通信_製造品出荷額等(万円),輸送用機械_事業所数(事業所),輸送用機械_従業者数(人),輸送用機械_製造品出荷額等(万円),精密機械_事業所数(事業所),精密機械_従業者数(人),精密機械_製造品出荷額等(万円),その他_事業所数(事業所),その他_従業者数(人),その他_製造品出荷額等(万円)
2003年,平成15年,26000,京都府,15099,174166,468334362,960,22065,41003744,212,4039,56878242,5979,20480,15904904,889,6276,5658386,380,3088,5083488,576,2596,3595405,370,4336,9726003,863,10789,26214420,130,5267,19258614,15,162,588907,383,6176,11801238,22,477,1089627,129,882,1015061,487,5187,18631861,59,1189,3334895,78,2239,7462329,938,9746,17205085,1111,17992,41156687,-,-,-,-,-,-,-,-,-,128,13510,33360983,392,12838,41399515,40,3358,15175036,162,8903,45938413,227,8161,23898885,569,4410,22952634
2005年,平成17年,26000,京都府,14055,171906,493222744,919,21607,41859396,208,4032,64216314,5426,18731,14137610,771,5354,4826708,332,2914,5436203,533,2504,3592040,363,4783,12770571,800,10170,27400265,126,5394,18458808,13,138,X,368,6451,12926400,21,527,X,120,793,857143,449,4851,16889790,52,1363,5956648,85,2557,9915603,932,10018,17941907,1108,19030,49945239,-,-,-,-,-,-,-,-,-,130,13101,32798926,380,13476,47698793,34,1900,5436708,156,9842,44008281,208,8558,28431622,521,3812,26224725
2008年,平成20年,26000,京都府,13057,171319,571523574,888,22226,45243179,216,4223,82575368,5264,20994,17780315,-,-,-,298,2597,5249266,544,2344,3034917,344,4691,15997008,759,10949,33769539,131,5112,20764128,12,153,X,383,5994,11365384,25,513,X,106,759,851675,444,5024,20574636,69,1516,8926746,90,2536,12931325,909,9690,17390776,-,-,-,211,4716,13442050,868,13983,40915509,221,10120,35118421,158,12836,41366030,370,11711,30113371,35,3470,13465842,165,11054,56079754,-,-,-,547,4108,43093671
2011年,平成23年,26000,京都府,11548,149599,511595667,798,18855,46043950,209,4106,82206303,4381,17245,14228956,-,-,-,274,1946,4322255,461,2081,2749020,313,4202,12087742,724,9020,25312368,140,4909,17429460,21,216,843113,338,5961,16054595,23,802,1407581,85,529,523199,397,4504,16281965,107,1541,7308392,76,1874,10180804,799,9681,17977118,-,-,-,173,3672,9131159,806,12575,31835837,221,9235,30459812,165,8890,34537538,371,12629,31027201,30,2409,14829543,148,9228,58858141,-,-,-,488,3489,25959615
2011年,平成23年,26100,京都市,5923,70725,242249992,440,8666,13672288,40,1696,61813342,2166,10074,10013319,-,-,-,167,642,667773,292,1293,1466705,225,2002,3303293,580,7165,20906851,69,2109,6748823,4,59,226858,121,1763,5044581,5,34,X,63,432,455940,205,1426,3457710,23,224,1162262,37,998,6361730,332,3908,6859978,-,-,-,77,923,1949550,339,5267,13588895,124,7513,26709721,62,3108,15573639,168,6225,18207345,5,130,X,42,3016,21161105,-,-,-,337,2052,2688235
2011年,平成23年,26201,福知山市,239,6803,22839662,28,983,2002156,4,48,8358,25,214,102237,-,-,-,11,62,X,10,27,23370,5,101,X,9,97,165442,9,1099,4921662,3,32,X,8,333,X,3,210,470117,3,9,2506,14,350,X,10,529,X,4,257,X,26,236,446031,-,-,-,3,120,274106,15,361,726476,4,395,X,7,329,X,13,695,X,2,29,X,5,45,X,-,-,-,18,242,140071
2011年,平成23年,26202,舞鶴市,211,3907,18668468,46,509,867548,5,108,X,14,210,78566,-,-,-,11,408,1773708,11,75,75475,2,23,X,9,37,25669,3,61,322072,1,19,X,7,99,X,-,-,-,-,-,-,12,835,6494003,4,10,5249,-,-,-,32,194,183540,-,-,-,4,54,X,12,121,169143,5,53,64048,1,11,X,5,45,X,-,-,-,18,1001,X,-,-,-,9,34,25462
2011年,平成23年,26203,綾部市,178,4682,9859539,16,461,983134,5,56,X,38,427,327076,-,-,-,7,38,X,3,6,4236,4,81,32328,3,6,4189,2,133,X,1,26,X,3,126,239264,3,479,740936,3,27,34040,3,14,X,2,15,X,2,4,X,25,657,1397374,-,-,-,7,173,X,16,308,650755,4,133,X,5,538,1056226,13,605,X,3,58,X,7,304,537202,-,-,-,3,7,1400
2011年,平成23年,26204,宇治市,496,11187,53042257,32,2336,6579435,21,422,1299937,37,304,294120,-,-,-,4,9,4312,23,66,65365,7,41,49128,19,318,434575,11,605,1254426,2,10,X,32,1388,5539476,3,28,X,1,2,X,43,236,431723,3,16,17303,6,143,X,49,419,521571,-,-,-,12,116,409391,88,1007,2120567,18,254,450632,22,1844,X,31,481,981176,2,154,X,13,528,2137865,-,-,-,17,460,22424949
2011年,平成23年,26205,宮津市,96,705,1052823,39,199,310783,2,34,X,33,357,501899,-,-,-,1,8,X,4,8,4441,1,10,X,3,22,X,-,-,-,1,7,X,1,10,X,-,-,-,-,-,-,2,19,X,-,-,-,-,-,-,2,3,X,-,-,-,-,-,-,2,8,X,1,1,X,-,-,-,-,-,-,1,11,X,1,1,X,-,-,-,2,7,X
2011年,平成23年,26206,亀岡市,280,5013,11712404,34,515,950697,6,74,X,39,221,123044,-,-,-,9,221,558597,18,72,73039,5,155,795188,18,210,852817,4,68,263229,-,-,-,15,259,541532,-,-,-,2,7,X,20,165,297081,3,17,X,2,116,X,27,477,1370873,-,-,-,6,70,X,21,281,433519,3,7,12452,17,969,2606066,13,843,1849958,2,54,X,7,130,X,-,-,-,9,82,83316
2011年,平成23年,26207,城陽市,227,4243,7736070,11,687,X,16,272,691928,51,470,542730,-,-,-,3,182,386909,6,12,4447,7,31,74414,8,142,231408,2,57,X,-,-,-,12,156,X,-,-,-,2,4,X,12,315,506882,2,4,X,2,25,X,23,220,200112,-,-,-,4,28,X,21,408,756456,6,70,106006,6,118,X,17,458,620700,2,521,X,7,39,24186,-,-,-,7,24,18388
2011年,平成23年,26208,向日市,126,1325,3695903,12,105,85793,-,-,-,17,60,44901,-,-,-,4,11,4236,7,21,13331,4,37,X,7,27,26221,4,144,X,-,-,-,8,144,314018,-,-,-,1,2,X,2,5,X,3,41,X,1,6,X,11,97,X,-,-,-,4,13,X,17,304,672670,3,21,22848,1,144,X,10,103,X,1,14,X,-,-,-,-,-,-,9,26,X
2011年,平成23年,26209,長岡京市,156,5690,40009753,12,278,840473,1,170,X,10,63,X,-,-,-,2,20,X,7,26,17181,5,427,2771758,4,11,7461,7,202,X,4,31,X,10,72,202876,-,-,-,-,-,-,3,6,6877,1,5,X,1,4,X,19,292,461753,-,-,-,8,809,3170248,22,352,745082,1,11,X,8,292,1530934,13,631,1532904,3,1156,12483386,6,747,X,-,-,-,9,85,122311
2011年,平成23年,26210,八幡市,181,3257,10521572,12,625,X,1,3,X,11,93,225081,-,-,-,3,25,59592,10,171,717311,10,64,60764,5,68,198701,3,36,105216,1,3,X,17,238,427799,-,-,-,-,-,-,3,21,39617,8,103,X,2,17,X,29,414,855573,-,-,-,4,18,34407,31,774,3674495,4,58,X,3,20,11993,13,390,X,1,54,X,3,35,X,-,-,-,7,27,20464
2011年,平成23年,26211,京田辺市,109,3100,12014414,7,252,5187358,4,24,X,8,30,X,-,-,-,4,19,15555,-,-,-,3,414,1641066,6,96,X,2,24,X,-,-,-,8,98,X,-,-,-,-,-,-,6,193,X,1,8,X,2,12,X,16,138,170677,-,-,-,4,889,X,10,100,X,5,42,X,4,255,612878,9,291,X,2,31,X,4,166,365863,-,-,-,4,18,10791
2011年,平成23年,26212,京丹後市,1514,6325,6912625,28,274,489241,9,43,31383,1175,2540,827452,-,-,-,14,63,55649,26,119,94500,5,26,X,10,40,26268,1,5,X,1,3,X,20,168,209397,4,14,7709,6,34,15076,24,235,281392,23,309,X,-,-,-,40,273,323255,-,-,-,10,55,X,69,939,1324043,5,151,X,3,37,10547,6,166,X,1,23,X,17,768,1843956,-,-,-,17,40,19457
2011年,平成23年,26213,南丹市,144,3245,19635598,20,1094,X,2,31,X,31,140,80559,-,-,-,10,111,X,7,23,17483,2,48,X,7,92,X,4,49,X,1,2,X,10,54,77643,1,3,X,1,4,X,9,141,322024,1,2,X,-,-,-,10,155,X,-,-,-,2,27,X,5,53,X,2,62,X,2,42,X,7,42,X,-,-,-,4,951,X,-,-,-,6,119,X
2011年,平成23年,26214,木津川市,132,1249,2789900,4,36,15053,23,254,X,26,148,103416,-,-,-,1,1,X,7,13,X,8,123,X,5,17,X,2,13,X,-,-,-,9,106,X,-,-,-,1,3,X,7,126,254282,3,39,61804,-,-,-,12,120,X,-,-,-,1,16,X,7,59,83012,1,8,X,4,64,X,2,4,X,-,-,-,1,50,X,-,-,-,8,49,13602
