西暦,和暦,地域コード,地域等,総数_事業所数(事業所),総数_従業者数(人),総数_製造品出荷額等(万円),食料品_事業所数(事業所),食料品_従業者数(人),食料品_製造品出荷額等(万円),飲料・たばこ・飼料_事業所数(事業所),飲料・たばこ・飼料_従業者数(人),飲料・たばこ・飼料_製造品出荷額等(万円),繊維_事業所数(事業所),繊維_従業者数(人),繊維_製造品出荷額等(万円),木材・木製品_事業所数(事業所),木材・木製品_従業者数(人),木材・木製品_製造品出荷額等(万円),家具・装備品_事業所数(事業所),家具・装備品_従業者数(人),家具・装備品_製造品出荷額等(万円),パルプ・紙_事業所数(事業所),パルプ・紙_従業者数(人),パルプ・紙_製造品出荷額等(万円),印刷_事業所数(事業所),印刷_従業者数(人),印刷_製造品出荷額等(万円),化学_事業所数(事業所),化学_従業者数(人),化学_製造品出荷額等(万円),石油・石炭_事業所数(事業所),石油・石炭_従業者数(人),石油・石炭_製造品出荷額等(万円),プラスチック製品_事業所数(事業所),プラスチック製品_従業者数(人),プラスチック製品_製造品出荷額等(万円),ゴム製品_事業所数(事業所),ゴム製品_従業者数(人),ゴム製品_製造品出荷額等(万円),皮革_事業所数(事業所),皮革_従業者数(人),皮革_製造品出荷額等(万円),窯業・土石_事業所数(事業所),窯業・土石_従業者数(人),窯業・土石_製造品出荷額等(万円),鉄鋼_事業所数(事業所),鉄鋼_従業者数(人),鉄鋼_製造品出荷額等(万円),非鉄金属_事業所数(事業所),非鉄金属_従業者数(人),非鉄金属_製造品出荷額等(万円),金属製品_事業所数(事業所),金属製品_従業者数(人),金属製品_製造品出荷額等(万円),はん用機械_事業所数(事業所),はん用機械_従業者数(人),はん用機械_製造品出荷額等(万円),生産用機械_事業所数(事業所),生産用機械_従業者数(人),生産用機械_製造品出荷額等(万円),業務用機械_事業所数(事業所),業務用機械_従業者数(人),業務用機械_製造品出荷額等(万円),電子部品_事業所数(事業所),電子部品_従業者数(人),電子部品_製造品出荷額等(万円),電気機械_事業所数(事業所),電気機械_従業者数(人),電気機械_製造品出荷額等(万円),情報通信_事業所数(事業所),情報通信_従業者数(人),情報通信_製造品出荷額等(万円),輸送用機械_事業所数(事業所),輸送用機械_従業者数(人),輸送用機械_製造品出荷額等(万円),その他_事業所数(事業所),その他_従業者数(人),その他_製造品出荷額等(万円)
2010年,平成22年,26000,京都府,5004,140757,483289706,572,20950,44550963,132,3875,82421070,979,10863,10536334,112,1618,4375992,154,1433,2064866,181,3959,12174889,372,10318,32890948,112,5117,19809868,10,138,659574,232,5305,11533950,14,465,1020433,34,672,823419,203,3939,16362124,52,1305,5596155,46,1899,7754506,439,7304,12608815,99,4270,11580107,436,11531,26091823,149,9584,28110366,100,9267,28570218,255,11633,28909084,21,3099,18982039,112,9047,46294704,188,3166,29567459
2011年,平成23年,26000,京都府,5365,137837,503804796,559,18321,45704242,154,3984,82028694,1070,11252,12228127,123,1657,4161497,162,1513,2421968,203,3977,11918638,400,8354,24884745,115,4853,17244786,15,203,770291,231,5736,14252350,15,787,1398771,31,417,473366,199,4124,16047875,63,1463,7211560,44,1809,10102576,471,9027,17507882,95,3513,9015019,500,11980,31373914,161,9123,30376744,122,8794,34471024,285,12450,30873306,27,2403,14825318,114,9165,58828191,206,2932,25683912
2012年,平成24年,26000,京都府,4745,134016,464615146,524,18613,40487737,133,3838,93667883,893,9902,10932374,104,1550,4424914,142,1426,2141903,176,4095,11722041,341,8318,23283675,110,5041,16224594,11,213,647318,219,5113,12405251,12,463,1008701,29,409,539570,190,3901,16383035,55,1505,6385319,36,1564,7222865,429,7922,14442919,95,4210,11073557,447,11965,31370756,152,9546,27996994,93,8850,26643518,256,12266,26390561,17,2451,8208738,103,8038,39942082,178,2817,31068841
2013年,平成25年,26000,京都府,4500,135064,456051616,514,20128,41320332,121,3686,66929732,811,9142,10223719,93,1460,4436924,131,1271,1955695,162,3362,10509627,337,8185,18516180,106,5090,18628249,11,221,679825,217,5420,14160364,12,535,1015256,28,529,592315,169,3615,16165630,53,1511,6818064,34,1589,7353616,408,7977,15079015,87,4300,11549350,435,12040,28041063,147,9689,27582130,85,8770,34586330,246,13013,34032372,16,2204,8530360,103,8558,46348121,174,2769,30997347
2014年,平成26年,26000,京都府,4401,136210,481515454,503,20012,45812081,119,3591,62990645,762,8659,10134973,88,1439,4836599,126,1287,2084165,163,3625,11450966,326,8183,19087386,104,5126,19195151,11,188,752796,221,5965,14948726,12,546,1044548,34,596,759276,165,3626,17738574,55,1554,7754082,31,1611,8008653,415,8423,16564338,80,4212,16332359,427,12290,32072746,146,9423,29369764,85,9148,35701587,246,13542,36128808,16,1941,6915213,93,8521,51796148,173,2702,30035870
2014年,平成26年,26100,京都市,2296,62501,210924749,280,8646,12753437,35,1667,49080082,531,5552,6808373,38,326,559694,88,832,1291269,112,1531,2707352,253,5076,10402524,47,2017,6388116,1,58, X,64,1410,3518468,3,54,126243,28,460,641563,68,1004,3775190,10,164,760573,13,818,4169483,161,3295,6114175,29,780,1584735,171,5134,14445261,80,7167,24095656,28,5044,28284392,111,7062,18459474,2,50, X,23,2682,12271997,120,1672,2507411
2014年,平成26年,26201,福知山市,151,7630,28897106,20,1106,2018000,1,27, X,11,165,109630,4,37,32431,1,14, X,4,351,1984687,5,92,790239,9,1159,5577506,1,8, X,5,426,1863584,1,30, X, -, -, -,13,407,2483937,7,587,3576317,3,179,1070688,21,427,747559,4,131,313934,9,289,816741,4,534,2113722,8,513,818165,12,1000,4305099, -, -, -,4,68,104508,4,80,27586
2014年,平成26年,26202,舞鶴市,104,3138,14313004,27,437,750978,2,34, X,5,150,47498,6,420,2275189,2,47, X, -, -, -,5,47,40057,2,59, X,1,15, X,4,77,115511, -, -, -, -, -, -,6,587,7434038,1,19, X, -, -, -,11,143,220720,3,44,87456,5,302,225385,3,50,70885,1,12, X,1,6, X, -, -, -,12,647,2649934,7,42,22812
2014年,平成26年,26203,綾部市,97,4786,11690222,7,485,1211481,2,13, X,16,324,271927,3,17,28932,1,4, X,2,79, X, -, -, -,2,161, X,1,33, X,5,327,526486,2,367, X,2,14, X,2,12, X,5,63,82790,1,39, X,12,569,1271433,4,180,485135,8,307,866619,5,268,416388,2,481, X,10,776,2682967,1,34, X,4,233,592090, -, -, -
2014年,平成26年,26204,宇治市,288,9873,49591983,27,2090,4519218,14,447,1464296,18,248,267575, -, -, -,6,33,52446,3,26,33624,10,353,744727,8,811,2469405,1,13, X,25,972,3177565,2,33, X,1,6, X,10,160,459657,4,49,161423,4,139,197743,31,298,474129,3,81,179901,51,916,1782186,17,332,448167,10,1353, X,23,542,915904,2,25, X,7,500,2910174,11,446,26606603
