西暦,和暦,産業中分類,従業者数,事業所数(事業所),従業者数(人),現金給与総額(万円),原材料使用額等(万円),製造品出荷額等(万円),付加価値額及び粗付加価値額(万円)
2010年,平成22年,合計,4人以上,5004,140757,59492280,243025844,483289706,183556697
2011年,平成23年,合計,全数,11548,149599,62250075,259502962,511595667,188334587
2011年,平成23年,合計,4人以上,5365,137837,60841991,256542542,503804796,183719170
2012年,平成24年,合計,4人以上,4745,134016,59273278,226723299,464615146,169981436
2013年,平成25年,合計,4人以上,4500,135064,59577033,234672439,456051616,171314792
2014年,平成26年,合計,4人以上,4401,136210,60673194,244125653,481515454,188367309
2014年,平成26年,09_食料品,4人以上,503,20012,5698918,23787243,45812081,19695313
2014年,平成26年,10_飲料・たばこ・飼料,4人以上,119,3591,1843628,12579579,62990645,16688130
2014年,平成26年,11_繊維,4人以上,762,8659,2438531,4812771,10134973,4845225
2014年,平成26年,12_木材・木製品,4人以上,88,1439,558352,3481599,4836599,1262519
2014年,平成26年,13_家具・装備品,4人以上,126,1287,456869,1180127,2084165,845387
2014年,平成26年,14_パルプ・紙,4人以上,163,3625,1395295,7418458,11450966,3430832
2014年,平成26年,15_印刷,4人以上,326,8183,3443514,10089676,19087386,8103537
2014年,平成26年,16_化学,4人以上,104,5126,2569017,9535449,19195151,8639967
2014年,平成26年,17_石油・石炭,4人以上,11,188,87770,401033,752796,310987
2014年,平成26年,18_プラスチック製品,4人以上,221,5965,2135592,9505903,14948726,4783881
2014年,平成26年,19_ゴム製品,4人以上,12,546,222055,565014,1044548,380788
2014年,平成26年,20_皮革,4人以上,34,596,147986,337959,759276,372410
2014年,平成26年,21_窯業・土石,4人以上,165,3626,1908131,6196562,17738574,10448609
2014年,平成26年,22_鉄鋼,4人以上,55,1554,695674,5751126,7754082,1877973
2014年,平成26年,23_非鉄金属,4人以上,31,1611,774833,6276138,8008653,1362840
2014年,平成26年,24_金属製品,4人以上,415,8423,3411189,9172083,16564338,6653515
2014年,平成26年,25_はん用機械,4人以上,80,4212,2150037,9661749,16332359,6012610
2014年,平成26年,26_生産用機械,4人以上,427,12290,6125623,16551639,32072746,14783441
2014年,平成26年,27_業務用機械,4人以上,146,9423,5283283,14952950,29369764,13392833
2014年,平成26年,28_電子部品,4人以上,85,9148,4829200,14089870,35701587,20569929
2014年,平成26年,29_電気機械,4人以上,246,13542,6889193,23251008,36128808,11910956
2014年,平成26年,30_情報通信,4人以上,16,1941,1265649,4486728,6915213,2223873
2014年,平成26年,31_輸送用機械,4人以上,93,8521,5293369,37992227,51796148,12570822
2014年,平成26年,32_その他,4人以上,173,2702,1049486,12048762,30035870,17200932
