西暦,和暦,年月等,種別,西陣地域計_数量(m2),西陣地域計_金額(千円),西陣地域_帯_数量(本),西陣地域_帯_金額(千円),西陣地域_着尺_数量(反),西陣地域_着尺_金額(千円),西陣地域_その他_数量(m2),西陣地域_その他_金額(千円),丹後地域計_数量(m2),丹後地域計_金額(千円),丹後地域_着尺_数量(反),丹後地域_着尺_金額(千円),丹後地域_その他_数量(m2),丹後地域_その他_金額(千円)
2011年,平成23年,年次,合計,3117122,23686447,695143,16994475,73147,1915247,1173459,4776725,4706402,6336360,554494,4462412,2039284,1873948
2012年,平成24年,年次,合計,2752568,21913386,645679,15811644,55894,1507036,985081,4594706,4258305,5812354,529694,4313093,1710476,1499261
2013年,平成25年,年次,合計,2646554,21954098,636454,16264237,47744,1347895,957629,4341966,4141110,5581339,509713,4135922,1689389,1445417
2014年,平成26年,年次,合計,2467318,21511703,600917,15921902,44947,1288579,1018357,4301222,3787403,5175468,476730,3860108,1494330,1315360
2015年,平成27年,年次,合計,2210722,19361569,526417,14012625,40879,1216890,940048,4132054,3423319,4643282,420165,3420680,1402332,1222602
2015年,平成27年,1月,合計,178685,1668331,47602,1260918,3436,97662,65096,309751,230082,314329,29101,236656,90108,77673
2015年,平成27年,2月,合計,181569,1665774,43469,1241184,3551,100322,73073,324268,359172,473928,42190,342993,156238,130935
2015年,平成27年,3月,合計,216994,1773572,49386,1294457,4005,119454,97411,359661,304669,411545,37183,301832,125820,109713
2015年,平成27年,4月,合計,206350,1927783,50797,1431960,3822,121488,83663,374335,310230,417184,37290,303079,130865,114105
2015年,平成27年,5月,合計,179666,1546416,43367,1088781,3213,90660,75312,366975,283176,384172,35072,284932,114480,99240
2015年,平成27年,6月,合計,174274,1581396,41884,1097195,3135,97960,75457,386241,295103,411233,37091,303169,116696,108064
2015年,平成27年,7月,合計,185551,1653487,45889,1162801,3180,99793,77407,390893,274468,368968,33334,271200,114131,97768
2015年,平成27年,8月,合計,156235,1374624,34886,974351,3432,102863,69918,297410,252671,345673,32288,262000,97368,83673
2015年,平成27年,9月,合計,187609,1565193,43982,1176027,2934,85196,85229,303970,277790,376042,34323,279958,112696,96084
2015年,平成27年,10月,合計,188397,1376091,44298,962805,3803,104915,79560,308371,275144,376350,34497,281264,109214,95086
2015年,平成27年,11月,合計,169323,1509844,36921,1109129,2836,85082,79956,315633,297234,404109,35768,292423,125191,111686
2015年,平成27年,12月,合計,186069,1719058,43936,1213017,3532,111495,77966,394546,263580,359749,32028,261174,109525,98575
2015年,平成27年,年次,絹純・絹紡織物,1141212,16144695,253083,12733921,34920,1066525,337471,2344249,2185402,3897458,410689,3395347,209991,502111
2015年,平成27年,年次,絹織物交織,561647,1935022,273334,1278704,5650,146919,96138,509399,-,-,-,-,-,-
2015年,平成27年,年次,人絹織物,14503,256737,-,-,-,-,14503,256737,747720,474909,4122,11907,727894,463002
2015年,平成27年,年次,合成繊維織物,451884,861188,-,-,-,-,451884,861188,490197,270915,5354,13426,464447,257489
2015年,平成27年,年次,毛織物,4079,8550,-,-,309,3446,2655,5104,-,-,-,-,-,-
2015年,平成27年,年次,その他の織物,37397,155377,-,-,-,-,37397,155377,-,-,-,-,-,-
