機械製品等,2011年(千円),2012年(千円),2013年(千円),2014年(千円),2015年(千円)
総額,1004628351,917958443,1193587814,1246349942,1319962257
ボイラ及び原動機,X,X,X,X,X
化学機械及び貯蔵槽,X,X,-,-,-
印刷機械、製版機械、製本機械及び紙工機械,X,X,X,X,X
ポンプ、圧縮機及び送風機,17874875,16610988,17257862,18121225,19156772
油圧機器及び空気圧機器,X,X,X,X,X
運搬機械及び産業用ロボット,11801000,11390000,12987000,15305000,17103000
動力伝導装置,23280480,22257318,19358692,21399253,19705535
農業用機械器具,X,X,-,-,-
金属工作機械,X,X,X,X,X
金属加工機械及び鋳造装置,X,X,X,X,X
食料品加工機械、包装機械及び荷造機械,X,X,X,X,X
業務用サービス機器,X,-,-,-,-
ばね,8614623,8539942,8540273,8213494,7823571
金型,9322281,9177123,11765796,14214137,13048964
機械工具,1157660,1697834,1459348,1655229,1783631
弁及び管継手,X,X,X,X,X
空気動工具、作業工具、のこ刃及び機械刃物,X,X,X,X,X
ガス機器、石油機器及び太陽熱温水器,X,X,X,X,X
半導体製造装置及びフラットパネル・ディスプレイ製造装置,34266000,33909000,26737000,19959000,36434000
静止電気機械器具,17139000,16587000,34363000,X,39000000
開閉制御装置,50953000,48115000,43508000,36966000,38207000
民生用電気機械器具,X,X,X,X,X
電球、配線及び電気照明器具,9740000,8679000,8774000,8369000,9041000
民生用電子機械器具,X,X,X,-,-
電子部品,180571000,167698000,181271000,208162000,317976000
電子管、半導体素子、集積回路、液晶素子及び太陽電池モジュール,97770000,109187000,195076000,216328000,203014000
電子計算機、情報端末及び電子応用装置,30072000,25625000,23019000,25813000,26261000
電気計測器,15609000,15476000,13840000,10500000,9054000
電池,40656000,43064000,55302000,73559000,55089000
自動車,20291000,18447000,179687000,169508000,126014000
自動車部品及び内燃機関電装品,217273000,172571000,168660000,182751000,181701000
産業車両,X,X,X,X,X
航空機,X,X,X,X,X
計測機器,79153000,58177000,64768000,70911000,77439000
光学機械器具,X,X,X,-,-
武器,X,X,X,・,・
粉末や金製品,X,X,X,X,X
鍛工品,3534734,2876761,2721871,3074314,3884994
銑鉄鋳物,5467000,5295000,5029000,X,X
非鉄金属鋳物,6303743,5147661,5541586,6279074,7119792
ダイカスト,X,X,X,X,X
