西暦,和暦,計量器,検定数_新品,検定数_その他,製造した計量器数,修理した計量器数
2011年度,平成23年度,合計,53,11472,432342,17298
2012年度,平成24年度,合計,58,10992,439876,17383
2013年度,平成25年度,合計,78,11820,421199,19353
2014年度,平成26年度,合計,57,10399,420522,20880
2015年度,平成27年度,合計,55,10223,449477,19173
2015年度,平成27年度,タクシーメーター,-,9034,-,8745
2015年度,平成27年度,電気抵抗線式はかり,1,69,15,1307
2015年度,平成27年度,誘電式はかり,-,3,-,146
2015年度,平成27年度,電磁式はかり,-,-,1032,-
2015年度,平成27年度,その他の電気式はかり,-,-,-,-
2015年度,平成27年度,手動天びん,-,-,-,-
2015年度,平成27年度,その他の手動はかり,-,-,-,55
2015年度,平成27年度,ばね式はかり,-,2,-,5
2015年度,平成27年度,その他の指示はかり,-,-,-,-
2015年度,平成27年度,その他のはかり,-,-,-,401
2015年度,平成27年度,分銅、おもり,-,-,-,2136
2015年度,平成27年度,ガラス製温度計,-,-,-,-
2015年度,平成27年度,水道メーター,-,-,1167,-
2015年度,平成27年度,温水メーター,-,-,-,-
2015年度,平成27年度,自動車等給油メーター,-,941,3405,5079
2015年度,平成27年度,その他の燃料油メーター,54,160,52,381
2015年度,平成27年度,液化石油ガスメーター,-,14,10,5
2015年度,平成27年度,ガスメーター,-,-,372976,-
2015年度,平成27年度,その他の積算体積計等,-,-,7,-
2015年度,平成27年度,密度計,-,-,-,-
2015年度,平成27年度,流速計,-,-,-,-
2015年度,平成27年度,流量計,-,-,369,-
2015年度,平成27年度,圧力計,-,-,-,27
2015年度,平成27年度,熱量計,-,-,1670,-
2015年度,平成27年度,照度計,-,-,-,-
2015年度,平成27年度,騒音計,-,-,-,-
2015年度,平成27年度,振動レベル計,-,-,-,-
2015年度,平成27年度,浮ひょう型濃度計,-,-,-,-
2015年度,平成27年度,濃度計(浮ひょう型濃度計を除く),-,-,68774,886
2015年度,平成27年度,比重計,-,-,-,-
