西暦,和暦,産業,事業所数(事業所),法人(事業所),個人(事業所),従業者規模別_2人以下(事業所),従業者規模別_3〜4人(事業所),従業者規模別_5〜9人(事業所),従業者規模別_10〜19人(事業所),従業者規模別_20〜29人(事業所),従業者規模別_30〜49人(事業所),従業者規模別_50〜99人(事業所),従業者規模別_100人以上(事業所)
2012年,平成24年,合計,21806,11590,10216,9234,4849,3938,2158,759,472,256,140
2014年,平成26年,合計,22139,12806,9333,8707,4996,4258,2392,874,495,259,158
2014年,平成26年,卸売業計,5293,4197,1096,1445,1237,1358,736,250,157,76,34
2014年,平成26年,各種商品卸売業,16,14,2,3,3,3,3,2,1,1,-
2014年,平成26年,繊維・衣服等卸売業,955,737,218,343,228,188,105,36,33,13,9
2014年,平成26年,飲食料品卸売業,1123,825,298,277,221,290,200,73,35,21,6
2014年,平成26年,"建築材料,鉱物・金属材料等卸売業",923,754,169,228,257,265,117,30,18,5,3
2014年,平成26年,機械器具卸売業,1094,978,116,224,257,323,180,59,29,13,9
2014年,平成26年,その他の卸売業,1182,889,293,370,271,289,131,50,41,23,7
2014年,平成26年,小売業計,16846,8609,8237,7262,3759,2900,1656,624,338,183,124
2014年,平成26年,各種商品小売業,63,57,6,7,6,5,5,1,1,7,31
2014年,平成26年,織物・衣服・身の回り品小売業,2508,1424,1084,1180,615,504,150,22,22,13,2
2014年,平成26年,飲食料品小売業,5317,2278,3039,2182,1115,733,616,353,159,94,65
2014年,平成26年,機械器具小売業,2144,1207,937,864,522,383,242,83,36,11,3
2014年,平成26年,その他の小売業,6195,3239,2956,2713,1406,1189,576,144,108,47,12
2014年,平成26年,無店舗小売業,619,404,215,316,95,86,67,21,12,11,11
