西暦,和暦,地域コード,地域,卸売・小売業計_事業所数(事業所),卸売・小売業計_従業者数(人),卸売・小売業計_年間商品販売額(百万円),卸売業_事業所数(事業所),卸売業_従業者数(人),卸売業_年間商品販売額(百万円),卸売業_商品手持額(百万円),各種商品卸売業_事業所数(事業所),各種商品卸売業_従業者数(人),各種商品卸売業_年間商品販売額(百万円),各種商品卸売業_商品手持額(百万円),繊維・衣服等卸売業_事業所数(事業所),繊維・衣服等卸売業_従業者数(人),繊維・衣服等卸売業_年間商品販売額(百万円),繊維・衣服等卸売業_商品手持額(百万円),飲食料品卸売業_事業所数(事業所),飲食料品卸売業_従業者数(人),飲食料品卸売業_年間商品販売額(百万円),飲食料品卸売業_商品手持額(百万円),建築材料，鉱物・金属材料等卸売業_事業所数(事業所),建築材料，鉱物・金属材料等卸売業_従業者数(人),建築材料，鉱物・金属材料等卸売業_年間商品販売額(百万円),建築材料，鉱物・金属材料等卸売業_商品手持額(百万円),機械器具卸売業_事業所数(事業所),機械器具卸売業_従業者数(人),機械器具卸売業_年間商品販売額(百万円),機械器具卸売業_商品手持額(百万円),その他の卸売業_事業所数(事業所),その他の卸売業_従業者数(人),その他の卸売業_年間商品販売額(百万円),その他の卸売業_商品手持額(百万円),小売業_事業所数(事業所),小売業_従業者数(人),小売業_年間商品販売額(百万円),小売業_商品手持額(百万円),小売業_売場面積(m2),各種商品小売業_事業所数(事業所),各種商品小売業_従業者数(人),各種商品小売業_年間商品販売額(百万円),各種商品小売業_商品手持額(百万円),各種商品小売業_売場面積(m2),織物・衣服・身の回り品小売業_事業所数(事業所),織物・衣服・身の回り品小売業_従業者数(人),織物・衣服・身の回り品小売業_年間商品販売額(百万円),織物・衣服・身の回り品小売業_商品手持額(百万円),織物・衣服・身の回り品小売業_売場面積(m2),飲食料品小売業_事業所数(事業所),飲食料品小売業_従業者数(人),飲食料品小売業_年間商品販売額(百万円),飲食料品小売業_商品手持額(百万円),飲食料品小売業_売場面積(m2),機械器具小売業_事業所数(事業所),機械器具小売業_従業者数(人),機械器具小売業_年間商品販売額(百万円),機械器具小売業_商品手持額(百万円),機械器具小売業_売場面積(m2),その他小売業_事業所数(事業所),その他小売業_従業者数(人),その他小売業_年間商品販売額(百万円),その他小売業_商品手持額(百万円),その他小売業_売場面積(m2),無店舗小売業_事業所数(事業所),無店舗小売業_従業者数(人),無店舗小売業_年間商品販売額(百万円),無店舗小売業_商品手持額(百万円),無店舗小売業_売場面積(m2)
2012年,平成24年,26000,京都府,21806,170510,6418870,5109,49770,4023627,193882,25,313,47844,2169,923,8936,259435,59250,1021,10771,891851,35883,932,6589,493818,17110,1045,11642,1216192,33411,1163,11519,1114487,46058,16697,120740,2395244,209420,2500282,58,9455,359052,21514,456216,2501,10504,153329,25013,305290,5396,49661,650707,28683,700933,2007,11782,340355,29403,253900,6141,33341,601310,84434,783943,594,5997,290492,20374,-
2014年,平成26年,26000,京都府,22139,180114,5972895,5293,51970,3419213,-,16,205,18458,-,955,10408,304979,-,1123,11187,869843,-,923,6955,454246,-,1094,12622,976585,-,1182,10593,795102,-,16846,128144,2553682,-,2576087,63,9657,344655,-,458340,2508,11489,171095,-,451400,5317,50376,673094,-,644672,2144,13552,434892,-,280200,6195,36802,671111,-,741475,619,6268,258835,-,-
2014年,平成26年,26100,京都市,14037,120754,4389249,3794,41878,2739206,-,7,102,7305,-,845,9953,289737,-,782,8334,654464,-,560,4850,337211,-,724,9864,791352,-,876,8775,659138,-,10243,78876,1650043,-,1468276,27,4962,245161,-,236429,1643,7983,127185,-,320636,3393,32074,423309,-,368561,1097,7368,254003,-,160451,3734,22221,387890,-,382199,349,4268,212495,-,-
2014年,平成26年,26101,京都市北区,973,5980,96629,181,777,20755,-,-,-,-,-,75,320,10408,-,32,121,1649,-,19,96,2187,-,17,81,3555,-,38,159,2956,-,792,5203,75874,-,66343,1,269,X,-,X,117,369,4920,-,10896,296,2440,27608,-,22184,82,455,13219,-,6500,266,1513,X,-,X,30,157,4218,-,-
2014年,平成26年,26102,京都市上京区,1108,7170,126396,257,2095,67767,-,-,-,-,-,127,813,31938,-,26,188,5288,-,27,148,9614,-,23,603,13573,-,54,343,7354,-,851,5075,58629,-,53390,2,73,X,-,X,121,359,3305,-,7658,311,2462,24476,-,22044,83,261,4901,-,2564,309,1626,X,-,X,25,294,5250,-,-
2014年,平成26年,26103,京都市左京区,1170,8634,173623,192,1407,56657,-,-,-,-,-,35,252,9453,-,44,390,7630,-,18,61,1782,-,35,267,16124,-,60,437,21667,-,978,7227,116966,-,106674,2,228,X,-,X,121,465,5748,-,11226,342,3553,46081,-,38485,103,545,17273,-,10224,384,2228,X,-,X,26,208,8249,-,-
2014年,平成26年,26104,京都市中京区,2061,15366,564464,556,6013,417791,-,3,47,3879,-,205,1818,57705,-,68,512,32187,-,75,630,66944,-,72,1185,99552,-,133,1821,157524,-,1505,9353,146672,-,144569,1,2,X,-,X,371,1745,23549,-,33158,428,3739,44808,-,44122,100,575,14175,-,10104,557,3024,X,-,X,48,268,5847,-,-
2014年,平成26年,26105,京都市東山区,819,3910,58708,117,527,15934,-,-,-,-,-,12,38,883,-,23,128,6053,-,19,98,3952,-,16,86,2601,-,47,177,2444,-,702,3383,42775,-,39939,-,-,-,-,-,104,366,4094,-,6622,240,1636,17983,-,14406,26,70,573,-,879,326,1283,19707,-,18032,6,28,419,-,-
2014年,平成26年,26110,京都市山科区,774,6699,183089,195,1606,89246,-,-,-,-,-,27,179,10012,-,30,220,14610,-,47,324,13032,-,39,303,24080,-,52,580,27513,-,579,5093,93843,-,74376,2,120,X,-,X,51,214,3190,-,6640,194,2343,38843,-,29540,99,641,16734,-,7011,198,1447,X,-,X,35,328,7663,-,-
2014年,平成26年,26106,京都市下京区,2101,24413,1314163,884,11644,896712,-,-,-,-,-,242,3615,120429,-,316,3830,379223,-,49,823,69095,-,125,1728,162545,-,152,1648,165419,-,1217,12769,417451,-,423761,5,2450,183226,-,133763,277,2082,48216,-,171444,379,4139,60144,-,29272,72,704,41345,-,47208,436,2733,60408,-,42074,48,661,24113,-,-
