西暦,和暦,産業,事業所数(事業所),従業者数(人),うち常用雇用者数(人),売上（収入）金額等_事業所数(事業所),売上（収入）金額等_従業者数(人),売上（収入）金額等_金額「国試算値」(百万円),付加価値額等_事業所数(事業所),付加価値額等_事業従事者数(人),付加価値額等_金額(百万円)
2012年,平成24年,合計,93073,866506,699214,70370,680351,15520484,72606,727229,2899310
2014年,平成26年,合計,95095,906694,756018,70768,611943,15729213,-,-,-
2014年,平成26年,G_情報通信業,1042,14570,12911,629,8147,240370,-,-,-
2014年,平成26年,37_通信業,80,1739,1673,-,-,-,-,-,-
2014年,平成26年,38_放送業,18,449,426,-,-,-,-,-,-
2014年,平成26年,39_情報サービス業,499,8122,7285,-,-,-,-,-,-
2014年,平成26年,40_インターネット附随サービス業,108,772,617,-,-,-,-,-,-
2014年,平成26年,41_映像・音声・文字情報制作業,337,3488,2910,-,-,-,-,-,-
2014年,平成26年,H_運輸業，郵便業,2157,59019,54738,850,12374,673323,-,-,-
2014年,平成26年,42_鉄道業,111,5164,5073,-,-,-,-,-,-
2014年,平成26年,43_道路旅客運送業,573,16284,15373,-,-,-,-,-,-
2014年,平成26年,44_道路貨物運送業,1099,26240,23912,-,-,-,-,-,-
2014年,平成26年,45_水運業,16,269,239,-,-,-,-,-,-
2014年,平成26年,46_航空運輸業,7,39,39,-,-,-,-,-,-
2014年,平成26年,47_倉庫業,156,3535,3264,-,-,-,-,-,-
2014年,平成26年,48_運輸に附帯するサービス業,187,5333,4686,-,-,-,-,-,-
2014年,平成26年,49_郵便業（信書便事業を含む）,8,2155,2152,-,-,-,-,-,-
2014年,平成26年,I_卸売業，小売業,30363,249992,205820,24577,206469,6787150,-,-,-
2014年,平成26年,50_各種商品卸売業,20,239,202,-,-,-,-,-,-
2014年,平成26年,51_繊維・衣服等卸売業,1324,15191,12696,-,-,-,-,-,-
2014年,平成26年,52_飲食料品卸売業,1526,16052,13115,-,-,-,-,-,-
2014年,平成26年,53_建築材料，鉱物・金属材料等卸売業,1311,9583,7482,-,-,-,-,-,-
2014年,平成26年,54_機械器具卸売業,1577,17194,15492,-,-,-,-,-,-
2014年,平成26年,55_その他の卸売業,1790,16312,13659,-,-,-,-,-,-
2014年,平成26年,56_各種商品小売業,83,10576,10463,-,-,-,-,-,-
2014年,平成26年,57_織物・衣服・身の回り品小売業,3495,16519,12971,-,-,-,-,-,-
2014年,平成26年,58_飲食料品小売業,7032,71225,59021,-,-,-,-,-,-
2014年,平成26年,59_機械器具小売業,3059,18081,14120,-,-,-,-,-,-
2014年,平成26年,60_その他の小売業,8301,50792,39543,-,-,-,-,-,-
2014年,平成26年,61_無店舗小売業,845,8228,7056,-,-,-,-,-,-
2014年,平成26年,J_金融業，保険業,1577,27057,25518,448,2204,3196198,-,-,-
2014年,平成26年,62_銀行業,261,6163,5984,-,-,-,-,-,-
2014年,平成26年,63_協同組織金融業,265,6132,6034,-,-,-,-,-,-
2014年,平成26年,64_貸金業，クレジットカード業等非預金信用機関,114,2113,1923,-,-,-,-,-,-
2014年,平成26年,65_金融商品取引業，商品先物取引業,76,1183,1077,-,-,-,-,-,-
2014年,平成26年,66_補助的金融業等,34,369,343,-,-,-,-,-,-
2014年,平成26年,67_保険業（保険媒介代理業，保険サービス業を含む）,827,11097,10157,-,-,-,-,-,-
