西暦,和暦,項目,総額(百万円),先進地域(百万円),北アメリカ(百万円),西ヨーロッパ(百万円),大洋州(百万円),発展途上地域(百万円),東南アジア(百万円),中近東(百万円),アフリカ(百万円),中南米(百万円),ロシア・中国・東欧諸国等(百万円),ロシア(百万円),中国(百万円),東欧諸国(百万円),その他(百万円)
2011年,平成23年,合計,377834,125258,71538,51708,2012,130127,98991,21244,2421,7471,106379,993,105307,79,16070
2012年,平成24年,合計,1123611,512018,257319,252779,1920,324634,299267,16035,2393,6939,212572,603,211460,509,74387
2013年,平成25年,合計,1178260,527388,286800,239183,1405,368261,314311,27566,1990,24394,189340,592,188347,401,93271
2014年,平成26年,合計,1357115,613988,316906,295600,1482,367036,346087,10454,1213,9282,272539,587,269259,2693,103552
2015年,平成27年,合計,1400201,654469,325276,326988,2205,340806,305208,5827,3633,26138,291752,947,289795,1010,113174
2015年,平成27年,重化学工業品計,1393961,652567,324468,326089,2010,337488,302611,5497,3400,25980,291008,887,289260,861,112898
2015年,平成27年,重化学工業品_機械,1385817,651029,324058,324962,2009,333815,299304,5444,3372,25695,288080,885,286334,861,112893
2015年,平成27年,重化学工業品_金属,3348,381,324,57,-,1635,1605,10,20,-,1328,2,1326,-,4
2015年,平成27年,重化学工業品_化学品・薬品,4796,1157,86,1070,1,2038,1702,43,8,285,1600,-,1600,-,1
2015年,平成27年,軽工業品計,4233,1135,374,655,106,2339,1849,245,167,78,489,-,400,89,270
2015年,平成27年,軽工業品_染色,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,軽工業品_織物,92,1,-,1,-,91,-,91,-,-,-,-,-,-,-
2015年,平成27年,軽工業品_繊維製品,3363,801,249,543,9,2009,1706,154,71,78,379,-,290,89,174
2015年,平成27年,軽工業品_雑貨,778,333,125,111,97,239,143,-,96,-,110,-,110,-,96
2015年,平成27年,食料・種苗計,2007,767,434,244,89,979,748,85,66,80,255,60,135,60,6
