西暦,和暦,年月,種別,総額(百万円),紳士服・洋品(百万円),婦人・子供服・洋品(百万円),その他の衣料品(百万円),身の回り品(百万円),飲食料品(百万円),家具(百万円),家庭用電気機械器具(百万円),家庭用品(百万円),その他の商品(百万円),食堂・喫茶(百万円),商品券(百万円),事業所数(店)
2011年,平成23年,年次,合計,500301,25636,88526,7765,35478,223815,4490,6543,16337,78608,13103,7699,76
2012年,平成24年,年次,合計,496950,26198,88847,7455,33761,223730,4270,5610,15898,77759,13423,7209,77
2013年,平成25年,年次,合計,496298,25625,87549,7323,33845,225077,4230,5465,15687,78169,13328,7137,77
2014年,平成26年,年次,合計,504157,25680,87897,7310,33989,229234,4200,5862,15057,81178,13752,6759,78
2015年,平成27年,年次,合計,502487,25020,84828,6949,33964,233685,3989,5767,13603,80260,14421,6261,75
2015年,平成27年,1月,合計,43633,2744,8505,645,3048,19133,313,479,1233,6396,1137,395,78
2015年,平成27年,2月,合計,37089,1588,5657,450,2194,18096,247,375,1022,6529,931,368,79
2015年,平成27年,3月,合計,43667,2090,7928,641,3095,18637,461,955,1223,7463,1174,518,79
2015年,平成27年,4月,合計,40784,1958,6901,510,2697,18184,310,478,1229,7258,1259,434,80
2015年,平成27年,5月,合計,41471,2203,7023,554,2857,18853,341,415,1266,6696,1265,428,80
2015年,平成27年,6月,合計,40129,1965,6390,550,2590,19028,287,429,1153,6518,1218,615,79
2015年,平成27年,7月,合計,43130,2016,7527,696,3056,20345,377,484,1113,6204,1311,735,75
2015年,平成27年,8月,合計,39351,1471,5653,504,2451,19783,294,436,996,6556,1206,413,75
2015年,平成27年,9月,合計,37711,1621,6304,514,2580,18124,310,348,890,5973,1047,370,75
2015年,平成27年,10月,合計,40838,2226,7345,595,2817,18629,346,365,982,6299,1233,427,75
2015年,平成27年,11月,合計,42332,2363,7323,631,2690,19799,328,436,1068,6326,1369,646,75
2015年,平成27年,12月,合計,52354,2774,8271,659,3889,25075,376,567,1428,8043,1271,911,75
2011年,平成23年,年次,百貨店,237575,17797,69218,5055,29084,64338,2803,873,8819,28659,10928,6570,5
2012年,平成24年,年次,百貨店,237246,18396,70570,4750,27505,63874,2730,770,8822,28585,11243,6204,5
2013年,平成25年,年次,百貨店,237605,18249,70377,4860,27902,63352,2756,731,8690,29526,11163,6068,5
2014年,平成26年,年次,百貨店,240555,18646,71414,4974,28299,62338,2800,680,8203,31767,11433,5817,4
2015年,平成27年,年次,百貨店,237270,18072,68900,4665,28268,60332,2656,548,7673,34237,11919,5317,4
2015年,平成27年,1月,百貨店,20793,2079,7126,459,2532,4259,215,52,668,2475,927,316,4
2015年,平成27年,2月,百貨店,16895,1152,4615,314,1812,4745,173,43,541,2662,839,303,4
2015年,平成27年,3月,百貨店,21107,1553,6597,482,2556,4624,316,58,650,3202,1068,425,4
2015年,平成27年,4月,百貨店,18354,1395,5559,356,2174,4213,194,81,631,2765,986,365,4
2015年,平成27年,5月,百貨店,18671,1550,5512,359,2354,4230,218,42,649,2747,1011,367,4
2015年,平成27年,6月,百貨店,18130,1335,5015,368,2110,4778,183,48,589,2794,911,553,4
2015年,平成27年,7月,百貨店,21458,1473,6144,487,2588,5866,283,49,715,2830,1023,649,4
2015年,平成27年,8月,百貨店,17085,978,4436,328,1967,4655,209,36,591,2764,1120,323,4
2015年,平成27年,9月,百貨店,17231,1181,5228,349,2105,4102,228,39,517,2539,942,298,4
2015年,平成27年,10月,百貨店,19371,1618,5983,366,2392,4472,202,31,589,2777,943,360,4
2015年,平成27年,11月,百貨店,20936,1698,5878,403,2226,5782,201,35,655,2951,1107,576,4
2015年,平成27年,12月,百貨店,27239,2059,6808,394,3453,8608,235,33,877,3731,1042,782,4
2011年,平成23年,年次,スーパー,262726,7839,19308,2710,6394,159477,1687,5670,7518,49949,2175,1129,71
2012年,平成24年,年次,スーパー,259705,7802,18277,2705,6255,159856,1540,4840,7076,49174,2180,1005,72
2013年,平成25年,年次,スーパー,258693,7376,17172,2463,5943,161724,1475,4734,6997,48643,2165,1069,72
2014年,平成26年,年次,スーパー,263602,7034,16482,2336,5690,166896,1399,5182,6854,49411,2319,942,74
2015年,平成27年,年次,スーパー,265217,6948,15928,2284,5696,173353,1333,5219,5930,46024,2503,944,71
2015年,平成27年,1月,スーパー,22840,665,1380,185,516,14874,99,427,565,3920,209,79,74
2015年,平成27年,2月,スーパー,20194,436,1042,136,383,13351,74,332,481,3867,93,65,75
2015年,平成27年,3月,スーパー,22560,537,1331,159,539,14013,145,897,573,4260,106,93,75
2015年,平成27年,4月,スーパー,22430,564,1342,153,524,13971,116,397,598,4493,273,69,76
2015年,平成27年,5月,スーパー,22800,653,1511,195,502,14623,123,373,617,3950,254,61,76
2015年,平成27年,6月,スーパー,21998,630,1376,182,480,14251,104,381,564,3724,307,62,75
2015年,平成27年,7月,スーパー,21671,543,1383,209,468,14479,94,435,398,3375,288,86,71
2015年,平成27年,8月,スーパー,22266,493,1217,177,484,15128,85,399,405,3792,86,90,71
2015年,平成27年,9月,スーパー,20479,440,1076,165,475,14023,81,309,373,3434,105,73,71
2015年,平成27年,10月,スーパー,21467,608,1363,229,426,14157,145,334,393,3522,290,67,71
2015年,平成27年,11月,スーパー,21396,664,1445,228,464,14017,126,401,413,3375,262,70,71
2015年,平成27年,12月,スーパー,25115,715,1463,265,437,16467,141,534,551,4312,230,129,71
