西暦,和暦,年月,都道府県等,青果_野菜(t),青果_果実(t),生鮮水産物_鮮魚(t),生鮮水産物_冷凍魚(t),生鮮水産物_貝類(t),生鮮水産物_鯨肉(t),生鮮水産物_淡水魚(t),加工水産物_塩干・加工品(t),加工水産物_海草(t),加工食料品_つけ物(t),加工食料品_鳥肉(t),加工食料品_鳥卵(t),加工食料品_つくだ煮(t)
2015年,平成27年,年次,-,222774,40257,19838,4687,1559,3,432,12352,203,3637,173,513,1930
2015年,平成27年,1月,-,15752,2996,1611,300,134,0,16,928,14,265,13,43,131
2015年,平成27年,2月,-,15773,3056,1614,345,143,0,18,896,12,247,13,42,147
2015年,平成27年,3月,-,17797,3137,1600,382,154,0,22,1047,16,305,14,46,156
2015年,平成27年,4月,-,17488,2779,1544,403,136,0,28,1083,27,279,14,41,159
2015年,平成27年,5月,-,18416,2760,1616,392,130,0,36,1045,20,304,13,46,160
2015年,平成27年,6月,-,18825,3159,1585,371,121,0,48,1068,20,278,12,40,152
2015年,平成27年,7月,-,17661,3839,1591,339,121,0,95,966,19,297,12,41,148
2015年,平成27年,8月,-,18067,3200,1495,352,107,0,44,968,20,276,12,43,152
2015年,平成27年,9月,-,20360,3448,1631,322,92,1,26,974,17,317,13,45,154
2015年,平成27年,10月,-,22448,3740,1779,346,101,1,25,1055,14,322,16,43,156
2015年,平成27年,11月,-,19204,3394,1690,355,126,0,18,1059,13,287,15,39,154
2015年,平成27年,12月,-,20475,4194,1923,474,193,0,19,1227,11,461,25,45,261
2015年,平成27年,年次,北海道,44435,296,664,121,175,-,8,840,0,-,…,-,…
2015年,平成27年,年次,青森,6766,5498,377,69,38,-,0,185,-,-,…,-,…
2015年,平成27年,年次,岩手,1608,428,55,0,0,-,-,69,2,-,…,-,…
2015年,平成27年,年次,宮城,5,-,2406,194,55,-,-,250,19,-,…,-,…
2015年,平成27年,年次,秋田,118,155,58,-,1,-,0,6,-,-,…,-,…
2015年,平成27年,年次,山形,140,1000,25,-,2,-,-,22,-,-,…,-,…
2015年,平成27年,年次,福島,618,52,1,-,0,-,-,2,-,-,…,-,…
2015年,平成27年,年次,茨城,8752,130,73,8,-,-,7,331,-,-,…,-,…
