項目,2011年_数量(t),2011年_数量(t),2012年_数量(t),2012年_金額(百万円),2013年_数量(t),2013年_金額(百万円),2014年_数量(t),2014年_金額(百万円),2015年_数量(t),2015年_金額(百万円)
総数,327582,113076,317911,109761,318367,109079,310050,109088,308358,116099
青果,271619,65631,265875,65003,267404,65555,262437,64859,263031,71208
青果_野菜,222360,49454,218100,49202,222784,50311,220102,49793,222774,55360
青果_果実,49259,16178,47775,15801,44620,15244,42334,15065,40257,15847
生鮮水産物,31568,29493,30181,27637,30012,27604,27607,28012,26519,28505
生鮮水産物_鮮魚,22619,20367,21585,19435,21513,19363,20519,19781,19838,20249
生鮮水産物_冷凍魚,6188,5654,5844,5072,5497,5264,4699,5226,4687,5234
生鮮水産物_貝類,1986,2086,2109,2080,2391,2006,1840,2109,1559,2159
生鮮水産物_鯨肉,4,13,7,12,5,18,5,15,3,10
生鮮水産物_淡水魚,771,1374,635,1038,606,954,545,882,432,853
加工水産物,17034,13724,15395,13146,14581,12044,13644,12119,12555,12324
加工水産物_塩干・加工品,16621,13564,15040,12987,14250,11899,13434,12009,12352,12222
加工水産物_海草,414,159,355,159,331,145,210,110,203,102
加工食料品,7360,4228,6460,3975,6371,3875,6362,4098,6253,4063
加工食料品_つけ物,3646,1427,3561,1392,3436,1344,3699,1444,3637,1423
加工食料品_鳥肉,206,225,188,190,185,176,182,182,173,179
加工食料品_鳥卵,1659,339,754,128,871,138,534,113,513,117
加工食料品_乾物,-,404,-,397,-,394,-,393,-,386
加工食料品_つくだ煮,1850,1834,1957,1868,1878,1823,1947,1964,1930,1957
