西暦,和暦,年月,都市銀行(億円),地域銀行(億円),信用金庫(億円)
2011年,平成23年,年次,18893,35652,35924
2012年,平成24年,年次,18913,35795,35742
2013年,平成25年,年次,17634,35579,36605
2014年,平成26年,年次,17554,35960,37241
2015年,平成27年,年次,17123,36623,38492
2015年,平成27年,1月,17280,35710,37170
2015年,平成27年,2月,17301,35812,37266
2015年,平成27年,3月,17314,36267,37655
2015年,平成27年,4月,16995,35597,37561
2015年,平成27年,5月,16874,35673,37582
2015年,平成27年,6月,16942,35755,37491
2015年,平成27年,7月,16937,35786,37667
2015年,平成27年,8月,16836,35713,37777
2015年,平成27年,9月,17063,36387,38206
2015年,平成27年,10月,16896,36242,38233
2015年,平成27年,11月,16894,36076,38134
2015年,平成27年,12月,17123,36623,38492
