西暦,和暦,年月,店舗数(店),預金(百万円),預金_要求払(百万円),預金_定期性(百万円),預金_その他(百万円),貸出金(百万円),貸出金_割引手形(百万円),貸出金_手形貸付(百万円),貸出金_証書貸付(百万円),貸出金_当座貸越(百万円),現金在高(百万円),預け金(百万円)
2011年度,平成23年度,年度次,196,10882800,5401760,4873229,607791,5722898,34663,347472,4481765,858971,93352,147858
2012年度,平成24年度,年度次,198,11199952,5759965,4799559,640404,5642933,33691,266110,4501928,841177,88528,124336
2013年度,平成25年度,年度次,197,11628446,6110883,4834147,683396,5468835,27190,216465,4467080,758077,99065,229390
2014年度,平成26年度,年度次,204,11665444,6357514,4630920,676986,5476976,25325,224470,4480832,746323,97049,420010
2015年度,平成27年度,年度次,205,11809398,6574238,4497685,737452,5573473,22714,229431,4575118,746183,97281,342057
2015年度,平成27年度,4月,204,11714591,6361344,4672938,680290,5368740,23062,204263,4471047,670341,108026,366545
2015年度,平成27年度,5月,204,11708942,6304787,4738867,665268,5366947,26231,211730,4469100,659861,94173,283508
2015年度,平成27年度,6月,204,11687764,6308943,4741755,637046,5387701,22785,212003,4435369,717517,90830,347578
2015年度,平成27年度,7月,204,11489561,6143527,4694956,651056,5380495,22369,215046,4430175,712881,93178,237169
2015年度,平成27年度,8月,204,11441942,6113483,4669977,658460,5362740,22041,219705,4423625,697348,90623,238969
2015年度,平成27年度,9月,204,11504085,6164066,4665139,674855,5457045,22420,222835,4453927,757840,92773,242632
2015年度,平成27年度,10月,205,11481397,6191821,4646174,643384,5411667,24925,234960,4468405,683351,89560,396724
2015年度,平成27年度,11月,205,11573158,6185566,4656436,731137,5394910,22179,232979,4447464,692269,93465,146740
2015年度,平成27年度,12月,205,11577906,6303134,4617254,657497,5479817,26603,255268,4472346,725576,112375,356912
2015年度,平成27年度,1月,205,11597071,6259734,4612955,724361,5438927,26000,244800,4470231,697876,100450,213947
2015年度,平成27年度,2月,205,11620620,6335175,4575845,709579,5420268,22367,236902,4462821,698154,102154,153568
2015年度,平成27年度,3月,205,11809398,6574238,4497685,737452,5573473,22714,229431,4575118,746183,97281,342057
