西暦,和暦,年月,交換日数(日),枚数(千枚),交換金額(百万円),交換差額(百万円),1枚平均金額(千円),1日平均交換高_枚数(枚),1日平均交換高_交換金額(百万円),1日平均交換高_交換差額(百万円)
2011年,平成23年,年次,245,2239,3525214,1269308,1574,9140,14389,5181
2012年,平成24年,年次,248,2039,3261522,1143176,1600,8221,13151,4610
2013年,平成25年,年次,245,1915,3377094,1308976,1763,7818,13784,5343
2014年,平成26年,年次,244,1800,3311078,1220342,1840,7375,13570,5001
2015年,平成27年,年次,244,1663,3056940,1083750,1838,6815,12528,4442
2015年,平成27年,1月,19,128,236622,74515,1848,6738,12454,3922
2015年,平成27年,2月,19,131,239540,84764,1825,6907,12607,4461
2015年,平成27年,3月,22,156,288678,97881,1853,7080,13122,4449
2015年,平成27年,4月,21,139,253685,84683,1821,6634,12080,4033
2015年,平成27年,5月,18,125,249600,93901,1996,6946,13867,5217
2015年,平成27年,6月,22,156,326667,116973,2099,7075,14848,5317
2015年,平成27年,7月,22,153,263180,103681,1716,6972,11963,4713
2015年,平成27年,8月,21,132,258188,103799,1953,6296,12295,4943
2015年,平成27年,9月,19,130,233005,76844,1796,6829,12263,4044
2015年,平成27年,10月,21,123,200137,70247,1630,5847,9530,3345
2015年,平成27年,11月,19,138,255184,85829,1847,7270,13431,4517
2015年,平成27年,12月,21,152,252453,90634,1665,7219,12022,4316
