西暦,和暦,年月,総数_人員(人),総数_枚数(枚),総数_金額(千円),小切手_枚数(枚),小切手_金額(千円),約束手形_枚数(枚),約束手形_金額(千円),為替手形_枚数(枚),為替手形_金額(千円)
2011年,平成23年,年次,75,146,178878,54,41534,90,137115,2,230
2012年,平成24年,年次,69,151,169437,44,16549,107,152888,-,-
2013年,平成25年,年次,55,103,184401,25,29025,72,150020,6,5355
2014年,平成26年,年次,50,118,138558,41,21246,76,116694,1,618
2015年,平成27年,年次,41,92,301022,49,247619,41,53106,2,297
2015年,平成27年,1月,1,1,350,1,350,-,-,-,-
2015年,平成27年,2月,4,19,7771,13,6493,5,1164,1,113
2015年,平成27年,3月,3,6,8388,2,391,4,7997,-,-
2015年,平成27年,4月,2,4,2400,-,-,4,2400,-,-
2015年,平成27年,5月,4,7,238354,4,230200,3,8154,-,-
2015年,平成27年,6月,5,10,4412,4,1992,6,2420,-,-
2015年,平成27年,7月,2,7,7799,2,483,5,7316,-,-
2015年,平成27年,8月,7,11,5507,6,2534,5,2973,-,-
2015年,平成27年,9月,3,8,19780,2,453,6,19327,-,-
2015年,平成27年,10月,2,6,1634,5,1450,-,-,1,184
2015年,平成27年,11月,4,5,2597,3,1971,2,625,-,-
2015年,平成27年,12月,4,8,2031,7,1301,1,730,-,-
