西暦,和暦,区分,個人保険_件数(件),個人保険_金額(百万円),個人年金保険_件数(件),個人年金保険_金額(百万円)
2011年度,平成23年度,新規,247675,1243243,30321,156514
2011年度,平成23年度,保有,2446113,16793359,346384,1834825
2012年度,平成24年度,新規,291833,1358359,31769,167321
2012年度,平成24年度,保有,2634025,16692765,350771,1891737
2013年度,平成25年度,新規,282715,1260355,35852,186006
2013年度,平成25年度,保有,2805024,16600241,348376,1893401
2014年度,平成26年度,新規,289766,1355346,32822,179212
2014年度,平成26年度,保有,3074900,16661175,341012,1867916
2015年度,平成27年度,新規,304964,1408730,30225,166672
2015年度,平成27年度,保有,3147936,16740687,341777,1847077
