西暦,和暦,年月,保証申込_件数(件),保証申込_金額(千円),保証承諾_件数(件),保証承諾_金額(千円),代位弁済_件数(件),代位弁済_金額(千円),保証債務残高_件数(件),保証債務残高_金額(千円)
2011年度,平成23年度,年度次,16743,361441279,14976,312923658,1302,22617091,60821,991975964
2012年度,平成24年度,年度次,15864,345443961,14113,305723791,1274,21917597,58420,946249280
2013年度,平成25年度,年度次,14322,295191553,13182,268586347,968,18306747,56940,898056317
2014年度,平成26年度,年度次,12900,236963750,12016,220030099,922,16203664,55761,841067138
2015年度,平成27年度,年度次,12980,243218802,12086,226799033,880,14902163,53692,787245218
2015年度,平成27年度,4月,1030,16819707,874,15180205,50,866086,55436,834706118
2015年度,平成27年度,5月,908,16177795,817,13953087,95,2091709,55164,825754232
2015年度,平成27年度,6月,1212,22746291,1121,20610962,74,1256070,54894,820387664
2015年度,平成27年度,7月,1153,21112111,1010,18906591,53,697964,54661,815867729
2015年度,平成27年度,8月,965,18122146,936,17742007,72,1605716,54490,810038225
2015年度,平成27年度,9月,1237,23656368,1219,23158900,91,1388748,54354,806911231
2015年度,平成27年度,10月,910,15517743,799,13535061,89,1231740,54212,802297939
2015年度,平成27年度,11月,1039,19782566,941,17515529,77,1512936,54006,796219415
2015年度,平成27年度,12月,1324,25654091,1345,25559818,64,1048209,54014,795422652
2015年度,平成27年度,1月,752,14924894,680,13276832,86,1214113,53908,791225279
2015年度,平成27年度,2月,1076,20293787,954,18215991,45,664955,53787,786904572
2015年度,平成27年度,3月,1374,28411304,1390,29144051,84,1323916,53692,787245218
