西暦,和暦,年月,貸付金_総額(千円),貸付金_普通貸付(千円),貸付金_恩給担保貸付(千円),貸付金_教育資金貸付(千円),貸付金_その他貸付(千円),生活衛生貸付(千円)
2011年度,平成23年度,年度次,131273839,116033082,540548,14695909,4300,8747330
2012年度,平成24年度,年度次,130877373,116070430,488724,14315760,2459,8100866
2013年度,平成25年度,年度次,131270701,116225139,402838,14641119,1605,7708054
2014年度,平成26年度,年度次,130789081,115076183,346783,15364544,1571,7615041
2015年度,平成27年度,年度次,129457036,113077122,261929,16117984,-,7599145
2015年度,平成27年度,4月,131793984,115957054,314499,15520858,1571,7537233
2015年度,平成27年度,5月,130937125,115100277,318860,15516416,1571,7545126
2015年度,平成27年度,6月,131214504,115505223,287134,15420576,1571,7585257
2015年度,平成27年度,7月,130218605,114696820,299668,15220545,1571,7578117
2015年度,平成27年度,8月,130279718,114916474,281109,15080563,1571,7552710
2015年度,平成27年度,9月,129650523,114318889,292999,15037063,1571,7527416
2015年度,平成27年度,10月,129106918,113734948,274416,15097553,-,7557754
2015年度,平成27年度,11月,130108804,114528152,285577,15295074,-,7532750
2015年度,平成27年度,12月,131205383,115477976,268762,15458643,-,7629596
2015年度,平成27年度,1月,129646964,113981068,275853,15390042,-,7578685
2015年度,平成27年度,2月,130142365,114168720,256208,15717436,-,7627725
2015年度,平成27年度,3月,129457036,113077122,261929,16117984,-,7599145
