西暦,和暦,年月,貸付金_総額(千円),貸付金_直接貸付(千円)
2011年度,平成23年度,年度次,61415099,61415099
2012年度,平成24年度,年度次,61410462,61410462
2013年度,平成25年度,年度次,59691640,59691640
2014年度,平成26年度,年度次,60798169,60798169
2015年度,平成27年度,年度次,59842874,59842874
2015年度,平成27年度,4月,61242568,61242568
2015年度,平成27年度,5月,61176058,61176058
2015年度,平成27年度,6月,62021309,62021309
2015年度,平成27年度,7月,61333862,61333862
2015年度,平成27年度,8月,60351480,60351480
2015年度,平成27年度,9月,60514283,60514283
2015年度,平成27年度,10月,60603128,60603128
2015年度,平成27年度,11月,60802319,60802319
2015年度,平成27年度,12月,60701219,60701219
2015年度,平成27年度,1月,60852705,60852705
2015年度,平成27年度,2月,60725972,60725972
2015年度,平成27年度,3月,59842874,59842874
