西暦,和暦,年月,総数_件数(件),総数_負債金額(百万円),農・林・漁・鉱業_件数(件),農・林・漁・鉱業_負債金額(百万円),建設業_件数(件),建設業_負債金額(百万円),製造業_件数(件),製造業_負債金額(百万円),卸売業_件数(件),卸売業_負債金額(百万円),小売業_件数(件),小売業_負債金額(百万円),金融・保険業_件数(件),金融・保険業_負債金額(百万円),不動産業_件数(件),不動産業_負債金額(百万円),運輸業_件数(件),運輸業_負債金額(百万円),情報通信業_件数(件),情報通信業_負債金額(百万円),サービス業他_件数(件),サービス業他_負債金額(百万円)
2011年,平成23年,年次,394,56912,2,1100,98,7787,49,13019,36,5494,43,7259,-,-,11,1792,13,3899,11,615,131,15947
2012年,平成24年,年次,366,44242,1,80,98,12096,38,5901,45,10278,59,2552,1,41,5,390,18,2593,8,838,93,9473
2013年,平成25年,年次,376,53071,2,2920,100,8876,54,10972,44,13504,67,3054,2,66,11,4974,11,967,14,999,71,6739
2014年,平成26年,年次,306,49438,4,22863,64,5575,42,6049,35,4289,43,3154,-,-,8,1286,13,1201,7,589,90,4432
2015年,平成27年,年次,230,27942,-,-,56,4648,45,6306,33,5109,35,8115,-,-,6,556,10,1629,4,269,41,1310
2015年,平成27年,1月,13,2556,-,-,2,230,2,246,1,200,2,1330,-,-,1,240,3,260,-,-,2,50
2015年,平成27年,2月,16,861,-,-,2,250,4,236,2,50,4,235,-,-,-,-,-,-,-,-,4,90
2015年,平成27年,3月,28,4737,-,-,8,918,4,828,2,159,5,1415,-,-,-,-,1,1022,-,-,8,395
2015年,平成27年,4月,17,642,-,-,2,92,5,180,6,320,1,20,-,-,1,10,1,10,-,-,1,10
2015年,平成27年,5月,26,2269,-,-,6,277,-,-,4,231,6,1471,-,-,-,-,1,10,-,-,9,280
2015年,平成27年,6月,25,2370,-,-,8,455,9,1514,1,111,3,210,-,-,-,-,1,20,-,-,3,60
2015年,平成27年,7月,16,5383,-,-,2,626,4,1260,2,387,5,2950,-,-,-,-,1,100,-,-,2,60
2015年,平成27年,8月,17,1277,-,-,7,555,2,70,3,322,2,170,-,-,-,-,1,50,1,10,1,100
2015年,平成27年,9月,20,1915,-,-,5,240,2,120,5,1152,3,70,-,-,1,76,1,157,1,40,2,60
2015年,平成27年,10月,20,2085,-,-,7,471,3,225,2,1084,1,40,-,-,2,130,-,-,1,30,4,105
2015年,平成27年,11月,17,1529,-,-,2,180,5,370,4,570,2,90,-,-,1,100,-,-,1,189,2,30
2015年,平成27年,12月,15,2318,-,-,5,354,5,1257,1,523,1,114,-,-,-,-,-,-,-,-,3,70
