鉄道会社,線名,駅名,乗車(千人),定期(千人)
東海旅客鉄道,新幹線,京都,13566,391
西日本旅客鉄道,東海道本線,山科,12412,8190
西日本旅客鉄道,東海道本線,京都,73216,38838
西日本旅客鉄道,東海道本線,西大路,5838,4372
西日本旅客鉄道,東海道本線,桂川,4816,2778
西日本旅客鉄道,東海道本線,向日町,2816,1930
西日本旅客鉄道,東海道本線,長岡京,7540,5521
西日本旅客鉄道,東海道本線,山崎,2066,1480
西日本旅客鉄道,山陰本線,丹波口,2329,1604
西日本旅客鉄道,山陰本線,二条,4834,3009
西日本旅客鉄道,山陰本線,円町,3112,2131
西日本旅客鉄道,山陰本線,花園,1403,875
西日本旅客鉄道,山陰本線,太秦,1607,1035
西日本旅客鉄道,山陰本線,嵯峨嵐山,2522,995
西日本旅客鉄道,山陰本線,保津峡,148,47
西日本旅客鉄道,山陰本線,馬堀,1732,1135
西日本旅客鉄道,山陰本線,亀岡,3341,2338
西日本旅客鉄道,山陰本線,並河,1170,820
西日本旅客鉄道,山陰本線,千代川,806,606
西日本旅客鉄道,山陰本線,八木,570,393
西日本旅客鉄道,山陰本線,吉富,197,152
西日本旅客鉄道,山陰本線,園部,1751,1261
西日本旅客鉄道,山陰本線,船岡,14,12
西日本旅客鉄道,山陰本線,日吉,104,75
西日本旅客鉄道,山陰本線,鍼灸大学前,123,107
西日本旅客鉄道,山陰本線,胡麻,120,101
西日本旅客鉄道,山陰本線,下山,42,31
西日本旅客鉄道,山陰本線,和知,64,43
西日本旅客鉄道,山陰本線,安栖里,7,5
西日本旅客鉄道,山陰本線,立木,4,3
西日本旅客鉄道,山陰本線,山家,11,8
西日本旅客鉄道,山陰本線,綾部,593,337
西日本旅客鉄道,山陰本線,高津,42,29
西日本旅客鉄道,山陰本線,石原,186,150
西日本旅客鉄道,山陰本線,福知山,1350,632
西日本旅客鉄道,山陰本線,上川口,15,13
西日本旅客鉄道,山陰本線,下夜久野,25,15
西日本旅客鉄道,山陰本線,上夜久野,29,22
西日本旅客鉄道,関西本線,木津,1509,1083
西日本旅客鉄道,関西本線,加茂,873,641
西日本旅客鉄道,関西本線,笠置,94,64
西日本旅客鉄道,関西本線,大河原,23,18
西日本旅客鉄道,関西本線,月ケ瀬口,68,59
西日本旅客鉄道,片町線,西木津,151,98
西日本旅客鉄道,片町線,祝園,767,536
西日本旅客鉄道,片町線,下狛,149,110
西日本旅客鉄道,片町線,ＪＲ三山木,329,202
西日本旅客鉄道,片町線,同志社前,1651,1337
西日本旅客鉄道,片町線,京田辺,2237,1554
西日本旅客鉄道,片町線,大住,614,428
西日本旅客鉄道,片町線,松井山手,2564,1951
西日本旅客鉄道,奈良線,上狛,150,106
西日本旅客鉄道,奈良線,棚倉,215,152
西日本旅客鉄道,奈良線,玉水,382,262
西日本旅客鉄道,奈良線,山城多賀,153,102
西日本旅客鉄道,奈良線,山城青谷,349,239
西日本旅客鉄道,奈良線,長池,455,287
西日本旅客鉄道,奈良線,城陽,1276,867
西日本旅客鉄道,奈良線,新田,1111,772
西日本旅客鉄道,奈良線,ＪＲ小倉,703,452
西日本旅客鉄道,奈良線,宇治,3149,1690
西日本旅客鉄道,奈良線,黄檗,1395,883
西日本旅客鉄道,奈良線,木幡,998,650
西日本旅客鉄道,奈良線,六地蔵,2837,1777
西日本旅客鉄道,奈良線,桃山,764,474
西日本旅客鉄道,奈良線,ＪＲ藤森,1091,706
西日本旅客鉄道,奈良線,稲荷,3178,1295
西日本旅客鉄道,奈良線,東福寺,3492,1811
西日本旅客鉄道,舞鶴線,淵垣,57,38
西日本旅客鉄道,舞鶴線,梅迫,30,18
西日本旅客鉄道,舞鶴線,真倉,8,4
西日本旅客鉄道,舞鶴線,西舞鶴,518,326
西日本旅客鉄道,舞鶴線,東舞鶴,548,309
西日本旅客鉄道,小浜線,松尾寺,19,11
京都丹後鉄道,宮舞線,西舞鶴,137,48
京都丹後鉄道,宮舞線,四所,9,8
京都丹後鉄道,宮舞線,東雲,3,2
京都丹後鉄道,宮舞線,丹後神崎,5,3
京都丹後鉄道,宮舞線,丹後由良,24,19
京都丹後鉄道,宮舞線,栗田,66,57
京都丹後鉄道,宮豊線,宮津,195,127
京都丹後鉄道,宮豊線,天橋立,157,5
京都丹後鉄道,宮豊線,岩滝口,14,12
京都丹後鉄道,宮豊線,与謝野,113,89
京都丹後鉄道,宮豊線,京丹後大宮,53,36
京都丹後鉄道,宮豊線,峰山,116,74
京都丹後鉄道,宮豊線,網野,95,63
京都丹後鉄道,宮豊線,夕日ヶ浦木津温泉,53,30
京都丹後鉄道,宮豊線,小天橋,27,20
京都丹後鉄道,宮豊線,かぶと山,32,31
京都丹後鉄道,宮豊線,久美浜,40,21
京都丹後鉄道,宮福線,福知山,386,135
京都丹後鉄道,宮福線,福知山市民病院口,12,10
京都丹後鉄道,宮福線,荒河かしの木台,12,7
京都丹後鉄道,宮福線,牧,8,7
京都丹後鉄道,宮福線,下天津,1,1
京都丹後鉄道,宮福線,公庄,5,5
京都丹後鉄道,宮福線,大江,43,28
京都丹後鉄道,宮福線,大江高校前,74,72
京都丹後鉄道,宮福線,二俣,1,1
京都丹後鉄道,宮福線,大江山口内宮,1,1
京都丹後鉄道,宮福線,辛皮,1,1
京都丹後鉄道,宮福線,喜多,1,1
京都丹後鉄道,宮福線,宮村,6,5
京都丹後鉄道,宮福線,宮津,96,36
京阪電気鉄道,鴨東線・京阪本線,出町柳,8370,4410
京阪電気鉄道,鴨東線・京阪本線,神宮丸太町,1936,903
京阪電気鉄道,鴨東線・京阪本線,三条,7511,3059
京阪電気鉄道,鴨東線・京阪本線,祇園四条,9342,3535
京阪電気鉄道,鴨東線・京阪本線,清水五条,1637,518
京阪電気鉄道,鴨東線・京阪本線,七条,3242,1317
京阪電気鉄道,鴨東線・京阪本線,東福寺,3429,1435
京阪電気鉄道,鴨東線・京阪本線,鳥羽街道,706,319
京阪電気鉄道,鴨東線・京阪本線,伏見稲荷,1952,413
京阪電気鉄道,鴨東線・京阪本線,深草,2215,1371
京阪電気鉄道,鴨東線・京阪本線,藤森,2897,1419
京阪電気鉄道,鴨東線・京阪本線,墨染,1548,762
京阪電気鉄道,鴨東線・京阪本線,丹波橋,10013,5275
京阪電気鉄道,鴨東線・京阪本線,伏見桃山,2117,918
京阪電気鉄道,鴨東線・京阪本線,中書島,2194,1020
京阪電気鉄道,鴨東線・京阪本線,淀,2419,1175
京阪電気鉄道,鴨東線・京阪本線,八幡市,1796,800
京阪電気鉄道,鴨東線・京阪本線,橋本,1175,580
京阪電気鉄道,鴨東線・京阪本線,（樟葉）,11802,5400
京阪電気鉄道,宇治線,中書島,446,244
京阪電気鉄道,宇治線,観月橋,1037,486
京阪電気鉄道,宇治線,桃山南口,1095,559
京阪電気鉄道,宇治線,六地蔵,1862,909
京阪電気鉄道,宇治線,木幡,1151,607
京阪電気鉄道,宇治線,黄檗,1266,725
京阪電気鉄道,宇治線,三室戸,921,518
京阪電気鉄道,宇治線,宇治,1215,527
京阪電気鉄道,京津線,御陵,917,398
京阪電気鉄道,京津線,京阪山科,968,403
京阪電気鉄道,京津線,四宮,465,254
阪急電鉄,京都線,河原町,14460,4899
阪急電鉄,京都線,烏丸,16391,7767
阪急電鉄,京都線,大宮,5639,2703
阪急電鉄,京都線,西院,7993,4164
阪急電鉄,京都線,西京極,3876,1901
阪急電鉄,京都線,桂,10372,5342
阪急電鉄,京都線,洛西口,2276,909
阪急電鉄,京都線,東向日,3052,1484
阪急電鉄,京都線,西向日,2287,1222
阪急電鉄,京都線,長岡天神,5665,2910
阪急電鉄,京都線,西山天王山,2175,1179
阪急電鉄,京都線,大山崎,1307,681
阪急電鉄,嵐山線,上桂,1691,830
阪急電鉄,嵐山線,松尾大社,1044,532
阪急電鉄,嵐山線,嵐山,1582,330
近畿日本鉄道,京都線・橿原線,京都,18995,9835
近畿日本鉄道,京都線・橿原線,東寺,1243,550
近畿日本鉄道,京都線・橿原線,十条,1021,624
近畿日本鉄道,京都線・橿原線,上鳥羽口,1393,931
近畿日本鉄道,京都線・橿原線,竹田,8856,5708
近畿日本鉄道,京都線・橿原線,伏見,1355,712
近畿日本鉄道,京都線・橿原線,近鉄丹波橋,9657,5192
近畿日本鉄道,京都線・橿原線,桃山御陵前,2597,1199
近畿日本鉄道,京都線・橿原線,向島,3220,2025
近畿日本鉄道,京都線・橿原線,小倉,3177,1825
近畿日本鉄道,京都線・橿原線,伊勢田,1236,678
近畿日本鉄道,京都線・橿原線,大久保,5012,3002
近畿日本鉄道,京都線・橿原線,久津川,1439,882
近畿日本鉄道,京都線・橿原線,寺田,1681,995
近畿日本鉄道,京都線・橿原線,富野荘,1284,796
近畿日本鉄道,京都線・橿原線,新田辺,4836,2940
近畿日本鉄道,京都線・橿原線,興戸,1803,1265
近畿日本鉄道,京都線・橿原線,三山木,1071,668
近畿日本鉄道,京都線・橿原線,近鉄宮津,73,42
近畿日本鉄道,京都線・橿原線,狛田,565,402
近畿日本鉄道,京都線・橿原線,新祝園,2721,1710
近畿日本鉄道,京都線・橿原線,木津川台,445,317
近畿日本鉄道,京都線・橿原線,山田川,805,454
近畿日本鉄道,京都線・橿原線,（高の原）,7080,4554
京福電気鉄道,嵐山本線,四条大宮,958,285
京福電気鉄道,嵐山本線,西院,621,216
京福電気鉄道,嵐山本線,西大路三条,111,35
京福電気鉄道,嵐山本線,山ノ内,127,48
京福電気鉄道,嵐山本線,嵐電天神川,616,219
京福電気鉄道,嵐山本線,蚕ノ社,95,35
京福電気鉄道,嵐山本線,太秦広隆寺,256,77
京福電気鉄道,嵐山本線,帷子ノ辻,523,166
京福電気鉄道,嵐山本線,有栖川,239,60
京福電気鉄道,嵐山本線,車折神社,276,66
京福電気鉄道,嵐山本線,鹿王院,172,41
京福電気鉄道,嵐山本線,嵐電嵯峨,245,60
京福電気鉄道,嵐山本線,嵐山,647,67
京福電気鉄道,北野線,常盤,237,63
京福電気鉄道,北野線,鳴滝,129,33
京福電気鉄道,北野線,宇多野,77,14
京福電気鉄道,北野線,御室仁和寺,97,11
京福電気鉄道,北野線,妙心寺,79,13
京福電気鉄道,北野線,龍安寺,159,21
京福電気鉄道,北野線,等持院,92,24
京福電気鉄道,北野線,北野白梅町,502,83
京福電気鉄道,-,ケーブル,172,-
京福電気鉄道,-,ロープウエイ,156,-
叡山電鉄,叡山本線,出町柳,2797,1335
叡山電鉄,叡山本線,元田中,227,70
叡山電鉄,叡山本線,茶山,532,254
叡山電鉄,叡山本線,一乗寺,444,210
叡山電鉄,叡山本線,修学院,740,319
叡山電鉄,叡山本線,宝ケ池,189,91
叡山電鉄,叡山本線,三宅八幡,159,91
叡山電鉄,叡山本線,八瀬比叡山口,153,42
叡山電鉄,鞍馬線,八幡前,161,75
叡山電鉄,鞍馬線,岩倉,303,164
叡山電鉄,鞍馬線,木野,79,54
叡山電鉄,鞍馬線,京都精華大前,233,159
叡山電鉄,鞍馬線,二軒茶屋,308,235
叡山電鉄,鞍馬線,市原,171,124
叡山電鉄,鞍馬線,二ノ瀬,17,8
叡山電鉄,鞍馬線,貴船口,250,11
叡山電鉄,鞍馬線,鞍馬,319,31
京都市高速鉄道,烏丸線,国際会館,4684,2768
京都市高速鉄道,烏丸線,松ヶ崎,2176,1306
京都市高速鉄道,烏丸線,北山,2540,1340
京都市高速鉄道,烏丸線,北大路,5424,3240
京都市高速鉄道,烏丸線,鞍馬口,1778,950
京都市高速鉄道,烏丸線,今出川,4891,2311
京都市高速鉄道,烏丸線,丸太町,3889,1974
京都市高速鉄道,烏丸線,烏丸御池,8055,3640
京都市高速鉄道,烏丸線,四条,17734,5985
京都市高速鉄道,烏丸線,五条,2432,837
京都市高速鉄道,烏丸線,京都,22342,7581
京都市高速鉄道,烏丸線,九条,882,402
京都市高速鉄道,烏丸線,十条,1292,625
京都市高速鉄道,烏丸線,くいな橋,1037,458
京都市高速鉄道,烏丸線,竹田,9350,5794
京都市高速鉄道,東西線,太秦天神川,3012,1545
京都市高速鉄道,東西線,西大路御池,2102,1294
京都市高速鉄道,東西線,二条,3523,1370
京都市高速鉄道,東西線,二条城前,1570,554
京都市高速鉄道,東西線,京都市役所前,4683,1944
京都市高速鉄道,東西線,三条京阪,4667,744
京都市高速鉄道,東西線,東山,3312,1639
京都市高速鉄道,東西線,蹴上,1911,799
京都市高速鉄道,東西線,御陵,2971,1540
京都市高速鉄道,東西線,山科,7757,4059
京都市高速鉄道,東西線,東野,2018,1182
京都市高速鉄道,東西線,椥辻,2900,1625
京都市高速鉄道,東西線,小野,1280,805
京都市高速鉄道,東西線,醍醐,2263,1317
京都市高速鉄道,東西線,石田,1219,717
京都市高速鉄道,東西線,六地蔵,2415,1234
