西暦,和暦,地域コード,地域,自動車保有台数総数(台),登録自動車保有台数_自家用(台),登録自動車保有台数_事業用(台),貨物用_自家用(台),貨物用_事業用(台),貨物用_普通車_自家用(台),貨物用_普通車_事業用(台),貨物用_小型車_自家用(台),貨物用_小型車_事業用(台),貨物用_被けん引車_自家用(台),貨物用_被けん引車_事業用(台),乗合用_自家用(台),乗合用_事業用(台),乗合用_普通車_自家用(台),乗合用_普通車_事業用(台),乗合用_小型車_自家用(台),乗合用_小型車_事業用(台),乗用_自家用(台),乗用_事業用(台),乗用_普通車_自家用(台),乗用_普通車_事業用(台),乗用_小型車_自家用(台),乗用_小型車_事業用(台),特殊用途用_自家用(台),特殊用途用_事業用(台),特殊用途用_普通車・小型車_自家用(台),特殊用途用_普通車・小型車_事業用(台),特殊用途用_大型特殊車_自家用(台),特殊用途用_大型特殊車_事業用(台),小型二輪車(台),軽自動車(台)
2011年度,平成23年度,26000,京都府,1328524,764832,33627,76731,16417,18603,13968,58010,1811,118,638,2125,2487,349,2100,1776,387,667653,9244,299825,2053,367828,7191,18323,5479,14910,5474,3413,5,30145,499920
2012年度,平成24年度,26000,京都府,1328963,756498,33650,74668,16362,18195,13946,56351,1771,122,645,2135,2509,351,2104,1784,405,661434,9189,300862,2166,360572,7023,18261,5590,14813,5584,3448,6,30549,508266
2013年度,平成25年度,26000,京都府,1335037,749665,33617,73743,16426,18107,14056,55515,1748,121,622,2124,2545,350,2133,1774,412,655507,9042,304227,2281,351280,6761,18291,5604,14796,5596,3495,8,31125,520630
2014年度,平成26年度,26000,京都府,1337229,740251,33826,73087,16607,18281,14237,54690,1739,116,631,2126,2598,354,2163,1772,435,646721,8947,304870,2358,341851,6589,18317,5674,14814,5666,3503,8,31351,531801
2015年度,平成27年度,26000,京都府,1337244,735064,34102,72614,16882,18449,14501,54042,1721,123,660,2160,2599,360,2168,1800,431,641936,8868,308366,2426,333570,6442,18354,5753,14836,5745,3518,8,31751,536327
2015年度,平成27年度,26100,京都市,586695,365484,18933,38065,7594,7760,6461,30261,1019,44,114,821,1664,125,1485,696,179,318380,7310,158384,2054,159996,5256,8218,2365,6994,2361,1224,4,17344,184934
2015年度,平成27年度,26101,京都市北区,43151,27289,733,1847,91,354,78,1489,13,4,-,73,206,14,200,59,6,24954,419,12692,201,12262,218,415,17,364,17,51,-,1583,13546
2015年度,平成27年度,26102,京都市上京区,22443,14917,93,1056,35,123,19,932,16,1,-,30,-,8,-,22,-,13611,42,6917,25,6694,17,220,16,206,16,14,-,981,6452
2015年度,平成27年度,26103,京都市左京区,57558,38198,735,2485,204,496,175,1986,28,3,1,112,114,16,106,96,8,35002,342,18344,82,16658,260,599,75,533,75,66,-,2124,16501
2015年度,平成27年度,26104,京都市中京区,31640,21744,242,2098,127,183,104,1915,23,-,-,26,10,5,1,21,9,19276,85,9888,41,9388,44,344,20,303,20,41,-,1069,8585
2015年度,平成27年度,26105,京都市東山区,10678,6924,98,529,15,70,12,459,3,-,-,26,37,3,24,23,13,6251,39,3299,20,2952,19,118,7,101,7,17,-,430,3226
2015年度,平成27年度,26110,京都市山科区,58648,35249,1879,3967,359,786,293,3180,65,1,1,89,133,9,115,80,18,30559,1278,14813,298,15746,980,634,109,599,109,35,-,1534,19986
2015年度,平成27年度,26106,京都市下京区,28596,19032,582,2271,238,247,190,2020,40,4,8,31,28,5,20,26,8,16268,201,8037,171,8231,30,462,115,428,115,34,-,710,8272
2015年度,平成27年度,26107,京都市南区,64414,38320,6133,7618,2770,1772,2377,5828,342,18,51,61,533,9,451,52,82,28892,1990,14142,352,14750,1638,1749,840,1402,836,347,4,1234,18727
2015年度,平成27年度,26108,京都市右京区,78025,47255,1999,4185,523,899,404,3285,119,1,-,128,249,18,232,110,17,42031,1073,20647,261,21384,812,911,154,726,154,185,-,2469,26302
2015年度,平成27年度,26111,京都市西京区,63514,40685,1029,2727,333,588,293,2137,35,2,5,104,150,16,148,88,2,37343,512,18643,161,18700,351,511,34,471,34,40,-,1746,20054
2015年度,平成27年度,26109,京都市伏見区,128028,75871,5410,9282,2899,2242,2516,7030,335,10,48,141,204,22,188,119,16,64193,1329,30962,442,33231,887,2255,978,1861,978,394,-,3464,43283
2015年度,平成27年度,26201,福知山市,65381,30625,1066,3836,688,1062,634,2767,22,7,32,143,54,25,35,118,19,25408,101,11418,15,13990,86,1238,223,911,223,327,-,1156,32534
2015年度,平成27年度,26202,舞鶴市,65789,30584,1188,2953,896,1025,591,1924,46,4,259,148,71,32,50,116,21,26290,97,11903,10,14387,87,1193,124,744,124,449,-,1319,32698
2015年度,平成27年度,26203,綾部市,27837,11724,396,1225,256,438,234,786,21,1,1,52,16,5,3,47,13,10041,32,4402,2,5639,30,406,92,318,92,88,-,505,15212
2015年度,平成27年度,26204,宇治市,89362,54764,1353,4249,601,1182,505,3065,87,2,9,125,57,23,49,102,8,49420,343,24106,114,25314,229,970,352,872,352,98,-,2291,30954
2015年度,平成27年度,26205,宮津市,15005,6616,183,723,143,193,123,530,14,-,6,36,4,5,3,31,1,5451,22,2370,2,3081,20,406,14,244,14,162,-,191,8015
2015年度,平成27年度,26206,亀岡市,61853,29353,1026,2844,664,908,607,1933,46,3,11,102,94,21,67,81,27,25793,50,11832,3,13961,47,614,218,522,218,92,-,1208,30266
2015年度,平成27年度,26207,城陽市,39786,22250,430,1583,167,455,135,1123,12,5,20,59,-,5,-,54,-,20212,55,9259,26,10953,29,396,208,367,208,29,-,868,16238
2015年度,平成27年度,26208,向日市,23269,14293,448,1084,130,236,106,848,24,-,-,19,31,2,19,17,12,12967,207,5988,16,6979,191,223,80,187,80,36,-,601,7927
2015年度,平成27年度,26209,長岡京市,32954,21597,732,1319,471,317,406,1001,64,1,1,61,85,13,84,48,1,19893,114,9469,12,10424,102,324,62,278,62,46,-,837,9788
2015年度,平成27年度,26210,八幡市,41970,23153,2853,2495,1872,883,1698,1600,111,12,63,50,163,13,142,37,21,20026,134,9407,33,10619,101,582,684,496,684,86,-,911,15053
2015年度,平成27年度,26211,京田辺市,35760,21040,984,1526,445,487,385,1035,18,4,42,42,92,1,73,41,19,19046,180,9240,65,9806,115,426,267,378,267,48,-,800,12936
2015年度,平成27年度,26212,京丹後市,46114,19258,388,1793,250,616,227,1171,17,6,6,187,45,12,16,175,29,16364,15,6878,6,9486,9,914,78,570,78,344,-,727,25741
2015年度,平成27年度,26213,南丹市,26256,11560,325,1411,134,494,113,908,19,9,2,83,39,27,17,56,22,9590,24,4213,1,5377,23,476,128,368,128,108,-,380,13991
2015年度,平成27年度,26214,木津川市,41489,23172,351,1396,257,471,234,917,19,8,4,31,9,5,5,26,4,21321,25,10153,4,11168,21,424,60,390,60,34,-,857,17109
2015年度,平成27年度,26303,乙訓郡大山崎町,6796,4293,113,301,28,70,24,231,-,-,4,15,40,2,26,13,14,3905,10,1805,4,2100,6,72,35,54,35,18,-,200,2190
2015年度,平成27年度,26322,久世郡久御山町,18361,8867,2179,2132,1464,712,1302,1413,115,7,47,15,3,2,-,13,3,6290,123,3155,46,3135,77,430,589,391,589,39,-,246,7069
2015年度,平成27年度,26343,綴喜郡井手町,6232,2920,298,522,265,165,225,356,18,1,22,11,13,-,11,11,2,2263,-,1097,-,1166,-,124,20,91,20,33,-,123,2891
2015年度,平成27年度,26344,綴喜郡宇治田原町,7986,3882,220,521,135,182,118,336,11,3,6,18,-,1,-,17,-,3286,-,1613,-,1673,-,57,85,50,81,7,4,156,3728
2015年度,平成27年度,26364,相楽郡笠置町,1267,594,5,63,5,18,3,45,2,-,-,8,-,-,-,8,-,503,-,201,-,302,-,20,-,16,-,4,-,24,644
2015年度,平成27年度,26365,相楽郡和束町,4709,1712,31,249,25,63,17,186,8,-,-,6,-,1,-,5,-,1413,-,596,-,817,-,44,6,40,6,4,-,59,2907
2015年度,平成27年度,26366,相楽郡精華町,19725,11873,180,548,145,172,137,374,8,2,-,33,7,17,-,16,7,11171,14,5460,10,5711,4,121,14,112,14,9,-,355,7317
2015年度,平成27年度,26367,相楽郡南山城村,3131,1481,-,241,-,38,-,203,-,-,-,10,-,3,-,7,-,1185,-,484,-,701,-,45,-,38,-,7,-,40,1610
2015年度,平成27年度,26407,船井郡京丹波町,14100,5767,186,773,138,255,116,515,11,3,11,38,39,15,25,23,14,4717,-,1994,-,2723,-,239,9,198,9,41,-,247,7900
