西暦,和暦,地域コード,地域,総数(台),第一種(台),第二種乙(台),第二種甲(台),ミニカー(台)
2012年,平成24年,26000,京都府,324750,258453,16010,48732,1555
2013年,平成25年,26000,京都府,318654,249761,15036,52213,1644
2014年,平成26年,26000,京都府,314005,242260,14116,55918,1711
2015年,平成27年,26000,京都府,307381,233878,13277,58490,1736
2016年,平成28年,26000,京都府,300219,225312,12558,60587,1762
2016年,平成28年,26100,京都市,180697,130260,7972,41541,924
2016年,平成28年,26201,福知山市,4895,4132,250,448,65
2016年,平成28年,26202,舞鶴市,4459,3542,363,506,48
2016年,平成28年,26203,綾部市,2660,2271,145,202,42
2016年,平成28年,26204,宇治市,24865,19153,689,4938,85
2016年,平成28年,26205,宮津市,1474,1207,111,126,30
2016年,平成28年,26206,亀岡市,8826,7038,385,1335,68
2016年,平成28年,26207,城陽市,9380,7391,294,1653,42
2016年,平成28年,26208,向日市,6870,5155,266,1430,19
2016年,平成28年,26209,長岡京市,9216,7275,252,1663,26
2016年,平成28年,26210,八幡市,11247,9058,264,1887,38
2016年,平成28年,26211,京田辺市,7288,5852,184,1210,42
2016年,平成28年,26212,京丹後市,4517,3836,317,294,70
2016年,平成28年,26213,南丹市,2655,2229,133,250,43
2016年,平成28年,26214,木津川市,6708,5290,299,1051,68
2016年,平成28年,26303,乙訓郡大山崎町,2399,1861,79,450,9
2016年,平成28年,26322,久世郡久御山町,2642,2051,104,470,17
2016年,平成28年,26343,綴喜郡井手町,1013,878,33,96,6
2016年,平成28年,26344,綴喜郡宇治田原町,980,747,45,179,9
2016年,平成28年,26364,相楽郡笠置町,137,110,10,13,4
2016年,平成28年,26365,相楽郡和束町,612,542,22,44,4
2016年,平成28年,26366,相楽郡精華町,3107,2435,130,510,32
2016年,平成28年,26367,相楽郡南山城村,274,232,12,27,3
2016年,平成28年,26407,船井郡京丹波町,1220,1034,53,95,38
2016年,平成28年,26463,与謝郡伊根町,329,304,10,12,3
2016年,平成28年,26465,与謝郡与謝野町,1749,1429,136,157,27
