西暦,和暦,種別,総数(人),16〜19歳(人),20〜24歳(人),25〜29歳(人),30〜39歳(人),40〜49歳(人),50〜59歳(人),60〜64歳(人),65歳以上(人)
2011年,平成23年,合計,1585943,20882,102859,130593,332611,318793,252069,170576,257560
2012年,平成24年,合計,1587219,20433,100441,126570,320047,329256,251676,160565,278231
2013年,平成25年,合計,1591400,20486,97815,122554,306980,339700,254201,147524,302140
2014年,平成26年,合計,1591696,19309,96661,118096,295052,346686,259255,134065,322572
2015年,平成27年,合計,1588488,18927,95791,114326,284599,348454,266876,126206,333309
2015年,平成27年,男,880862,12033,53087,59969,146024,179009,140228,69810,220702
2015年,平成27年,女,707626,6894,42704,54357,138575,169445,126648,56396,112607
2015年,平成27年,二種免許,44502,-,67,396,2219,6037,7899,5275,22609
2015年,平成27年,二種免許_大型,20583,-,41,253,1426,3597,4134,1886,9246
2015年,平成27年,二種免許_中型,87,-,-,4,9,13,18,20,23
2015年,平成27年,二種免許_中型(8t限定),18441,-,-,-,269,1304,2325,2665,11878
2015年,平成27年,二種免許_普通,5357,-,25,138,512,1118,1419,703,1442
2015年,平成27年,二種免許_大型特殊,28,-,1,1,3,4,2,1,16
2015年,平成27年,二種免許_けん引,6,-,-,-,-,1,1,-,4
2015年,平成27年,一種免許,1543986,18927,95724,113930,282380,342417,258977,120931,310700
2015年,平成27年,一種免許_大型,57011,5,484,1592,7594,14631,11868,5164,15673
2015年,平成27年,一種免許_中型,4745,-,776,1209,957,910,538,203,152
2015年,平成27年,一種免許_中型(8t限定),1214841,-,-,37566,245577,314376,237616,109066,270640
2015年,平成27年,一種免許_普通,201988,12118,87899,69760,21680,5980,1911,679,1961
2015年,平成27年,一種免許_大型特殊,16,1,2,2,2,3,3,1,2
2015年,平成27年,一種免許_けん引,-,-,-,-,-,-,-,-,-
2015年,平成27年,一種免許_大型自動二輪,933,20,69,42,81,74,54,107,486
2015年,平成27年,一種免許_普通自動二輪,5080,1380,1292,449,706,637,394,97,125
2015年,平成27年,一種免許_小型自動二輪,1376,90,122,56,76,133,122,74,703
2015年,平成27年,一種免許_小型特殊,620,2,5,1,8,4,7,11,582
2015年,平成27年,一種免許_原付,57376,5311,5075,3253,5699,5669,6464,5529,20376
