国籍,2011年_隻数(隻),2011年_総トン数(t),2012年_隻数(隻),2012年_総トン数(t),2013年_隻数(隻),2013年_総トン数(t),2014年_隻数(隻),2014年_総トン数(t),2015年_隻数(隻),2015年_総トン数(t)
総数,348,3581212,368,4410477,367,4505257,358,4897142,371,4753148
日本,14,672445,18,821697,19,886887,22,1054416,18,887827
ロシア,8,21925,12,52769,23,79200,9,18960,3,5734
バハマ,26,144624,28,155430,37,211124,38,310678,19,269175
パナマ,94,1654997,149,2369435,141,2044043,77,1506031,86,1290884
フィリピン,1,42980,-,-,-,-,-,-,-,-
シンガポール,4,98462,1,47051,2,23685,2,44874,4,161596
バヌアツ,-,-,-,-,-,-,-,-,1,20254
北朝鮮,-,-,-,-,-,-,-,-,-,-
リベリア,10,64740,6,305574,3,152781,22,324326,18,791524
韓国,5,5012,11,22183,48,218489,69,315708,87,403712
中国,25,214729,31,295787,13,112846,51,294884,66,405550
ホンジュラス,-,-,-,-,-,-,-,-,-,-
カンボジア,99,189665,79,211578,43,176168,39,156531,31,76454
ベリーズ,2,4580,11,40602,13,42458,4,17035,3,16619
キプロス,2,105736,-,-,4,108564,1,47051,6,43020
モンゴル,20,63194,12,44027,2,8928,4,13334,16,55597
ミャンマー,-,-,-,-,-,-,-,-,-,-
マレーシア,-,-,-,-,1,9799,1,3738,2,17142
ギリシャ,-,-,-,-,-,-,-,-,-,-
セントビンセント,1,2317,1,2317,1,1250,-,-,-,-
その他,37,295806,9,42027,17,429035,19,789576,11,308060
