西暦,和暦,年月,普通倉庫_1〜3類倉庫_入庫高(t),普通倉庫_1〜3類倉庫_残高(t),普通倉庫_1〜3類倉庫_所管面積(m2),普通倉庫_1〜3類倉庫_在貨面積(m2),普通倉庫_危険品倉庫_入庫高(t),普通倉庫_危険品倉庫_残高(t),普通倉庫_危険品倉庫_所管面積(m2),普通倉庫_危険品倉庫_在貨面積(m2),普通倉庫_野積倉庫_入庫高(t),普通倉庫_野積倉庫_残高(t),普通倉庫_野積倉庫_所管面積(m2),普通倉庫_野積倉庫_在貨面積(m2),普通倉庫_貯蔵槽倉庫_入庫高(t),普通倉庫_貯蔵槽倉庫_残高(t),普通倉庫_貯蔵槽倉庫_所管容積(m3),普通倉庫_貯蔵槽倉庫_在貨容積(m3),冷蔵倉庫_入庫高(t),冷蔵倉庫_残高(t),冷蔵倉庫_所管容積(m3),冷蔵倉庫_在貨容積(m3)
2011年,平成23年,年次,1173049,195587,375892,268038,12082,2064,3470,2584,6625,845,375,250,-,-,2426,2000,142904,16107,167100,51695
2012年,平成24年,年次,1279295,240996,368432,273427,11495,2315,3470,2617,5745,670,375,250,-,-,2426,2200,145471,16898,165635,53720
2013年,平成25年,年次,1122565,194149,368062,282769,13131,2453,3470,2629,4460,660,375,250,-,-,2426,2150,148719,17037,166028,53841
2014年,平成26年,年次,1030159,189678,383091,293031,14748,2460,3470,2642,5150,430,1229,250,-,-,2426,1994,169534,16589,166028,53321
2015年,平成27年,年次,1011780,208317,390075,303390,14697,2301,3470,2519,4900,600,1229,250,-,-,2426,1726,162907,16586,166028,53285
2015年,平成27年,1月,73454,189947,…,…,1104,2450,…,…,340,360,…,…,-,-,…,…,8719,15039,…,49394
2015年,平成27年,2月,77152,193789,…,…,1101,2476,…,…,490,530,…,…,-,-,…,…,9752,15479,…,50496
2015年,平成27年,3月,80459,185481,…,…,1138,2338,…,…,470,630,…,…,-,-,…,…,11242,16125,…,52182
2015年,平成27年,4月,81974,182441,…,…,1437,2400,…,…,590,760,…,…,-,-,…,…,12587,16663,…,53525
2015年,平成27年,5月,76269,183539,…,…,1366,2529,…,…,330,680,…,…,-,-,…,…,13689,16147,…,52196
2015年,平成27年,6月,86756,191825,…,…,1321,2497,…,…,380,490,…,…,-,-,…,…,17011,17695,…,56049
2015年,平成27年,7月,93442,193873,…,…,1340,2364,…,…,470,620,…,…,-,-,…,…,18983,18320,…,57593
2015年,平成27年,8月,85193,193929,…,…,1127,2331,…,…,380,450,…,…,-,-,…,…,15822,16311,…,52585
2015年,平成27年,9月,81758,198943,…,…,1182,2312,…,…,330,510,…,…,-,-,…,…,14067,16932,…,54138
2015年,平成27年,10月,89516,203636,…,…,1353,2303,…,…,420,380,…,…,-,-,…,…,14491,18550,…,58195
2015年,平成27年,11月,96511,215564,…,…,1148,2288,…,…,350,460,…,…,-,-,…,…,12677,19373,…,60253
2015年,平成27年,12月,89296,208317,…,…,1080,2301,…,…,350,600,…,…,-,-,…,…,13867,16586,…,53285
2015年,平成27年,1〜3月,…,…,387941,278094,…,…,3470,2640,…,…,1229,250,…,…,2426,1814,…,…,166028,…
2015年,平成27年,4〜6月,…,…,389466,297981,…,…,3470,2620,…,…,1229,250,…,…,2426,2036,…,…,166028,…
2015年,平成27年,7〜9月,…,…,390708,303022,…,…,3470,2652,…,…,1229,250,…,…,2426,1896,…,…,166028,…
2015年,平成27年,10〜12月,…,…,390075,303390,…,…,3470,2519,…,…,1229,250,…,…,2426,1726,…,…,166028,…
