地域コード,地域,2011年_入込客数(人),2011年_消費額(千円),2012年_入込客数(人),2012年_消費額(千円),2013年_入込客数(人),2013年_消費額(千円),2014年_入込客数(人),2014年_消費額(千円),2015年_入込客数(人),2015年_消費額(千円)
26000,京都府,…,…,…,…,77870429,745854913,83748416,813856338,87478218,1026364206
26100,京都市,…,…,…,…,51618000,700215000,55636000,762573000,56840000,970438000
26201,福知山市,1047234,2483415,988102,2549669,856662,1808572,792139,1880699,920189,2008560
26202,舞鶴市,1410387,2115785,1610867,2281476,1830580,2438814,2309588,3269589,2290488,3658147
26203,綾部市,445209,687086,444015,586524,555459,676918,608766,730204,659957,767970
26204,宇治市,4864099,6336049,4722651,6087954,3947844,5267500,5201764,9070386,5598011,10967393
26205,宮津市,2720400,8689963,2601200,8283200,2771700,8884284,2725600,8885767,2973000,9571024
26206,亀岡市,2146945,5795592,2221274,5697226,2268619,5545357,2408467,6300330,2679348,7304168
26207,城陽市,1027970,1927214,1013569,1928496,982618,1941695,1020274,1826638,1030912,1707034
26208,向日市,208467,29402,232954,51043,254408,92717,259170,87703,324699,99346
26209,長岡京市,1227542,491173,1196263,478714,1239745,508667,1256806,546520,1215951,532991
26210,八幡市,1728363,393082,1774053,394906,1884226,460084,1829850,453623,1819463,503981
26211,京田辺市,203778,653176,205974,639210,210890,655252,206992,652915,205745,662327
26212,京丹後市,1752115,6289245,1725709,6092155,1758624,6100065,1733520,6153656,2193385,6702462
26213,南丹市,1621570,2138892,1633220,2250395,1789267,2344294,1717209,2618219,1912960,2679986
26214,木津川市,984507,2113957,905750,2053133,921388,2040124,943470,2141258,998310,2213696
26303,乙訓郡大山崎町,452284,118611,415269,114075,402444,99040,447342,109350,482827,128326
26322,久世郡久御山町,57549,-,60240,-,55303,-,51837,-,60042,6461
26343,綴喜郡井手町,325642,96112,313802,98196,329370,101187,352021,92437,327258,102461
26344,綴喜郡宇治田原町,112725,103426,120040,127804,124064,130678,121559,125042,125510,117889
26364,相楽郡笠置町,286318,482163,266690,872944,262801,947361,243276,870065,251124,835641
26365,相楽郡和束町,38876,43107,39094,41239,71315,84047,75571,102812,81783,111076
26366,相楽郡精華町,649617,176211,650024,195757,578510,187692,699301,236478,645930,245810
26367,相楽郡南山城村,299547,1138931,305145,1152282,266252,1552521,314454,1536270,301783,1598875
26407,船井郡京丹波町,1820558,1796240,1829793,1843719,1941225,2211749,1868588,2091401,2580802,1849360
26463,与謝郡伊根町,231455,866283,224610,861160,259182,951954,247845,891818,251970,879251
26465,与謝郡与謝野町,662043,522080,707683,578297,689933,609441,677007,610158,706771,671971
-,(参考)京都市_外国人宿泊客,515414,…,844824,…,1127852,…,1828692,…,3158565,…
-,(参考)京都市_修学旅行生,1071168,…,1105434,…,1101968,…,1095601,…,1092647,…
