種別,企業数(企業),電子商取引を行っている企業数(企業),インターネットのみ_他の企業などと行っている(企業),インターネットのみ_一般消費者と行っている(企業),インターネット以外のみ_他の企業などと行っている(企業),インターネット以外のみ_一般消費者と行っている(企業),インターネット及びインターネット以外の併用_他の企業などと行っている(企業),インターネット及びインターネット以外の併用_一般消費者と行っている(企業)
総数,27715,4542,2750,1913,284,43,321,142
農林漁業,80,10,7,4,1,-,1,-
非農林漁業,27635,4532,2743,1909,283,43,320,142
鉱業,25,1,1,-,-,-,-,-
建設業,4201,498,413,79,21,3,29,10
製造業,6165,1034,675,321,87,5,77,16
電気・ガス・熱供給・水道業,3,-,-,-,-,-,-,-
情報通信業,447,147,103,71,2,-,10,4
運輸業,560,60,38,16,6,-,7,1
卸売・小売業,8697,1918,966,968,142,25,157,78
金融・保険業,287,49,17,27,4,1,1,4
不動産業,2171,140,86,88,3,2,8,9
"飲食店,宿泊業",1512,214,91,165,3,2,10,12
"医療,福祉",201,11,6,6,-,1,-,-
"教育,学習支援業",238,36,20,25,-,1,-,-
複合サービス業,1,-,-,-,-,-,-,-
サービス業(他に分類されないもの),3127,424,327,143,15,3,21,8
