西暦,和暦,地域コード,地域,総数_学校数(校),総数_教育用コンピュータ総台数(台),総数_教育用コンピュータ1台当たりの児童生徒数(人/台),総数_普通教室のLAN整備率(%),小学校_学校数(校),小学校_教育用コンピュータ総台数(台),小学校_教育用コンピュータ1台当たりの児童生徒数(人/台),小学校_普通教室のLAN整備率(%),中学校_学校数(校),中学校_教育用コンピュータ総台数(台),中学校_教育用コンピュータ1台当たりの児童生徒数(人/台),中学校_普通教室のLAN整備率(%),高等学校_学校数(校),高等学校_教育用コンピュータ総台数(台),高等学校_教育用コンピュータ1台当たりの児童生徒数(人/台),高等学校_普通教室のLAN整備率(%),特別支援学校_学校数(校),特別支援学校_教育用コンピュータ総台数(台),特別支援学校_教育用コンピュータ1台当たりの児童生徒数(人/台),特別支援学校_普通教室のLAN整備率(%)
2011年,平成23年,26000,総数,681,41694,5.8,89.2,421,20731,6.5,85.4,174,12519,5,90.8,63,6981,6.3,98,23,1463,1.6,99.6
2012年,平成24年,26000,総数,669,40305,6,89.5,412,19820,6.7,86.5,172,11778,5.4,88.6,63,7196,6.1,97.9,22,1511,1.6,100
2013年,平成25年,26000,総数,665,39669,6,89.8,407,19195,6.8,87.5,173,11659,5.4,88,63,7623,5.7,97.7,22,1192,2.1,99.2
2014年,平成26年,26000,総数,657,39522,6,89.6,399,18852,6.8,86.3,172,11386,5.6,89.1,63,7965,5.3,99.3,23,1319,1.9,99
2015年,平成27年,26000,総数,646,38459,6.1,90,391,18316,6.9,87.3,169,11042,5.7,88.4,63,7929,5.2,99.3,23,1172,2.2,99.8
2015年,平成27年,26000,京都府,71,5298,7.1,99.3,-,-,-,-,2,88,4.1,100,54,4832,7.4,99.2,15,378,4,99.7
2015年,平成27年,26100,京都市,256,18506,5.4,100,166,8721,7.2,100,73,5894,5.2,100,9,3097,1.9,100,8,794,1.3,100
2015年,平成27年,26201,福知山市,33,915,7.3,85.5,24,459,9.6,91.2,9,456,5,68.8,-,-,-,-,-,-,-,-
2015年,平成27年,26202,舞鶴市,25,831,8.7,7.9,18,548,8.6,11.8,7,283,8.9,0,-,-,-,-,-,-,-,-
2015年,平成27年,26203,綾部市,16,559,4.9,99.3,10,340,5,99,6,219,4.6,100,-,-,-,-,-,-,-,-
2015年,平成27年,26204,宇治市,32,1767,8.9,100,22,1190,8.9,100,10,577,8.8,100,-,-,-,-,-,-,-,-
2015年,平成27年,26205,宮津市,10,242,5,0,7,163,5.2,0,3,79,4.6,0,-,-,-,-,-,-,-,-
2015年,平成27年,26206,亀岡市,26,1521,5,98.1,18,933,5.3,97.2,8,588,4.4,100,-,-,-,-,-,-,-,-
2015年,平成27年,26207,城陽市,15,844,7,58.1,10,560,6.9,39.1,5,284,7.2,100,-,-,-,-,-,-,-,-
2015年,平成27年,26208,向日市,9,514,9,100,6,368,8.5,100,3,146,10.1,100,-,-,-,-,-,-,-,-
2015年,平成27年,26209,長岡京市,14,1039,6.4,6,10,710,6.4,8.4,4,329,6.3,0,-,-,-,-,-,-,-,-
2015年,平成27年,26210,八幡市,12,929,6,100,8,652,5.9,100,4,277,6.3,100,-,-,-,-,-,-,-,-
2015年,平成27年,26211,京田辺市,12,694,8.9,100,9,489,8.9,100,3,205,8.8,100,-,-,-,-,-,-,-,-
2015年,平成27年,26212,京丹後市,27,1106,4.3,99.1,20,765,3.8,100,7,341,5.3,97,-,-,-,-,-,-,-,-
2015年,平成27年,26213,南丹市,21,527,4.3,39.5,17,355,4.2,31.4,4,172,4.5,76.9,-,-,-,-,-,-,-,-
2015年,平成27年,26214,木津川市,18,1014,7.1,95.4,13,728,7.1,99.6,5,286,7.3,85.8,-,-,-,-,-,-,-,-
2015年,平成27年,26303,乙訓郡大山崎町,3,142,9,100,2,93,9.7,100,1,49,7.6,100,-,-,-,-,-,-,-,-
2015年,平成27年,26322,久世郡久御山町,4,177,7.7,100,3,128,7,100,1,49,9.5,100,-,-,-,-,-,-,-,-
2015年,平成27年,26343,綴喜郡井手町,3,79,6.6,3.6,2,48,7.5,0,1,31,5.1,14.3,-,-,-,-,-,-,-,-
2015年,平成27年,26344,綴喜郡宇治田原町,3,223,3.6,100,2,127,4,100,1,96,3.1,100,-,-,-,-,-,-,-,-
2015年,平成27年,26366,相楽郡精華町,8,389,9.7,81.2,5,242,10.3,74,3,147,8.7,100,-,-,-,-,-,-,-,-
2015年,平成27年,26407,船井郡京丹波町,8,402,2.5,100,5,243,2.6,100,3,159,2.5,100,-,-,-,-,-,-,-,-
2015年,平成27年,26463,与謝郡伊根町,3,68,1.4,100,2,44,1.4,100,1,24,1.5,100,-,-,-,-,-,-,-,-
2015年,平成27年,26465,与謝郡与謝野町,11,409,4.2,100,9,295,4,100,2,114,5,100,-,-,-,-,-,-,-,-
2015年,平成27年,-,相楽東部広域連合,5,223,1.9,38.9,3,115,2.3,32,2,108,1.5,54.5,-,-,-,-,-,-,-,-
2015年,平成27年,-,与謝野町宮津市中学校組合,1,41,6.5,0,・,・,・,・,1,41,6.5,0,-,-,-,-,-,-,-,-
