西暦,和暦,年月等,電灯・電力計(千kWh),電灯(千kWh),電力(千kWh)
2011年度,平成23年度,年度次,7337319,6485699,851619
2012年度,平成24年度,年度次,7161897,6345222,816675
2013年度,平成25年度,年度次,7058771,6254929,803843
2014年度,平成26年度,年度次,6700672,5946747,753925
2015年度,平成27年度,年度次,6435394,5715417,719977
2015年度,平成27年度,4月,557421,500502,56918
2015年度,平成27年度,5月,493205,439344,53861
2015年度,平成27年度,6月,396053,346349,49704
2015年度,平成27年度,7月,459517,399924,59593
2015年度,平成27年度,8月,652542,562067,90475
2015年度,平成27年度,9月,500072,432817,67255
2015年度,平成27年度,10月,430769,380130,50638
2015年度,平成27年度,11月,462521,415149,47371
2015年度,平成27年度,12月,495591,446733,48858
2015年度,平成27年度,1月,731944,662843,69101
2015年度,平成27年度,2月,650425,585359,65067
2015年度,平成27年度,3月,605333,544199,61134
