発電所名,所在地,河川名1,有効落差(河川名1_最大条件時)(m),河川名2,有効落差(河川名2_最大条件時)(m),最大出力(kW),発電機1_容量(kVA),発電機1_電圧(kV),発電機1_個数(個),発電機2_容量(kVA),発電機2_電圧(kV),発電機2_個数(個),年間発電量(2015年度)(MWh)
洛北発電所,京都市左京区静市市原町1406,鴨川,46.2,鞍馬川、静原川,38.41,450,302,3.3,2,-,-,-,2464
蹴上発電所,京都市左京区粟田口鳥居町１,琵琶湖,33.74,-,-,4500,7500,6.6,1,5000,6.6,1,12261
夷川発電所,京都市左京区聖護院蓮華蔵町33の3,琵琶湖,3.42,-,-,300,320,6.6,1,-,-,-,1715
栂ノ尾発電所,京都市右京区梅ヶ畑川西町53の2,清滝川,57.7,-,-,750,950,3.5,1,-,-,-,1318
墨染発電所,京都市伏見区桃山町丹下14の11,琵琶湖,14.31,-,-,2200,2200,3.5,1,-,-,-,5964
山家発電所,綾部市山家広瀬町上の町129の2,上林川,26.43,-,-,760,810,6.6,1,-,-,-,4667
天ケ瀬発電所,宇治市宇治金井戸14の4,淀川,57.1,-,-,92000,55000,13.2,2,-,-,-,323987
宇治発電所,宇治市宇治山田28の2,淀川、志津川,61.95,-,-,32500,7300,11,5,-,-,-,204295
大河原発電所,相楽郡南山城村大字北大河原小字川浦1の8,木津川,21.5,-,-,3200,1710,3.5,2,-,-,-,16873
相楽発電所,相楽郡笠置町大字有市小字こんじ1,木津川,4.84,-,-,710,410,3.3,2,-,-,-,2027
布目川発電所,相楽郡笠置町大字飛鳥路小字ヒラセ山18-7,布目川　　,111.596,-,-,1200,1220,6.6,1,-,-,-,4737
黒田発電所,京都市右京区京北下黒田清水3,桂川,45.49,-,-,980,1040,6.6,1,-,-,-,6004
新庄発電所,南丹市八木町船枝拝谷2,桂川,68.49,-,-,6700,3800,6.6,2,-,-,-,25560
内宮発電所,福知山市大江町内宮上杉645,宮川,45.71,-,-,210,230,6.6,1,-,-,-,1091
橋谷発電所,福知山市大江町橋谷ホリカワ3,雲原川,82.1,-,-,410,550,3.3,1,-,-,-,2518
小脇発電所,京丹後市丹後町小脇小字谷尻351,宇川,58.49,-,-,800,850,6.6,1,-,-,-,2412
清滝発電所,京都市右京区嵯峨清滝田鶴原町4,清滝川,33.3,-,-,250,260,3.3,1,-,-,-,1715
和知発電所,船井郡京丹波町市場朱柳5-1,由良川,19.52,-,-,5700,6300,6.6,1,-,-,-,21263
新由良川発電所,綾部市戸奈瀬町下ケ成65-5,由良川,15.8,由良川,13.95,4900,4700,6.6,1,490,6.6,1,19760
高山発電所,相楽郡南山城村大字高尾小字奥山10-282,名張川,53.7,-,-,6000,6500,6.6,1,-,-,-,30311
喜撰山発電所,宇治市池尾南組8,寒谷川、淀川,219.35,-,-,466000,250000,16.5,2,-,-,-,9810
宮津エネルギー研究所,宮津市小田宿野1001,・,・,-,-,750000,420000,17,1,420000,22,1,-
舞鶴発電所,舞鶴市字千歳560-5,・,・,-,-,1800000,1035000,20,2,1040000,19,2,13030686
大野発電所(府営),南丹市美山町樫原中ノ山48,由良川,51.74,-,-,11000,12600,6.6,1,-,-,-,35098
太鼓山風力発電所(府営),与謝郡伊根町字野村小字太鼓山,・,・,-,-,2250,882,0.69,3,-,-,-,2436
