西暦,和暦,年月等,生産量(千MJ),生産量_受入ガス(千MJ),生産量_生産ガス(千MJ),消費量(千MJ),消費量_工業用(千MJ),消費量_公用(千MJ),消費量_医療用(千MJ),消費量_商業用(千MJ),消費量_家庭用(千MJ)
2011年度,平成23年度,年度次,42053555,40322222,1731333,41707562,16215760,2886588,1979441,6088577,14537196
2012年度,平成24年度,年度次,41010195,39316934,1693260,40658537,15536162,2714119,2008427,5881613,14518217
2013年度,平成25年度,年度次,40835379,38992154,1843225,40359359,15691378,2691107,2108635,5813715,14054524
2014年度,平成26年度,年度次,40577964,38638363,1939601,40083242,16047746,2369716,2034435,5640351,13990993
2015年度,平成27年度,年度次,39330000,37513839,1816161,38814560,15732662,2268580,1998860,5510779,13303680
2015年度,平成27年度,4月,3331332,3177529,153803,3600205,1330175,173795,156733,450269,1489232
2015年度,平成27年度,5月,2827217,2673667,153550,2949002,1218527,118673,132853,424262,1054687
2015年度,平成27年度,6月,2810753,2658277,152476,2692737,1340123,138871,138155,388097,687490
2015年度,平成27年度,7月,3030349,2892575,137774,2835577,1369334,201337,173846,465946,625114
2015年度,平成27年度,8月,2887076,2776573,110503,2866015,1306015,269985,225443,579941,484630
2015年度,平成27年度,9月,2755918,2607968,147950,2731643,1336651,206826,188987,510327,488852
2015年度,平成27年度,10月,2714301,2567687,146614,2629223,1252642,138660,130346,416540,691034
2015年度,平成27年度,11月,2972629,2817505,155124,2879793,1311251,115177,114982,389561,948821
2015年度,平成27年度,12月,3663295,3532572,130723,3288310,1280650,149943,140809,402646,1314262
2015年度,平成27年度,1月,4306057,4135680,170377,4166069,1297291,231585,202076,515501,1919617
2015年度,平成27年度,2月,4099491,3918127,181364,4123218,1330043,275868,204418,490292,1822598
2015年度,平成27年度,3月,3931581,3755678,175903,4052768,1359959,247858,190211,477397,1777342
