西暦,和暦,地域等,認可年月日,計画給水人口(人),現在給水人口(人),給水普及率(%),計画（m3/日）_１日最大給水量(m3),現在（m3/日）_1日平均給水量(m3),現在（m3/日）_1日最大給水量(m3),水源の種別,浄水施設の種別
2010年度,平成22年度,合計,-,2600040,2480679,95.4,1357570,913776,1025234,-,-
2011年度,平成23年度,合計,-,2596740,2477882,95.4,1354730,901246,1025246,-,-
2012年度,平成24年度,合計,-,2597740,2473640,95.2,1348530,885492,990619,-,-
2013年度,平成25年度,合計,-,2587840,2474480,95.6,1316930,874079,981073,-,-
2014年度,平成26年度,合計,-,2583100,2471765,95.7,1305730,857568,956503,-,-
2014年度,平成26年度,京都市,2008年10月20日,1451800,1453668,100.1,730000,519992,564140,表流水,急ろ
2014年度,平成26年度,福知山市,2010年3月25日,66200,66237,100.1,35300,27644,37332,伏流水、浅井戸,緩ろ、急ろ、膜
2014年度,平成26年度,舞鶴市,2011年3月18日,85220,81526,95.7,65500,28975,34611,表流水、湖沼水、浅井戸,緩ろ、急ろ
2014年度,平成26年度,綾部市,2014年4月28日,27480,27731,100.9,15800,10151,14096,表流水、浅井戸,急ろ
2014年度,平成26年度,宇治市,2011年2月2日,192000,186329,97,71000,58825,64223,伏流水、深井戸、府営水道受水,滅菌、急ろ
2014年度,平成26年度,宮津市,2007年9月10日,15500,14250,91.9,8980,5216,8071,表流水、伏流水、湖沼水、浅井戸,緩ろ、急ろ
2014年度,平成26年度,亀岡市,2009年3月27日,86400,82395,95.4,40100,27444,29849,伏流水、深井戸,滅菌
2014年度,平成26年度,城陽市,2004年12月24日,93000,77111,82.9,48200,22625,25823,深井戸、府営水道受水,滅菌、急ろ
2014年度,平成26年度,向日市,1996年3月29日,60000,53745,89.6,36000,15427,16811,深井戸、府営水道受水,急ろ
2014年度,平成26年度,長岡京市,2013年6月28日,80100,80208,100.3,33000,25888,29119,深井戸、府営水道受水,急ろ
2014年度,平成26年度,八幡市,2002年3月29日,81000,72986,90.1,40800,20773,23435,深井戸、府営水道受水,急ろ
2014年度,平成26年度,京田辺市,2008年3月11日,70000,66541,95.1,34000,20792,23257,伏流水、浅井戸、深井戸、府営水道受水,滅菌
2014年度,平成26年度,京丹後市,2011年12月1日,30700,30743,100.1,15400,11605,13367,表流水、伏流水、湖沼水、浅井戸、深井戸、他,緩ろ、急ろ、膜
2014年度,平成26年度,大山崎町,1998年5月26日,22000,15033,68.3,17700,5208,5732,深井戸、府営水道受水,急ろ
2014年度,平成26年度,久御山町,1993年3月31日,22000,15480,70.4,18000,8019,9855,深井戸、府営水道受水,急ろ
2014年度,平成26年度,井手町,2006年5月12日,7300,5540,75.9,3800,2118,2588,深井戸,急ろ
2014年度,平成26年度,宇治田原町,2012年7月9日,11200,8964,80,7600,3967,5022,浅井戸、深井戸,急ろ
2014年度,平成26年度,木津川市,2012年3月30日,80000,71615,89.5,30000,22485,24951,浅井戸、深井戸、府営水道受水,急ろ
2014年度,平成26年度,精華町,2014年3月31日,40400,36383,90.1,16900,10970,12430,深井戸、府営水道受水,滅菌
2014年度,平成26年度,南丹市園部町,1995年4月21日,22000,15747,71.6,12500,5874,6827,表流水、浅井戸,緩ろ、急ろ、膜
2014年度,平成26年度,南丹市八木町,1972年3月30日,6000,3575,59.6,2100,1381,2084,浅井戸,滅菌
2014年度,平成26年度,京丹波町,2004年10月14日,19000,-,-,14100,-,-,-,-
2014年度,平成26年度,与謝野町岩滝,1998年3月23日,7900,5958,75.4,6110,2189,2880,表流水,急ろ
2014年度,平成26年度,与謝野町加悦,2008年7月3日,5900,-,-,2840,-,-,表流水,急ろ
2014年度,平成26年度,京都府営水道,1991年8月1日,-,-,-,236800,107025,122204,ダム水、表流水,急ろ
