西暦,和暦,地域コード,地域,管内人口(A)(人),施設数(施設),給水人口(B)(人),上水道_施設数(施設),上水道_給水人口(人),簡易水道_施設数(施設),簡易水道_給水人口(人),専用水道_施設数(施設),専用水道_給水人口(人),普及率(B/A×100)(%)
2010年度,平成22年度,26000,京都府,2635677,312,2625481,26,2480679,142,141711,144,3091,99.6
2011年度,平成23年度,26000,京都府,2629766,302,2619668,26,2477882,128,138741,148,3045,99.6
2012年度,平成24年度,26000,京都府,2621887,298,2612551,24,2473640,123,136736,151,2175,99.6
2013年度,平成25年度,26000,京都府,2616481,292,2607838,24,2474480,117,131834,151,1524,99.7
2014年度,平成26年度,26000,京都府,2608995,290,2600957,24,2471765,117,128385,149,807,99.7
2014年度,平成26年度,26100,京都市,1465994,122,1463532,1,1453668,15,9864,106,-,99.8
2014年度,平成26年度,26201,福知山市,80038,12,79932,1,66237,11,13695,-,-,99.9
2014年度,平成26年度,26202,舞鶴市,86188,13,85824,1,81526,11,4298,1,-,99.6
2014年度,平成26年度,26203,綾部市,33771,9,32659,1,27731,7,4928,1,-,96.7
2014年度,平成26年度,26204,宇治市,186782,12,186545,1,186329,-,216,11,-,99.9
2014年度,平成26年度,26205,宮津市,19274,14,19157,1,14250,11,4904,2,3,99.4
2014年度,平成26年度,26206,亀岡市,91259,8,89387,1,82395,5,6992,2,-,97.9
2014年度,平成26年度,26207,城陽市,77603,3,77311,1,77111,-,-,2,200,99.6
2014年度,平成26年度,26208,向日市,53745,4,53745,1,53745,-,-,3,-,100
2014年度,平成26年度,26209,長岡京市,80208,5,80208,1,80208,-,-,4,-,100
2014年度,平成26年度,26210,八幡市,72994,1,72986,1,72986,-,-,-,-,100
2014年度,平成26年度,26211,京田辺市,66879,5,66845,1,66541,-,-,4,304,99.9
2014年度,平成26年度,26212,京丹後市,55353,29,54819,1,30743,25,24012,3,64,99
2014年度,平成26年度,26213,南丹市,33025,17,32959,2,19322,12,13534,3,103,99.8
2014年度,平成26年度,26214,木津川市,73319,3,73319,1,71615,-,1634,2,70,100
2014年度,平成26年度,26303,乙訓郡大山崎町,15033,1,15033,1,15033,-,-,-,-,100
2014年度,平成26年度,26322,久世郡久御山町,15494,2,15480,1,15480,-,-,1,-,99.9
2014年度,平成26年度,26343,綴喜郡井手町,7876,2,7820,1,5540,1,2280,-,-,99.3
2014年度,平成26年度,26344,綴喜郡宇治田原町,9408,1,9298,1,8964,-,334,-,-,98.8
2014年度,平成26年度,26364,相楽郡笠置町,1450,3,1370,-,-,3,1370,-,-,94.5
2014年度,平成26年度,26365,相楽郡和束町,4125,3,4023,-,-,3,4023,-,-,97.5
2014年度,平成26年度,26366,相楽郡精華町,36554,1,36452,1,36383,-,69,-,-,99.7
2014年度,平成26年度,26367,相楽郡南山城村,2835,4,2538,-,-,2,2475,2,63,89.5
2014年度,平成26年度,26407,船井郡京丹波町,14433,2,14432,1,-,1,14432,-,-,100
2014年度,平成26年度,26463,与謝郡伊根町,2189,6,2151,-,-,4,2151,2,-,98.3
2014年度,平成26年度,26465,与謝郡与謝野町,23166,8,23132,2,5958,6,17174,-,-,99.9
