西暦,和暦,月等,性別,調査産業計_現金給与総額(円),調査産業計_きまって支給する給与(円),調査産業計_特別に支払われた給与(円),調査産業計_総実労働時間(時間),建設業_現金給与総額(円),建設業_きまって支給する給与(円),建設業_特別に支払われた給与(円),建設業_総実労働時間(時間),製造業_現金給与総額(円),製造業_きまって支給する給与(円),製造業_特別に支払われた給与(円),製造業_総実労働時間(時間),食料品・たばこ_現金給与総額(円),食料品・たばこ_きまって支給する給与(円),食料品・たばこ_特別に支払われた給与(円),食料品・たばこ_総実労働時間(時間),繊維工業_現金給与総額(円),繊維工業_きまって支給する給与(円),繊維工業_特別に支払われた給与(円),繊維工業_総実労働時間(時間),木材・木製品_現金給与総額(円),木材・木製品_きまって支給する給与(円),木材・木製品_特別に支払われた給与(円),木材・木製品_総実労働時間(時間),家具・装備品_現金給与総額(円),家具・装備品_きまって支給する給与(円),家具・装備品_特別に支払われた給与(円),家具・装備品_総実労働時間(時間),パルプ・紙_現金給与総額(円),パルプ・紙_きまって支給する給与(円),パルプ・紙_特別に支払われた給与(円),パルプ・紙_総実労働時間(時間),印刷・同関連業_現金給与総額(円),印刷・同関連業_きまって支給する給与(円),印刷・同関連業_特別に支払われた給与(円),印刷・同関連業_総実労働時間(時間),化学、石油・石炭_現金給与総額(円),化学、石油・石炭_きまって支給する給与(円),化学、石油・石炭_特別に支払われた給与(円),化学、石油・石炭_総実労働時間(時間),プラスチック製品_現金給与総額(円),プラスチック製品_きまって支給する給与(円),プラスチック製品_特別に支払われた給与(円),プラスチック製品_総実労働時間(時間),ゴム製品_現金給与総額(円),ゴム製品_きまって支給する給与(円),ゴム製品_特別に支払われた給与(円),ゴム製品_総実労働時間(時間),窯業・土石製品_現金給与総額(円),窯業・土石製品_きまって支給する給与(円),窯業・土石製品_特別に支払われた給与(円),窯業・土石製品_総実労働時間(時間),鉄鋼業_現金給与総額(円),鉄鋼業_きまって支給する給与(円),鉄鋼業_特別に支払われた給与(円),鉄鋼業_総実労働時間(時間),非鉄金属製造業_現金給与総額(円),非鉄金属製造業_きまって支給する給与(円),非鉄金属製造業_特別に支払われた給与(円),非鉄金属製造業_総実労働時間(時間),金属製品製造業_現金給与総額(円),金属製品製造業_きまって支給する給与(円),金属製品製造業_特別に支払われた給与(円),金属製品製造業_総実労働時間(時間),はん用機械器具_現金給与総額(円),はん用機械器具_きまって支給する給与(円),はん用機械器具_特別に支払われた給与(円),はん用機械器具_総実労働時間(時間),生産用機械器具_現金給与総額(円),生産用機械器具_きまって支給する給与(円),生産用機械器具_特別に支払われた給与(円),生産用機械器具_総実労働時間(時間),業務用機械器具_現金給与総額(円),業務用機械器具_きまって支給する給与(円),業務用機械器具_特別に支払われた給与(円),業務用機械器具_総実労働時間(時間),電子・デバイス_現金給与総額(円),電子・デバイス_きまって支給する給与(円),電子・デバイス_特別に支払われた給与(円),電子・デバイス_総実労働時間(時間),電気機械器具_現金給与総額(円),電気機械器具_きまって支給する給与(円),電気機械器具_特別に支払われた給与(円),電気機械器具_総実労働時間(時間),情報通信機械器具_現金給与総額(円),情報通信機械器具_きまって支給する給与(円),情報通信機械器具_特別に支払われた給与(円),情報通信機械器具_総実労働時間(時間),輸送用機械器具_現金給与総額(円),輸送用機械器具_きまって支給する給与(円),輸送用機械器具_特別に支払われた給与(円),輸送用機械器具_総実労働時間(時間),その他の製造業_現金給与総額(円),その他の製造業_きまって支給する給与(円),その他の製造業_特別に支払われた給与(円),その他の製造業_総実労働時間(時間),電気・ガス・熱供給・水道業_現金給与総額(円),電気・ガス・熱供給・水道業_きまって支給する給与(円),電気・ガス・熱供給・水道業_特別に支払われた給与(円),電気・ガス・熱供給・水道業_総実労働時間(時間),情報通信業_現金給与総額(円),情報通信業_きまって支給する給与(円),情報通信業_特別に支払われた給与(円),情報通信業_総実労働時間(時間),運輸業，郵便業_現金給与総額(円),運輸業，郵便業_きまって支給する給与(円),運輸業，郵便業_特別に支払われた給与(円),運輸業，郵便業_総実労働時間(時間),卸売業，小売業_現金給与総額(円),卸売業，小売業_きまって支給する給与(円),卸売業，小売業_特別に支払われた給与(円),卸売業，小売業_総実労働時間(時間),卸売業_現金給与総額(円),卸売業_きまって支給する給与(円),卸売業_特別に支払われた給与(円),卸売業_総実労働時間(時間),小売業_現金給与総額(円),小売業_きまって支給する給与(円),小売業_特別に支払われた給与(円),小売業_総実労働時間(時間),金融業，保険業_現金給与総額(円),金融業，保険業_きまって支給する給与(円),金融業，保険業_特別に支払われた給与(円),金融業，保険業_総実労働時間(時間),不動産業，物品賃貸業_現金給与総額(円),不動産業，物品賃貸業_きまって支給する給与(円),不動産業，物品賃貸業_特別に支払われた給与(円),不動産業，物品賃貸業_総実労働時間(時間),学術研究，専門・技術サービス業_現金給与総額(円),学術研究，専門・技術サービス業_きまって支給する給与(円),学術研究，専門・技術サービス業_特別に支払われた給与(円),学術研究，専門・技術サービス業_総実労働時間(時間),宿泊業，飲食サービス業_現金給与総額(円),宿泊業，飲食サービス業_きまって支給する給与(円),宿泊業，飲食サービス業_特別に支払われた給与(円),宿泊業，飲食サービス業_総実労働時間(時間),宿泊業_現金給与総額(円),宿泊業_きまって支給する給与(円),宿泊業_特別に支払われた給与(円),宿泊業_総実労働時間(時間),宿泊業，飲食サービス業一括分_現金給与総額(円),宿泊業，飲食サービス業一括分_きまって支給する給与(円),宿泊業，飲食サービス業一括分_特別に支払われた給与(円),宿泊業，飲食サービス業一括分_総実労働時間(時間),生活関連サービス業，娯楽業_現金給与総額(円),生活関連サービス業，娯楽業_きまって支給する給与(円),生活関連サービス業，娯楽業_特別に支払われた給与(円),生活関連サービス業，娯楽業_総実労働時間(時間),教育，学習支援業_現金給与総額(円),教育，学習支援業_きまって支給する給与(円),教育，学習支援業_特別に支払われた給与(円),教育，学習支援業_総実労働時間(時間),医療，福祉_現金給与総額(円),医療，福祉_きまって支給する給与(円),医療，福祉_特別に支払われた給与(円),医療，福祉_総実労働時間(時間),医療業_現金給与総額(円),医療業_きまって支給する給与(円),医療業_特別に支払われた給与(円),医療業_総実労働時間(時間),医療，福祉一括分_現金給与総額(円),医療，福祉一括分_きまって支給する給与(円),医療，福祉一括分_特別に支払われた給与(円),医療，福祉一括分_総実労働時間(時間),複合サービス事業_現金給与総額(円),複合サービス事業_きまって支給する給与(円),複合サービス事業_特別に支払われた給与(円),複合サービス事業_総実労働時間(時間),その他のサービス業（他に分類されないもの）_現金給与総額(円),その他のサービス業（他に分類されないもの）_きまって支給する給与(円),その他のサービス業（他に分類されないもの）_特別に支払われた給与(円),その他のサービス業（他に分類されないもの）_総実労働時間(時間),職業紹介・派遣業_現金給与総額(円),職業紹介・派遣業_きまって支給する給与(円),職業紹介・派遣業_特別に支払われた給与(円),職業紹介・派遣業_総実労働時間(時間),他の事業サービス_現金給与総額(円),他の事業サービス_きまって支給する給与(円),他の事業サービス_特別に支払われた給与(円),他の事業サービス_総実労働時間(時間),その他のサービス業一括分_現金給与総額(円),その他のサービス業一括分_きまって支給する給与(円),その他のサービス業一括分_特別に支払われた給与(円),その他のサービス業一括分_総実労働時間(時間)
2015年,平成27年,平均,男女計,290093,241606,48487,139,367481,318136,49345,167,374476,299422,75054,158.6,260573,225199,35374,149.2,249628,230141,19487,152.5,418388,328694,89694,188.4,293829,244391,49438,151.2,289946,248011,41935,166.9,305634,270903,34731,160,468387,342133,126254,156.7,291602,248176,43426,154.9,X,X,X,X,341967,276766,65201,161.2,370689,321037,49652,161.8,305132,272395,32737,167.7,298002,258687,39315,171.4,392586,319249,73337,174.1,480235,369895,110340,169.9,493029,351486,141543,151.4,460352,343933,116419,149.1,441529,348450,93079,158.3,542602,382317,160285,160.2,457461,354259,103202,168.9,345030,293961,51069,155.4,557212,437039,120173,152.4,371338,312536,58802,168.1,295553,259055,36498,181.3,225779,193108,32671,132.7,366280,295167,71113,165.5,165069,149009,16060,118.5,430427,328967,101460,149.9,304263,250989,53274,149.4,406066,324520,81546,151.2,118014,111144,6870,99.4,164714,149381,15333,123.9,101021,97231,3790,90.6,191311,174803,16508,126,386934,301202,85732,124.6,295302,252152,43150,131,349776,298552,51224,133.2,213450,182433,31017,127.9,317865,253054,64811,152.8,249425,212281,37144,137.8,232156,208403,23753,137.8,196910,170922,25988,130.1,360759,293772,66987,152.5
2015年,平成27年,1月,男女計,250557,239149,11408,130.9,325622,322791,2831,148.9,300008,293805,6203,142.4,225621,223276,2345,143.9,232932,221087,11845,135.6,382203,313623,68580,157.4,266909,234732,32177,133.9,229848,229848,-,134.7,292949,292036,913,135.4,341314,341314,-,147,248027,232394,15633,127.9,X,X,X,X,286720,286720,-,146.7,332720,332720,-,167.4,282111,270756,11355,158.1,257392,245365,12027,141.5,297976,297941,35,157.6,384614,363648,20966,155.9,333002,330844,2158,131.8,330283,330171,112,128.8,346922,346472,450,143.7,379665,378431,1234,135.6,349570,347573,1997,167,290300,290057,243,121.5,441871,430838,11033,141.4,337627,322540,15087,152.5,254299,253972,327,180.5,201113,191506,9607,125.3,298749,289226,9523,147.6,159767,150125,9642,115.8,335624,334601,1023,148.7,287615,244587,43028,140.4,315570,310861,4709,139.8,112004,108732,3272,95.3,152871,147328,5543,118.9,97637,95163,2474,87.1,179800,172213,7587,124.6,337071,299402,37669,114.9,275321,253402,21919,125.3,332263,302291,29972,127.2,191772,181668,10104,122.6,280293,259095,21198,147.3,206627,202658,3969,132.4,193632,193346,286,121.4,162719,161547,1172,130.7,299037,287491,11546,142.2
2015年,平成27年,2月,男女計,243273,241670,1603,139,330968,326747,4221,175.5,301127,298885,2242,160.5,222791,217155,5636,143.5,229735,229350,385,159.8,318883,318883,-,171.1,253101,243377,9724,157.4,237122,237122,-,169.6,285994,284791,1203,149.2,341830,341594,236,155.9,257844,257844,-,162.8,X,X,X,X,293714,293714,-,170.2,334964,334964,-,160.9,277809,277470,339,173.9,259693,259563,130,175.1,352776,335389,17387,181.4,367053,366747,306,171.4,352118,350669,1449,148.5,341439,341439,-,154.4,348200,347446,754,163.3,407892,390251,17641,170.6,341794,339884,1910,172.3,291994,291748,246,165.3,441069,425543,15526,140.9,316050,315659,391,173,254621,252544,2077,179.9,192237,190964,1273,131.6,295588,293910,1678,166.2,148362,147261,1101,117,326687,325863,824,145.5,255711,250939,4772,155.5,321408,320386,1022,151,108809,108094,715,93.7,150832,149974,858,115.6,94229,93564,665,86.1,169392,167686,1706,125.9,305277,304007,1270,124,255530,254688,842,131.1,305812,304762,1050,135,182551,182012,539,125.4,246105,232563,13542,136.4,220444,219539,905,140.9,220019,219864,155,144.5,183998,182495,1503,135.8,291537,291344,193,148.9
2015年,平成27年,3月,男女計,252872,241128,11744,139.2,326740,324639,2101,178.3,311888,297080,14808,156.6,217544,217257,287,144.6,222853,221303,1550,148.4,340349,328174,12175,176.5,236789,236125,664,151.5,229152,229152,-,159.1,334707,287191,47516,149.8,370919,344354,26565,158.3,257569,250271,7298,147.8,X,X,X,X,285448,285448,-,159.4,334091,334091,-,161.7,280499,280499,-,175.3,304295,256633,47662,166.8,359853,322650,37203,176.4,362399,362092,307,167,352282,347461,4821,155,396322,340684,55638,148.3,351219,349572,1647,158.6,398749,393337,5412,160.7,369747,354015,15732,173.7,302107,301615,492,154.6,544589,416857,127732,161.1,310523,309208,1315,178.6,280544,257375,23169,179.5,195671,190939,4732,128.5,300015,292518,7497,165.3,151117,147566,3551,112.9,425294,330751,94543,158.6,270796,252016,18780,151.1,331135,327287,3848,155.9,114553,111686,2867,98.6,160949,151365,9584,127.4,98065,97586,479,88.3,166369,166221,148,117.8,317457,306452,11005,131.6,258929,250800,8129,130.3,311219,299870,11349,134.2,182704,179268,3436,124.8,291887,242677,49210,149,215646,209338,6308,140.1,206157,204975,1182,147.4,179747,168823,10924,129.5,292145,291272,873,155.8
2015年,平成27年,4月,男女計,252450,245548,6902,145.5,369090,327471,41619,179.6,311983,302968,9015,166.7,233661,230670,2991,155.3,239521,230256,9265,160.5,311810,311104,706,187.9,248052,245159,2893,166.4,232820,232820,-,169,302999,291290,11709,156.7,364502,352945,11557,169.9,259641,259641,-,166.4,X,X,X,X,283464,283464,-,177.3,332134,332134,-,172.5,462171,269075,193096,164.5,259149,257042,2107,176.8,332066,328828,3238,178.6,378758,376798,1960,183.5,391282,350601,40681,160.5,354841,354564,277,162.5,350570,347609,2961,172.7,400715,397908,2807,178.7,345479,342992,2487,164,283168,282675,493,159.2,441109,429433,11676,155.5,341147,330452,10695,180.8,270566,265207,5359,187.6,202536,195644,6892,138.4,317794,298044,19750,176.3,152571,151253,1318,122.1,369357,350373,18984,163.3,267498,255487,12011,161.8,324803,320237,4566,157.4,115236,114737,499,103.7,154679,153741,938,131.6,100659,100323,336,93.4,177138,176835,303,133,306607,305096,1511,131.7,261402,256018,5384,134,312476,307945,4531,139.5,185086,178428,6658,125.7,261447,252472,8975,158,209999,207024,2975,142.2,206832,206451,381,144.4,164305,162196,2109,131,301647,295177,6470,162.8
2015年,平成27年,5月,男女計,245306,240767,4539,134.2,319193,318731,462,157.9,304374,297486,6888,148.3,229242,226087,3155,145.6,224854,222317,2537,143.2,343911,343911,-,182.4,238677,236391,2286,140.7,250495,232564,17931,151.2,308596,307404,1192,141.7,339264,338638,626,148.6,315516,252171,63345,146.5,X,X,X,X,293280,270635,22645,157.9,328623,328623,-,165.7,266475,266139,336,151.3,247423,246012,1411,154.1,314270,312433,1837,159.8,368135,365148,2987,161.4,345401,344694,707,142,341677,341677,-,135.3,343210,341606,1604,149.9,391380,388897,2483,138.9,370221,351050,19171,152.7,311635,290483,21152,144,442491,436385,6106,138.3,313145,308187,4958,156.9,250918,250460,458,176.2,197437,194901,2536,130.5,297319,294663,2656,162.1,153784,151301,2483,116.5,337588,327806,9782,147.9,280093,263378,16715,145.7,324340,321366,2974,147.8,113892,112695,1197,101.6,147616,146939,677,126.2,101298,99907,1391,92.4,175373,175075,298,126.5,300661,299996,665,115.3,252296,250309,1987,126.3,295878,295173,705,127.6,186035,182099,3936,124.5,257628,250203,7425,146.4,226562,204565,21997,133.5,292423,190691,101732,123.9,162153,161439,714,125.8,305181,296443,8738,154.5
2015年,平成27年,6月,男女計,390853,243594,147259,145,497100,324517,172583,179.5,551322,304964,246358,164.8,352775,228108,124667,155.5,286379,227025,59354,156.8,730648,322921,407727,186.2,422662,243743,178919,163.7,241408,241408,-,175.7,459184,302835,156349,153.5,661971,340666,321305,166.5,352592,262008,90584,168.3,X,X,X,X,335300,276182,59118,179.9,649421,350148,299273,165.1,291655,280123,11532,176.7,300251,258416,41835,179.9,562026,320811,241215,184,602317,378653,223664,174.2,1014176,361560,652616,154.7,910019,348750,561269,157.2,699299,349938,349361,157.3,1318243,396856,921387,174.1,575947,366433,209514,175.6,385936,296766,89170,167,1019166,432059,587107,165.1,522830,304795,218035,172.3,366020,259037,106983,188.7,257825,194685,63140,137.6,435632,298142,137490,173.9,180760,149845,30915,121.9,714641,327765,386876,157.1,401869,256503,145366,155.9,583764,325164,258600,160.5,125863,107808,18055,97.9,200033,142187,57846,121.9,98219,94995,3224,88.9,223849,173898,49951,130.7,612810,304495,308315,133.7,350201,254431,95770,137.9,393837,300818,93019,141.1,284265,184338,99927,133.1,366312,244632,121680,156.9,339695,213747,125948,145,231362,217216,14146,149.6,253935,171609,82326,133.7,572336,290714,281622,163.3
2015年,平成27年,7月,男女計,330254,242682,87572,144,341270,305786,35484,165.7,457773,300188,157585,166.3,284298,224122,60176,154.1,272577,238168,34409,147.5,379846,317902,61944,203.9,264971,252172,12799,159.4,411634,257906,153728,170.5,292430,258915,33515,172.6,734095,341158,392937,165.6,321886,246594,75292,164.2,X,X,X,X,567893,269612,298281,166.1,338081,320384,17697,162.6,349221,272653,76568,170.8,408110,261571,146539,178.2,440120,313713,126407,178,732535,368222,364313,181.2,507801,364000,143801,163.9,421073,345231,75842,160.9,571675,348865,222810,169,406375,379379,26996,176.1,739119,359958,379161,182.3,441587,296424,145163,154.3,481805,466437,15368,173.4,359446,301614,57832,173.6,339133,259521,79612,181.5,301630,193645,107985,136.1,561039,300639,260400,171.8,190145,147663,42482,120.7,387316,326496,60820,158.9,340558,262112,78446,155.3,356669,321349,35320,159.8,123070,113564,9506,101.6,158336,152202,6134,123.4,110022,99269,10753,93.5,199496,176676,22820,129.5,418582,300458,118124,134.7,331628,251676,79952,134.4,399809,297184,102625,135.8,229059,183216,45843,132.2,458817,255298,203519,158.3,280796,223200,57596,144.9,230224,218766,11458,147.2,248591,182541,66050,137.3,371169,303002,68167,158.1
2015年,平成27年,8月,男女計,251649,239731,11918,136.6,364193,311395,52798,158.7,313515,295609,17906,152.6,235557,224735,10822,139.4,236077,234030,2047,146.1,319396,319396,-,210.9,286837,247604,39233,147.7,259030,259030,-,169.9,277366,245869,31497,161,330283,330072,211,140.8,267902,244878,23024,156,X,X,X,X,250967,250967,-,139.7,312486,303980,8506,161.5,263694,263357,337,165,264799,260981,3818,166.8,396829,314280,82549,165.8,405052,370100,34952,161,397450,355783,41667,150.3,338089,338089,-,143.6,358533,343813,14720,159.4,384453,367124,17329,131.9,377458,352452,25006,155.6,312197,291815,20382,157.3,457072,443644,13428,152.5,304886,294746,10140,162.5,264609,259751,4858,177.3,200084,193446,6638,133.7,314926,300298,14628,167.6,150451,147266,3185,118.9,416613,334451,82162,148.2,305372,251386,53986,144,325272,324204,1068,144.5,119618,115933,3685,104,159159,158634,525,127.5,105247,100414,4833,95.4,187432,177082,10350,127.5,295997,291380,4617,111.6,253738,248499,5239,132.6,296579,289670,6909,133.7,189201,186477,2724,131,281804,262264,19540,160,212996,208247,4749,131.8,201569,193678,7891,122.7,170862,167840,3022,126.4,300246,294261,5985,148
2015年,平成27年,9月,男女計,247804,240487,7317,137.6,315449,312548,2901,164.6,305323,300284,5039,160.6,222549,222235,314,147.4,235508,233683,1825,154.8,339476,331508,7968,186.6,252525,247227,5298,144.9,265838,263164,2674,181.6,270193,260173,10020,166.4,347197,345391,1806,154.3,243792,243792,-,156,X,X,X,X,276329,276329,-,161.9,315784,315784,-,158,282111,282111,-,169.8,281160,268162,12998,183.9,323075,321096,1979,178.2,371672,371328,344,173.6,362727,354481,8246,156.3,365063,343774,21289,147.4,352787,351110,1677,151.1,381085,375291,5794,173.1,374115,366729,7386,167.4,294768,293371,1397,163.5,448603,434465,14138,145.2,358873,312547,46326,162.8,262076,260839,1237,178.3,195123,191915,3208,134.6,299629,295448,4181,168,149460,146677,2783,120,328140,318932,9208,134.2,251693,247818,3875,149.7,433665,327319,106346,147.9,113797,109225,4572,97,163557,147883,15674,121.5,96097,95474,623,88.4,185103,184509,594,125.6,302383,302320,63,124.4,250475,249574,901,128.1,295352,294510,842,128.7,181789,180796,993,127.2,271460,267061,4399,153,209799,206344,3455,132.9,194969,194441,528,130.8,170376,166512,3864,125.3,294286,289718,4568,148.5
