西暦,和暦,月等,産業,一般労働者_現金給与総額(円),一般労働者_きまって支給する給与(円),一般労働者_特別に支払われた給与(円),一般労働者_総実労働時間(時間),パートタイム労働者_現金給与総額(円),パートタイム労働者_きまって支給する給与(円),パートタイム労働者_特別に支払われた給与(円),パートタイム労働者_総実労働時間(時間)
2015年,平成27年,平均,調査産業計,404265,329290,74975,170.9,91673,89219,2454,83.7
2015年,平成27年,1月,調査産業計,344761,327494,17267,159.9,87579,86308,1271,80.7
2015年,平成27年,2月,調査産業計,330395,327999,2396,170.4,88570,88376,194,83.3
2015年,平成27年,3月,調査産業計,345243,327405,17838,171.4,88755,87838,917,82
2015年,平成27年,4月,調査産業計,343597,333429,10168,179.1,92601,91427,1174,86.7
2015年,平成27年,5月,調査産業計,333997,327122,6875,163.6,88157,87757,400,82.3
2015年,平成27年,6月,調査産業計,557878,330073,227805,178.7,96803,91346,5457,85.8
2015年,平成27年,7月,調査産業計,464938,329810,135128,177.8,95107,90564,4543,85.2
2015年,平成27年,8月,調査産業計,345833,327683,18150,167.1,90849,89570,1279,84.5
2015年,平成27年,9月,調査産業計,339860,328705,11155,169.3,89662,88937,725,83.2
2015年,平成27年,10月,調査産業計,335461,330053,5408,169,89123,88861,262,83
2015年,平成27年,11月,調査産業計,342753,329839,12914,173,90171,89727,444,83.7
2015年,平成27年,12月,調査産業計,762880,331842,431038,171,102389,89836,12553,84.3
2015年,平成27年,平均,製造業,426657,337070,89587,167.7,115468,112553,2915,114
2015年,平成27年,1月,製造業,342371,334884,7487,151.3,102474,102259,215,101.1
2015年,平成27年,2月,製造業,339282,336654,2628,169.7,113925,113575,350,115.3
2015年,平成27年,3月,製造業,352583,334908,17675,165.4,111493,110804,689,113.2
2015年,平成27年,4月,製造業,352049,341367,10682,176.3,117856,116917,939,120.4
2015年,平成27年,5月,製造業,343156,335054,8102,156.1,108561,107803,758,109.3
2015年,平成27年,6月,製造業,633714,341005,292709,173.3,125956,118896,7060,121.1
2015年,平成27年,7月,製造業,524233,336848,187385,176.1,119978,113859,6119,116.6
2015年,平成27年,8月,製造業,354210,333123,21087,161,109437,107482,1955,109.7
2015年,平成27年,9月,製造業,343463,337587,5876,169.6,115190,114325,865,115.7
2015年,平成27年,10月,製造業,341002,337389,3613,163.8,110991,110590,401,110.4
2015年,平成27年,11月,製造業,346395,337280,9115,175.6,117992,117455,537,118.9
2015年,平成27年,12月,製造業,842520,338659,503861,173.5,132287,117087,15200,116.9
2015年,平成27年,平均,卸売業，小売業,372985,307201,65784,176.8,87701,86090,1611,91.4
2015年,平成27年,1月,卸売業，小売業,326251,307582,18669,163.6,85224,84010,1214,89.7
2015年,平成27年,2月,卸売業，小売業,311890,309282,2608,177.9,82821,82768,53,89.3
2015年,平成27年,3月,卸売業，小売業,315267,306630,8637,173.9,81556,80550,1006,85.3
2015年,平成27年,4月,卸売業，小売業,325310,311337,13973,187.8,85689,85536,153,91.5
2015年,平成27年,5月,卸売業，小売業,313706,308631,5075,171.4,84799,84722,77,90.7
2015年,平成27年,6月,卸売業，小売業,437006,310389,126617,186.4,86825,84264,2561,91.2
2015年,平成27年,7月,卸売業，小売業,522127,304524,217603,180.7,92673,88569,4104,93.8
2015年,平成27年,8月,卸売業，小売業,321189,308409,12780,176.7,90231,89164,1067,94.6
2015年,平成27年,9月,卸売業，小売業,308202,302536,5666,178.3,89009,88108,901,93.6
2015年,平成27年,10月,卸売業，小売業,317487,303655,13832,171.3,88305,88167,138,92.1
2015年,平成27年,11月,卸売業，小売業,320954,306566,14388,178.9,89006,88329,677,91.9
2015年,平成27年,12月,卸売業，小売業,656716,306872,349844,175.5,96209,88830,7379,92.8
2015年,平成27年,平均,医療，福祉,395566,332310,63256,159.7,112934,106355,6579,78.9
2015年,平成27年,1月,医療，福祉,367977,335354,32623,154.7,102602,100636,1966,70.8
2015年,平成27年,2月,医療，福祉,331850,330593,1257,159.1,109910,109861,49,77.6
2015年,平成27年,3月,医療，福祉,338850,327113,11737,159.8,109071,107708,1363,75.4
2015年,平成27年,4月,医療，福祉,340538,334905,5633,162.7,116000,111073,4927,81.2
2015年,平成27年,5月,医療，福祉,327922,325577,2345,154,106828,105531,1297,73.3
2015年,平成27年,6月,医療，福祉,468308,327673,140635,166.5,132852,119646,13206,85.3
2015年,平成27年,7月,医療，福祉,451174,333749,117425,164.3,121670,107532,14138,81.9
2015年,平成27年,8月,医療，福祉,336702,329620,7082,163,107530,105540,1990,79
2015年,平成27年,9月,医療，福祉,336452,335170,1282,157.1,102696,102450,246,78.2
2015年,平成27年,10月,医療，福祉,339367,337766,1601,160.7,101001,100921,80,80.7
2015年,平成27年,11月,医療，福祉,348302,332400,15902,159,102660,102350,310,80.2
2015年,平成27年,12月,医療，福祉,752525,337844,414681,156.3,142977,103686,39291,82.9
