西暦,和暦,月等,調査産業計_現金給与総額(円),調査産業計_名目賃金指数(H22=100),調査産業計_実質賃金指数(H22=100),調査産業計_雇用指数(H22=100),製造業_現金給与総額(円),製造業_名目賃金指数(H22=100),製造業_実質賃金指数(H22=100),製造業_雇用指数(H22=100)
2011年,平成23年,平均,298052,96.4,96.4,100.1,368034,101.1,101.1,100.8
2012年,平成24年,平均,279066,95.3,95.4,101.4,364909,99.9,100,100.6
2013年,平成25年,平均,283195,96.7,96.1,101,369461,101,100.4,99.8
2014年,平成26年,平均,288991,98.7,94.8,100.8,376643,102.9,98.8,99.8
2015年,平成27年,平均,290093,98.9,94.1,102.3,374476,102.6,97.6,98.1
2012年,平成24年,1月,237186,81,81.4,100.9,304645,83.5,83.9,100.2
2012年,平成24年,2月,233716,79.8,80,100.8,299835,82.2,82.4,99.2
2012年,平成24年,3月,249266,85.1,84.8,100.9,317462,87,86.7,100.1
2012年,平成24年,4月,245056,83.7,83.4,101.8,313601,86,85.7,101.6
2012年,平成24年,5月,237841,81.2,81,101.4,298411,81.8,81.6,100.9
2012年,平成24年,6月,373169,127.4,127.5,101.5,472653,129.6,129.6,100.5
2012年,平成24年,7月,322416,110.1,110.5,101.9,480254,131.6,132,101.1
2012年,平成24年,8月,249078,85,85.1,101.6,314869,86.2,86.3,100.8
2012年,平成24年,9月,239272,81.7,81.8,101.3,305564,83.7,83.8,100.4
2012年,平成24年,10月,242429,82.8,83,101.2,304327,83.3,83.5,100.6
2012年,平成24年,11月,252714,86.3,86.9,101.5,304549,83.4,84,101.4
2012年,平成24年,12月,465415,158.9,159.9,101.6,660440,180.8,181.9,100.5
2013年,平成25年,1月,246681,84.2,84.8,100.4,301314,82.5,83.1,99.3
2013年,平成25年,2月,240527,82.1,82.8,100.2,303096,83,83.8,98.8
2013年,平成25年,3月,251757,86,86.6,99.7,314799,86.2,86.8,97.5
2013年,平成25年,4月,250346,85.5,85.7,100.5,310393,85,85.2,99.6
2013年,平成25年,5月,242034,82.6,82.4,101.4,306456,83.9,83.6,99
2013年,平成25年,6月,384380,131.3,130.8,101.7,484706,132.7,132.2,99.6
2013年,平成25年,7月,313280,107.1,106.3,101.8,474300,129.8,128.8,100.6
2013年,平成25年,8月,247447,84.5,83.6,101.5,308166,84.3,83.4,100
2013年,平成25年,9月,241702,82.5,81.2,101,314789,86.1,84.7,100.3
2013年,平成25年,10月,246075,84,82.4,101.2,304536,83.3,81.7,100.9
2013年,平成25年,11月,250724,85.7,84.2,101.2,308831,84.5,83,100.9
2013年,平成25年,12月,481761,164.6,161.2,101.1,697781,190.9,187,100.7
2014年,平成26年,1月,249329,85.2,83.9,100.3,306865,83.9,82.7,100.4
2014年,平成26年,2月,237874,81.3,80.1,99.6,305085,83.4,82.2,98.5
2014年,平成26年,3月,252652,86.4,84.7,99.5,318868,87.2,85.5,98.6
2014年,平成26年,4月,252441,86.3,82.6,100.6,316579,86.6,82.9,99.9
2014年,平成26年,5月,242678,83,79,100.6,309638,84.7,80.6,99.4
2014年,平成26年,6月,402071,137.4,130.9,100.8,529537,144.8,137.9,99.6
2014年,平成26年,7月,316403,108.1,103.1,101,479878,131.1,125.1,100.7
2014年,平成26年,8月,250355,85.6,81.5,101.1,306829,83.8,79.8,100.6
2014年,平成26年,9月,245898,84.1,79.7,101.1,311632,85.1,80.7,99.7
2014年,平成26年,10月,245086,83.8,79.7,101.6,307038,83.9,79.8,99.9
2014年,平成26年,11月,259438,88.7,84.8,101.6,306342,83.7,80,99.7
2014年,平成26年,12月,511172,174.7,166.7,101.6,717764,196.1,187.1,100.4
2015年,平成27年,1月,250557,85.5,81.9,100.7,300008,82.2,78.7,95.3
2015年,平成27年,2月,243273,83.1,79.6,100.9,301127,82.5,79,97
2015年,平成27年,3月,252872,86.3,82.3,101,311888,85.5,81.6,98
2015年,平成27年,4月,252450,86.2,81.9,102,311983,85.5,81.3,99
2015年,平成27年,5月,245306,83.7,79.3,102.1,304374,83.4,79,99
2015年,平成27年,6月,390853,133.4,126.4,102.5,551322,151.1,143.2,99.2
2015年,平成27年,7月,330254,112.8,107.3,102.4,457773,125.5,119.4,99
2015年,平成27年,8月,251649,85.9,81.4,102.8,313515,85.9,81.4,98.9
2015年,平成27年,9月,247804,84.6,80.2,102.9,305323,83.7,79.3,99
2015年,平成27年,10月,244867,83.6,79.2,103.2,302116,82.8,78.5,97.5
2015年,平成27年,11月,248992,85,80.9,103.4,309142,84.7,80.6,97.6
2015年,平成27年,12月,518919,177.2,168.6,103.4,722265,198,188.4,97.7
