西暦,和暦,地域コード,地域,総数(人),総数_男(人),総数_女(人),雇用者(人),役員(人),雇人のある業主(人),雇人のない業主(人),家族従業者(人)
1990年,平成2年,26000,京都府,1273483,764864,508619,903010,75660,54967,141004,98619
1995年,平成7年,26000,京都府,1315528,782909,532619,958264,77621,56514,131562,91141
2000年,平成12年,26000,京都府,1270485,745478,525007,958665,76598,48277,116254,70562
2005年,平成17年,26000,京都府,1248020,715838,532182,955991,73615,39664,116278,62165
2010年,平成22年,26000,京都府,1219370,687458,531912,902860,64329,32455,98137,48285
2010年,平成22年,26100,京都市,680855,374889,305966,487934,40577,19844,53491,25788
2010年,平成22年,26201,福知山市,39466,22852,16614,29800,1753,884,3851,1912
2010年,平成22年,26202,舞鶴市,42110,25547,16563,31849,1953,1039,3310,1705
2010年,平成22年,26203,綾部市,16750,9396,7354,12411,735,406,2006,920
2010年,平成22年,26204,宇治市,84684,49226,35458,65481,3959,1859,5107,2082
2010年,平成22年,26205,宮津市,9528,5298,4230,6364,538,319,1257,740
2010年,平成22年,26206,亀岡市,44729,25719,19010,34647,1945,1010,3727,1676
2010年,平成22年,26207,城陽市,36667,21198,15469,29490,1568,819,2455,1077
2010年,平成22年,26208,向日市,25312,14676,10636,20563,1179,530,1688,621
2010年,平成22年,26209,長岡京市,36017,21314,14703,30054,1695,717,2281,844
2010年,平成22年,26210,八幡市,33407,19774,13633,27209,1374,626,2012,873
2010年,平成22年,26211,京田辺市,28826,17075,11751,23432,1224,598,1720,767
2010年,平成22年,26212,京丹後市,29717,16355,13362,19624,1174,931,4636,3056
2010年,平成22年,26213,南丹市,16187,9241,6946,11523,631,448,2146,1149
2010年,平成22年,26214,木津川市,31137,18314,12823,24677,1277,647,2004,1147
2010年,平成22年,26303,乙訓郡大山崎町,6911,3934,2977,5763,277,148,427,161
2010年,平成22年,26322,久世郡久御山町,7884,4513,3371,5710,429,221,717,529
2010年,平成22年,26343,綴喜郡井手町,3628,2136,1492,2714,200,107,252,158
2010年,平成22年,26344,綴喜郡宇治田原町,4934,2892,2042,3696,237,141,473,345
2010年,平成22年,26364,相楽郡笠置町,692,386,306,509,44,28,62,47
2010年,平成22年,26365,相楽郡和束町,2137,1229,908,1237,91,94,332,353
2010年,平成22年,26366,相楽郡精華町,16102,9550,6552,13339,711,338,996,412
2010年,平成22年,26367,相楽郡南山城村,1494,847,647,1105,30,37,169,145
2010年,平成22年,26407,船井郡京丹波町,7621,4306,3315,5305,286,195,1192,578
2010年,平成22年,26463,与謝郡伊根町,1117,654,463,734,19,81,184,98
2010年,平成22年,26465,与謝郡与謝野町,11458,6137,5321,7690,423,388,1642,1102
