西暦,和暦,性別,年齢階級,企業規模別,産業計_年齢(歳),産業計_勤続年数(年),産業計_所定内実労働時間数(時間),産業計_超過実労働時間数(時間),産業計_きまって支給する現金給与額(千円),産業計_所定内給与額(千円),産業計_年間賞与その他特別給与額(千円),産業計_労働者数(十人),建設業_年齢(歳),建設業_勤続年数(年),建設業_所定内実労働時間数(時間),建設業_超過実労働時間数(時間),建設業_きまって支給する現金給与額(千円),建設業_所定内給与額(千円),建設業_年間賞与その他特別給与額(千円),建設業_労働者数(十人),製造業_年齢(歳),製造業_勤続年数(年),製造業_所定内実労働時間数(時間),製造業_超過実労働時間数(時間),製造業_きまって支給する現金給与額(千円),製造業_所定内給与額(千円),製造業_年間賞与その他特別給与額(千円),製造業_労働者数(十人),卸売業，小売業_年齢(歳),卸売業，小売業_勤続年数(年),卸売業，小売業_所定内実労働時間数(時間),卸売業，小売業_超過実労働時間数(時間),卸売業，小売業_きまって支給する現金給与額(千円),卸売業，小売業_所定内給与額(千円),卸売業，小売業_年間賞与その他特別給与額(千円),卸売業，小売業_労働者数(十人),金融業，保険業_年齢(歳),金融業，保険業_勤続年数(年),金融業，保険業_所定内実労働時間数(時間),金融業，保険業_超過実労働時間数(時間),金融業，保険業_きまって支給する現金給与額(千円),金融業，保険業_所定内給与額(千円),金融業，保険業_年間賞与その他特別給与額(千円),金融業，保険業_労働者数(十人),サービス業（他に分類されないもの）_年齢(歳),サービス業（他に分類されないもの）_勤続年数(年),サービス業（他に分類されないもの）_所定内実労働時間数(時間),サービス業（他に分類されないもの）_超過実労働時間数(時間),サービス業（他に分類されないもの）_きまって支給する現金給与額(千円),サービス業（他に分類されないもの）_所定内給与額(千円),サービス業（他に分類されないもの）_年間賞与その他特別給与額(千円),サービス業（他に分類されないもの）_労働者数(十人)
2011年,平成23年,男,総数,…,42.9,13.7,169,16,371.5,338.6,1058,21330,42.7,15.5,173,20,387.7,343.9,783.2,978,42.4,15.2,167,16,381.9,344.9,1041.9,7305,42,14.9,169,9,340.4,324.8,778.2,3439,41,15.9,154,20,463.4,414.4,1740.3,581,44.5,11.4,170,9,341.6,325.1,917.6,1203
2012年,平成24年,男,総数,…,43.1,13.1,166,15,369.2,333.3,950.8,24865,42.7,14.3,174,14,357.4,328.2,693.8,1176,42.1,15.3,165,16,371,334.7,1111.8,7531,41.8,14.6,170,12,356.3,329.5,889.5,3657,43.1,16,157,16,456.7,419.5,1588.1,845,45.9,9.7,170,15,294.3,266.2,527.5,1802
2013年,平成25年,男,総数,…,42.7,13.2,166,17,361.9,325.3,918.4,24856,44.8,16.1,181,6,348,332,583.3,1449,42,14.9,164,16,373.5,335.7,1129.8,7340,41.6,14.2,170,12,342.7,320.2,652.2,3737,41.5,15.4,154,17,456.4,414.4,1706.5,806,44.9,9.2,167,13,301.6,274.1,605.1,1695
2014年,平成26年,男,総数,…,43.6,13.5,166,16,365.6,330,922.8,24192,50.7,11.3,172,20,310.6,274.3,380.6,1559,42.3,15.7,164,17,386.1,344.7,1147.4,7773,42.7,14.5,168,10,342.2,321,771.4,3781,41.2,15,151,18,446.3,402.8,1638.7,834,47,10.1,167,15,302.6,273.1,593.5,1473
2015年,平成27年,男,総数,…,44.2,13.3,165,14,371.1,339.1,966.2,25087,44.1,12.2,172,11,351.3,328.3,656.8,1872,44,15.9,165,14,377.1,343.1,1169,8128,42.6,14.5,168,11,338.6,319.1,870,2947,42.9,16.1,147,15,441.5,404.4,1849.4,826,48.2,9.4,163,13,279.9,258.6,567.5,1941
2015年,平成27年,男,〜19歳,…,19.2,1.1,163,17,202,177.5,213.7,122,19.4,1.9,141,20,249.4,223.5,347.9,16,19.3,1.1,162,14,206.7,179.5,319.6,46,19.4,1.4,176,0,154.6,154.6,0,3,-,-,-,-,-,-,-,-,18.9,0.9,163,23,192.8,168.8,123.5,19
2015年,平成27年,男,20〜24歳,…,23.1,2.1,163,15,234.9,211,366.5,1085,23.1,2.3,165,22,270.2,229.5,297.9,59,22.8,2.6,164,16,234.7,206.2,515.2,342,23.2,1.5,166,10,222.4,210.4,239.3,175,23.6,1.3,144,21,244.5,209.1,303.9,52,22.9,2.1,161,11,208.8,190.9,352.2,55
2015年,平成27年,男,25〜29歳,…,27.5,4,165,18,274.5,240.2,656.1,2235,27,4.2,170,24,283.9,237.1,389.1,120,27.5,4.4,166,17,274.2,241.6,855,710,27.6,3.8,169,13,244.8,223.6,511.9,292,27.6,5,141,25,308.7,259.6,1166.6,105,27.5,3.4,165,21,265.3,232.5,359.1,115
2015年,平成27年,男,30〜34歳,…,32.6,6.7,166,18,316.3,279.6,799.3,2720,32.8,6.3,179,15,326.7,297.3,608.2,241,32.6,7.6,167,21,319.7,277.1,950.3,770,32.5,7.6,171,15,294.3,265.9,715.5,393,32.1,8.6,150,22,364.5,311.2,1615,90,32.3,5.7,159,13,262.1,236,582.9,224
2015年,平成27年,男,35〜39歳,…,37.6,9.8,167,18,367,328,922.1,3473,37.7,10.4,175,13,347,321,589.9,291,37.7,10.7,167,20,351.9,307.3,1081,1106,37.5,11.5,170,16,352.8,323.5,832.2,370,37.4,12.6,147,22,488.5,420.9,2072.5,81,37.6,8,163,18,290.3,257.8,535.6,213
2015年,平成27年,男,40〜44歳,…,42.5,13.5,166,15,391.5,354.7,1063.1,3953,43,12.9,173,11,383.6,357.6,843.2,369,42.6,15.1,166,17,394,351.8,1186.2,1300,42.3,14.1,169,9,357.7,340.4,981.6,537,42.6,16.4,153,10,501.1,467.3,2262.2,135,42.6,10.3,164,18,324.4,289.4,785.8,249
2015年,平成27年,男,45〜49歳,…,47.4,17.2,164,14,430.7,396.5,1245.5,3420,47.1,12.7,171,6,376.8,360.9,712.7,240,47.4,20.4,161,14,435.3,398.7,1407.7,1334,47.5,18.6,166,9,390.4,372.7,1199.4,377,47.3,21.8,150,11,588.7,555.1,2948,122,47.2,13.8,165,14,353,328.1,890.5,195
2015年,平成27年,男,50〜54歳,…,52.4,19.7,165,12,468.8,437.5,1354,2919,52.8,13.9,174,2,387.2,380.6,940.6,172,52.4,24,164,11,477.8,447.4,1730.9,1063,52.8,22.3,163,6,433.6,420.4,1261.4,306,52.5,22.1,150,9,577.6,551.8,2552.7,75,52.3,12.3,165,10,298.3,280.1,677.2,171
2015年,平成27年,男,55〜59歳,…,57.4,22.3,165,12,442.6,415.5,1247.5,2407,57.7,19.5,170,7,404.7,387.1,733.7,171,57.3,27,165,8,466.5,445.3,1566.7,765,57.1,26.1,167,6,401.4,388.2,1137,247,57.6,25.2,144,8,460.9,442.1,1759.3,93,57.4,12.7,164,11,328.9,311.8,625,189
2015年,平成27年,男,60〜64歳,…,62.3,17.9,164,10,312.4,295.7,663.3,1658,62.2,22.8,168,5,314.9,299.4,516.4,96,62.4,18.8,166,7,280,266.1,548.5,475,62.5,25.3,164,10,279.8,263.9,602.4,186,62.2,29.1,142,8,295.4,280.6,784.1,69,62.7,9.7,163,10,245.2,233.4,483.4,199
2015年,平成27年,男,65〜69歳,…,67.2,14.3,166,10,265.5,250.5,437.2,790,67.4,20.8,170,7,288,273.9,277.7,67,66.8,20.5,170,4,255,248.9,264.6,162,66.5,27.2,175,8,317.8,303.5,474.9,42,66.5,17.8,147,0,305.2,305.2,623.2,4,67.4,9.2,163,3,212.5,208.3,359.3,246
2015年,平成27年,男,70歳〜,…,72.7,17.9,165,6,326.8,313.9,361.9,306,74.1,16.6,165,0,221,221,125.1,30,72.9,37.3,170,1,235.8,234.5,261,55,72.3,16.8,178,8,230.1,221.8,310.4,19,-,-,-,-,-,-,-,-,73,11.8,170,3,201.8,198.2,90.4,67
2015年,平成27年,男,…,10〜99人,45.1,12.1,172,12,327.3,304.9,549.8,7582,44.9,12.3,170,7,319,304.3,468.1,1168,45.5,13.5,170,13,325.7,299.3,578.7,2618,43.5,12.9,178,12,322.1,302.2,525.3,1103,47.6,16.6,162,2,400.8,397.8,969.9,73,48.8,10.8,169,13,301,282.3,752.6,726
2015年,平成27年,男,…,100〜999人,44.1,12.3,166,15,365.4,334.3,908.1,9776,42.3,10.8,182,17,399.4,364.8,812.2,586,43,15.5,168,16,369.6,336.2,1200.8,2988,42,14.6,166,10,334.9,316.6,977.7,1100,44.4,14,157,8,417.9,401.5,1528.6,38,51.5,8.1,160,7,242.5,230.3,424.5,785
2015年,平成27年,男,…,1000人以上,43.3,15.7,158,17,421.3,378.7,1448.2,7730,45.1,17.8,154,21,432.3,384.4,1747.8,119,43.6,18.8,157,15,439.3,396.7,1744.3,2522,42.2,16.5,157,10,368.4,348,1221.8,745,42.3,16.2,145,16,446.8,405.2,1955.3,716,41,9.3,161,22,312.9,270,515.7,429
2011年,平成23年,女,総数,…,39.4,9.1,166,8,259.9,244.5,769.1,10110,44,11.2,169,5,232.5,223.3,417.2,119,40.9,11.2,166,8,240.1,224.9,569.4,2057,39.1,9.9,168,7,231,219.8,384.5,1600,39.8,10.5,151,13,295.6,269.5,892.4,609,41.6,8.3,166,7,233,221.2,435.9,602
2012年,平成24年,女,総数,…,39.9,9.3,162,8,269.6,250,637.9,12701,38.1,8.3,172,9,235.3,222.1,372.6,222,41.8,11,165,9,228.9,213.9,532.7,2394,38.2,9.4,167,6,221.3,211.8,360.8,1640,39.7,10.4,153,11,281.7,261,858.8,794,40.3,6.8,158,8,217.9,205.7,380.2,642
2013年,平成25年,女,総数,…,38.2,8.7,160,7,260.3,244.5,595,12609,44.7,11.9,174,2,242.9,239.6,364.5,140,40.2,10.3,163,7,233.2,219.8,533.4,2045,37.4,8,164,6,229.2,220.3,413.6,2093,39.1,10.1,148,12,290.4,266,866.4,906,42,6.7,156,6,214.3,203.6,301.3,697
