職種,性別,年齢(歳),勤続年数(年),所定内実労働時間数(時間),超過実労働時間数(時間),きまって支給する現金給与額(千円),きまって支給する現金給与額_所定内給与額(千円),年間賞与その他特別給与額(千円),労働者数(十人)
自然科学系研究者,男,39.2,5.9,170,11,433.2,400.6,435.2,104
技術士,男,46.8,20.5,155,9,456.7,434.3,1139.3,75
技術士,女,37.5,15.5,122,13,469.6,430.2,1254.8,4
一級建築士,男,51,15.8,169,9,359.4,337.6,688.9,4
システム・エンジニア,男,41.7,15.1,162,16,357.9,326.9,634.1,86
プログラマー,男,40.1,12.2,171,21,315.3,277.3,587,79
プログラマー,女,27.7,4.9,160,24,263.9,224.5,417.9,10
医師,男,40.9,5.2,152,3,1029.7,984.2,853.3,103
医師,女,44.7,4.5,156,9,858.9,802,392.3,92
歯科医師,男,45.5,1.5,171,43,913.5,690.4,2644.5,3
獣医師,男,43.8,13.8,173,7,922.3,867,0,5
獣医師,女,29.5,1.5,150,0,376.4,376.4,0,2
薬剤師,女,30.7,4.4,163,20,331.4,285.9,639.6,67
看護師,男,38,6.3,157,6,359.4,316.8,942.3,253
看護師,女,38.9,6.6,158,6,343.7,315.3,776.7,1466
准看護師,女,49.8,11.1,152,3,283.8,258.5,772.1,236
看護補助者,男,37.3,11.5,141,2,290,259.3,932.1,88
看護補助者,女,40.9,7,158,1,232,215.3,627.3,282
歯科衛生士,女,35.5,7,166,5,274.1,266.1,482.9,31
歯科技工士,男,43.5,11.5,171,9,259.1,243.7,845.9,3
栄養士,女,32.6,5,163,11,231.5,214.8,505.3,178
保育士(保母・保父),男,34.8,8.4,163,4,275.1,268,832.4,67
保育士(保母・保父),女,35.8,8.9,170,4,235.8,230.3,587.1,725
介護支援専門員（ケアマネージャー）,男,42.9,8.2,175,0,259.4,258.7,715.5,50
介護支援専門員（ケアマネージャー）,女,51.1,9.7,161,4,253.6,245,644.6,126
ホームヘルパー,男,51.6,4.7,148,15,243.4,193.2,422.9,70
ホームヘルパー,女,55.8,7.5,150,8,276.1,262,499.7,149
福祉施設介護員,男,37.7,5.1,164,7,237.7,223.1,523.7,446
福祉施設介護員,女,39.7,5.3,158,5,219.3,206.2,433.4,783
公認会計士、税理士,男,39,9,166,3,793,783.7,2400.4,38
公認会計士、税理士,女,36.5,8.5,158,5,476.3,463.7,2851.4,6
社会保険労務士,女,45.5,8.5,176,0,246.4,246.4,728,2
幼稚園教諭,女,31.9,8.7,179,2,238.9,236,496.7,113
高等学校教員,男,43.2,11.2,175,3,446.3,433.7,1664.3,179
大学教授,男,58.1,15,155,1,713.3,708.8,3430.2,184
大学講師,男,38.7,4.8,163,0,452.3,452.3,965.6,50
大学講師,女,41,4.3,169,0,409.8,409.8,921.2,36
各種学校・専修学校教員,男,48.2,11.9,170,0,486.2,486.2,1302.4,38
個人教師、塾・予備校講師,男,37.2,8.9,173,3,318.8,313.4,637.6,14
個人教師、塾・予備校講師,女,32.5,6.5,163,2,261.8,258.2,532.8,9
デザイナー,男,39.2,13,154,15,280.4,246.4,684,12
デザイナー,女,34.3,8.2,160,8,257,242.1,509.5,46
ワープロ・オペレーター,女,37.9,7.8,174,7,219.7,209.6,450.3,18
キーパンチャー,女,31.5,4.5,176,20,209.5,183.8,101.8,0
電子計算機オペレーター,男,37.7,4.9,176,4,257.3,236.4,484.5,9
電子計算機オペレーター,女,43.5,12.6,147,6,241.4,231.8,841.3,72
百貨店店員,男,39.7,16.3,160,9,304.2,286,861.2,38
百貨店店員,女,44.5,15.6,152,6,233.1,223.3,528.8,87
販売店員(百貨店店員を除く。),男,41,12.2,172,18,306.8,273.7,456.1,586
販売店員(百貨店店員を除く。),女,38,7.2,166,7,212.4,201,369.7,598
スーパー店チェッカー,女,46.1,15.2,164,4,170.1,162.9,176.6,51
自動車外交販売員,男,37.8,14.6,164,15,330.2,298.1,950.5,78
保険外交員,男,41.4,7.9,158,15,431.6,406.4,873.8,30
保険外交員,女,48.8,11.3,138,0,310.3,310.3,631.1,252
洗たく工,女,47,5.4,176,9,194.6,177.8,11.9,69
調理士,男,39.4,8.4,176,20,281.3,247.6,313,259
調理士,女,41.3,8.3,166,9,223.4,209.3,391.3,99
給仕従事者,男,35.9,7.6,170,25,270.7,232.3,309.4,93
給仕従事者,女,34.7,6,171,16,209.7,185.6,145.4,174
娯楽接客員,男,36.5,6.3,176,8,300.7,274.9,206.2,85
娯楽接客員,女,41.9,8.9,169,2,227.3,222,189.7,55
警備員,男,56,8.4,181,30,216.3,181.8,89.3,214
守衛,男,63.6,13.9,149,0,205.1,204.3,415.2,7
自家用乗用自動車運転者,男,62.4,6.1,154,1,220.4,217.4,431.5,26
自家用貨物自動車運転者,男,47.1,9.4,190,6,313.9,305.9,262.5,16
タクシー運転者,男,57.3,7,172,47,272.8,187.4,230.7,583
営業用バス運転者,男,45.9,8.9,174,44,336.9,239.9,636.2,281
営業用大型貨物自動車運転者,男,48.7,14,171,35,380.6,311.1,256,429
営業用普通・小型貨物自動車運転者,男,43.8,8.3,174,28,315.7,268,238.3,479
鋳物工,男,34,7.6,176,6,250.4,227.4,456.4,29
一般化学工,男,46.3,14.7,149,10,296.3,265.1,864.4,58
旋盤工,男,54.1,13.1,144,2,262.7,259.4,1000,19
フライス盤工,男,42.1,11.2,140,36,345,274.7,913.3,40
金属プレス工,男,49.7,10.7,174,6,272.4,260.2,513.8,47
鉄工,男,46.4,14.8,141,43,371.7,259.2,913.6,3
板金工,男,45.8,15.8,181,16,405.8,372.8,1087.7,116
仕上工,男,65.5,35.5,156,0,181.3,181.3,40,1
溶接工,男,39.7,11.1,173,23,314.6,278.6,398.6,53
機械組立工,男,41,14.9,167,16,322.4,288.2,835.3,252
機械検査工,男,47.3,10.2,162,13,310.9,277.6,721.3,64
