西暦,和暦,地域コード,地域,総数(人),農業(人),林業(人),漁業(人),"鉱業,採石業,砂利採取業(人)",建設業(人),製造業(人),電気・ガス・熱供給・水道業(人),情報通信業(人),運輸業，郵便業(人),卸売業，小売業(人),金融業，保険業(人),不動産業，物品賃貸業(人),"学術研究,専門・技術サービス業(人)",宿泊業，飲食サービス業(人),"生活関連サービス業,娯楽業(人)",教育，学習支援業(人),"医療,福祉(人)",複合サービス事業(人),サービス業（他に分類されないもの）(人),公務(他に分類されるものを除く)(人),分類不能の産業(人)
2005年,平成17年,26000,京都府,1246629,33743,※農業と合算,990,303,89557,218188,5352,22185,59129,236545,27366,24941,38433,88880,45961,69965,116828,11625,81896,41278,33464
2010年,平成22年,26000,京都府,1219370,24404,906,744,200,72202,194038,5131,21243,57862,208532,26714,23799,37357,83119,42762,69452,131035,5528,65940,41357,107045
2010年,平成22年,26100,京都市,680855,4885,335,9,31,36055,95601,2134,13259,31639,122946,15105,16348,22833,55949,24028,40823,71338,2017,37294,15562,72664
2010年,平成22年,26101,京都市北区,54928,641,83,2,4,2611,6972,133,894,1986,10074,1257,1611,1960,4714,2051,3978,6341,144,2823,1287,5362
2010年,平成22年,26102,京都市上京区,40016,49,13,-,-,1264,5699,58,826,985,7423,860,1032,1517,3913,1443,3053,4471,97,2234,1232,3847
2010年,平成22年,26103,京都市左京区,74538,429,54,-,3,3175,6254,243,1533,2039,12325,1712,2173,3426,7617,2473,8795,9698,208,3818,1731,6832
2010年,平成22年,26104,京都市中京区,50461,67,4,-,2,1582,6960,128,1374,1387,10204,1316,1523,2219,4644,1966,3334,5216,143,2544,1180,4668
2010年,平成22年,26105,京都市東山区,19156,25,4,-,-,608,2189,33,296,478,3772,315,443,599,3168,786,1033,1552,49,1206,314,2286
2010年,平成22年,26110,京都市山科区,63247,438,7,-,1,4961,8520,207,1134,3629,11339,1318,1361,1889,5119,2386,2656,6926,172,3529,1206,6449
2010年,平成22年,26106,京都市下京区,39703,56,-,1,-,1149,5181,132,1036,1370,8107,1039,1094,1427,3524,1282,1906,3235,120,2291,763,5990
2010年,平成22年,26107,京都市南区,47548,404,3,-,-,2832,8721,204,895,3652,8717,783,891,1161,3225,1511,1447,3568,106,2795,795,5838
2010年,平成22年,26108,京都市右京区,94984,943,146,2,12,5407,15414,283,1713,4343,17163,2130,2239,2738,7543,3502,4618,9637,340,5267,1800,9744
2010年,平成22年,26111,京都市西京区,70309,683,10,2,2,4232,10373,189,1416,3527,12901,1996,1605,2613,4344,2360,4239,7940,216,3577,1782,6302
2010年,平成22年,26109,京都市伏見区,125965,1150,11,2,7,8234,19318,524,2142,8243,20921,2379,2376,3284,8138,4268,5764,12754,422,7210,3472,15346
2010年,平成22年,26201,福知山市,39466,2435,50,4,25,3277,7552,233,201,1917,5819,655,363,755,1850,1261,1674,4447,313,2231,2223,2181
2010年,平成22年,26202,舞鶴市,42110,1354,26,225,12,3752,5259,453,119,1708,6055,743,410,616,2247,1272,1793,4652,286,2286,5266,3576
2010年,平成22年,26203,綾部市,16750,1413,48,2,3,1170,4039,74,111,707,2199,238,119,403,684,518,700,1984,219,945,647,527
2010年,平成22年,26204,宇治市,84684,486,9,1,13,4972,15347,376,1390,4273,13981,1945,1421,2456,4028,3012,4753,9528,285,4240,3850,8318
2010年,平成22年,26205,宮津市,9528,540,21,150,7,843,1014,87,26,369,1654,204,101,173,788,335,502,941,79,537,463,694
2010年,平成22年,26206,亀岡市,44729,1672,45,1,9,3016,8432,220,499,2186,7193,853,574,1105,2309,1648,2272,4845,389,2499,1694,3268
2010年,平成22年,26207,城陽市,36667,575,-,-,22,2120,7475,146,556,1996,6144,898,544,949,1818,1455,1820,4117,153,2063,1441,2375
2010年,平成22年,26208,向日市,25312,273,-,-,2,1616,4737,100,619,1440,4778,655,507,872,1312,924,1303,2696,74,1479,793,1132
2010年,平成22年,26209,長岡京市,36017,352,3,-,1,1904,7667,119,1108,1699,6406,1161,733,1587,1759,1254,2143,4092,122,2028,1152,727
2010年,平成22年,26210,八幡市,33407,597,1,1,2,1920,5614,195,746,2537,6037,824,600,927,1480,1192,1656,3222,135,1857,1004,2860
2010年,平成22年,26211,京田辺市,28826,611,3,-,2,1482,5029,205,750,1470,4635,727,552,953,1654,1002,2166,2720,175,1438,1350,1902
2010年,平成22年,26212,京丹後市,29717,2477,57,180,41,2377,6797,83,79,766,4006,466,112,378,2179,933,1337,3589,376,1302,1139,1043
2010年,平成22年,26213,南丹市,16187,1570,172,1,1,1154,2836,50,123,628,2100,183,144,336,826,535,861,2172,218,775,713,789
2010年,平成22年,26214,木津川市,31137,1137,11,1,2,1810,4096,290,715,1342,5122,829,519,1345,1384,1036,2230,3725,173,1652,1515,2203
2010年,平成22年,26303,乙訓郡大山崎町,6911,58,-,-,-,378,1350,29,200,473,1157,155,153,245,323,213,429,880,37,422,209,200
2010年,平成22年,26322,久世郡久御山町,7884,660,-,-,3,536,1884,21,84,699,1093,82,113,119,348,295,229,613,38,413,226,428
2010年,平成22年,26343,綴喜郡井手町,3628,105,-,-,2,448,642,15,34,203,464,45,45,68,149,147,140,351,22,176,132,440
2010年,平成22年,26344,綴喜郡宇治田原町,4934,404,10,-,4,356,1229,30,42,289,778,64,45,91,153,200,182,491,33,217,206,110
2010年,平成22年,26364,相楽郡笠置町,692,20,2,-,-,69,96,3,2,39,111,18,11,9,48,49,27,98,6,38,44,2
2010年,平成22年,26365,相楽郡和束町,2137,497,9,-,-,182,297,6,12,117,258,30,9,27,66,86,81,192,18,92,87,71
2010年,平成22年,26366,相楽郡精華町,16102,391,3,-,3,898,2440,175,496,576,2681,552,271,789,644,475,1371,1880,94,880,838,645
2010年,平成22年,26367,相楽郡南山城村,1494,245,5,-,1,70,224,13,5,86,161,27,5,24,99,97,68,173,21,63,82,25
2010年,平成22年,26407,船井郡京丹波町,7621,1132,40,2,4,601,1510,27,38,282,902,64,26,131,361,368,291,880,113,372,293,184
2010年,平成22年,26463,与謝郡伊根町,1117,130,17,165,7,88,78,3,-,35,121,12,8,5,123,22,46,121,23,47,63,3
2010年,平成22年,26465,与謝郡与謝野町,11458,385,39,2,3,1108,2793,44,29,386,1731,179,66,161,538,405,555,1288,109,594,365,678
