西暦,和暦,地域コード,地域,総数(人),管理的職業従事者(人),専門的・技術的職業従事者(人),事務従事者(人),販売従事者(人),サービス職業従事者(人),保安職業従事者(人),農林漁業従事者(人),生産工程従事者(人),輸送・機械運転従事者(人),建設・採掘従事者(人),運搬・清掃・包装等従事者(人),分類不能の職業(人)
2005年,平成17年,26000,京都府,1246629,30905,179344,226198,200258,153345,24922,35629,189003,42567,56488,75494,32476
2010年,平成22年,26000,京都府,1219370,28478,183585,211157,171239,152212,25075,25991,163165,37514,45214,70199,105541
2010年,平成22年,26100,京都市,680855,17192,105346,116111,101597,92886,9686,5350,80139,20429,22452,38040,71627
2010年,平成22年,26101,京都市北区,54928,1670,8736,9310,8417,8167,778,748,6061,1319,1604,2786,5332
2010年,平成22年,26102,京都市上京区,40016,1047,7203,7018,6057,6103,714,65,4817,553,743,1893,3803
2010年,平成22年,26103,京都市左京区,74538,2504,17153,12964,10228,11328,856,530,5707,1300,1860,3387,6721
2010年,平成22年,26104,京都市中京区,50461,1614,9123,9555,8498,7097,536,83,5544,780,850,2229,4552
2010年,平成22年,26105,京都市東山区,19156,581,2694,2671,3026,4062,197,32,2030,304,364,945,2250
2010年,平成22年,26110,京都市山科区,63247,1269,8336,10421,9394,8823,897,454,7825,2526,3173,3806,6323
2010年,平成22年,26106,京都市下京区,39703,1106,5941,7313,6531,5216,460,49,3979,707,651,1800,5950
2010年,平成22年,26107,京都市南区,47548,871,5415,7351,6921,5450,738,411,7076,2408,1820,3311,5776
2010年,平成22年,26108,京都市右京区,94984,2057,12840,15835,14325,12988,1365,1082,12891,2994,3575,5400,9632
2010年,平成22年,26111,京都市西京区,70309,2027,11656,12982,10967,8162,1095,699,8010,2264,2554,3701,6192
2010年,平成22年,26109,京都市伏見区,125965,2446,16249,20691,17233,15490,2050,1197,16199,5274,5258,8782,15096
2010年,平成22年,26201,福知山市,39466,767,4930,6079,4312,4226,1563,2451,7185,1208,2043,2546,2156
2010年,平成22年,26202,舞鶴市,42110,775,4743,5691,4420,4646,4613,1569,5849,1521,2463,2278,3542
2010年,平成22年,26203,綾部市,16750,367,2192,2577,1562,1816,285,1461,3567,509,755,1141,518
2010年,平成22年,26204,宇治市,84684,1820,12915,15660,11946,8781,2444,494,11839,2514,3093,4941,8237
2010年,平成22年,26205,宮津市,9528,256,1101,1427,1152,1354,207,713,1180,329,554,566,689
2010年,平成22年,26206,亀岡市,44729,822,5722,7643,5733,5139,873,1736,7467,1594,2008,2746,3246
2010年,平成22年,26207,城陽市,36667,763,5058,6805,5113,4129,752,568,6083,1272,1424,2385,2315
2010年,平成22年,26208,向日市,25312,557,4037,5141,3946,2771,367,290,3573,880,1015,1635,1100
2010年,平成22年,26209,長岡京市,36017,884,7399,8005,5628,3884,505,366,4646,880,1098,2037,685
2010年,平成22年,26210,八幡市,33407,661,4774,6272,5019,3423,494,627,4393,1362,1169,2404,2809
2010年,平成22年,26211,京田辺市,28826,681,4913,5984,4299,3083,625,629,3539,784,826,1592,1871
2010年,平成22年,26212,京丹後市,29717,582,3364,3852,2911,4092,583,2685,6832,691,1591,1495,1039
2010年,平成22年,26213,南丹市,16187,335,2077,2473,1555,2018,279,1660,2808,475,795,925,787
2010年,平成22年,26214,木津川市,31137,676,5905,6517,4428,3084,693,1158,3190,821,978,1536,2151
2010年,平成22年,26303,乙訓郡大山崎町,6911,150,1288,1444,997,751,97,58,1012,225,226,470,193
2010年,平成22年,26322,久世郡久御山町,7884,190,749,1202,805,734,117,645,1564,398,366,689,425
2010年,平成22年,26343,綴喜郡井手町,3628,94,385,599,393,349,41,110,559,176,279,203,440
2010年,平成22年,26344,綴喜郡宇治田原町,4934,90,593,780,528,462,94,404,1030,199,221,422,111
2010年,平成22年,26364,相楽郡笠置町,692,23,70,141,86,113,16,24,95,36,43,43,2
2010年,平成22年,26365,相楽郡和束町,2137,35,184,305,175,225,24,491,320,93,113,100,72
2010年,平成22年,26366,相楽郡精華町,16102,380,3452,3717,2533,1485,361,397,1549,375,450,776,627
2010年,平成22年,26367,相楽郡南山城村,1494,19,172,237,138,213,28,249,210,58,62,83,25
2010年,平成22年,26407,船井郡京丹波町,7621,141,840,953,636,999,101,1148,1491,263,355,508,186
2010年,平成22年,26463,与謝郡伊根町,1117,16,90,142,86,198,16,295,95,38,70,67,4
2010年,平成22年,26465,与謝郡与謝野町,11458,202,1286,1400,1241,1351,211,413,2950,384,765,571,684
