状態等,性別,総数(人),15〜19歳(人),20〜24歳(人),25〜29歳(人),30〜34歳(人),35〜39歳(人),40〜44歳(人),45〜49歳(人),50〜54歳(人),55〜59歳(人),60〜64歳(人),65〜69歳(人),70〜74歳(人),75〜79歳(人),80〜84歳(人),85歳以上(人)
総数,男女計,2289700,122500,163500,148300,155200,191000,190600,161900,146200,147800,213800,177500,156800,130200,94900,89500
有業者,男女計,1293600,17500,90600,122000,124200,153600,153700,134400,120200,112300,124400,68700,34800,22200,10100,4800
有業者_仕事が主な者,男女計,1023100,4900,57100,110600,110400,128000,125700,108200,97100,87300,95900,48900,24800,14400,6900,2900
有業者_仕事は従な者,男女計,255400,12600,32900,11000,12700,24200,26100,25300,22300,22500,26000,18700,9200,7500,2700,1900
有業者_仕事は従な者_家事が主な者,男女計,194200,100,2200,7200,10400,22800,23800,25100,21300,22100,23900,16500,8500,6400,2400,1500
有業者_仕事は従な者_通学が主な者,男女計,45800,12100,29000,2500,1700,200,100,-,100,-,100,-,-,-,-,-
有業者_仕事は従な者_家事・通学以外が主な者,男女計,15400,300,1600,1300,500,1200,2100,200,900,500,2000,2200,700,1000,400,400
無業者,男女計,996100,105000,72900,26300,31100,37300,36900,27500,26000,35600,89300,108800,122000,108000,84800,84700
無業者_家事をしている者,男女計,449800,600,3300,13300,22100,28300,29200,19600,18900,26400,55500,62900,61000,52700,36200,19800
無業者_通学している者,男女計,169900,102100,62300,3700,700,700,100,-,-,200,-,-,100,-,-,100
無業者_その他,男女計,350600,2100,7200,8900,7900,7700,7300,7000,6500,7600,31100,42300,56000,51600,45200,62200
総数,男,1084900,62900,83000,73900,76600,94400,94300,79100,71700,71300,101800,83800,72500,57300,37600,24700
有業者,男,727100,8100,42000,64200,71100,88200,89600,73500,66400,63800,72900,42600,22000,13200,6100,3500
有業者_仕事が主な者,男,677700,2200,24200,62100,69400,86500,87400,72400,65500,62300,69600,37900,19000,11500,5200,2600
有業者_仕事は従な者,男,42200,5900,17600,2000,1300,800,1400,600,300,400,2300,4200,2400,1500,600,800
有業者_仕事は従な者_家事が主な者,男,9400,-,400,300,-,500,200,500,300,400,1000,2300,1800,800,500,500
有業者_仕事は従な者_通学が主な者,男,24400,5600,16100,1400,1000,100,-,-,-,-,100,-,-,-,-,-
有業者_仕事は従な者_家事・通学以外が主な者,男,8400,200,1100,200,300,200,1300,100,-,-,1200,1900,600,800,100,400
無業者,男,357800,54900,41000,9700,5500,6200,4600,5700,5300,7400,28900,41300,50400,44100,31500,21200
無業者_家事をしている者,男,34300,-,500,1800,500,100,900,600,500,1600,3700,5800,5300,5800,5400,1800
無業者_通学している者,男,92200,53400,35600,2300,200,500,-,-,-,200,-,-,100,-,-,-
無業者_その他,男,220000,1200,4900,5500,4800,5300,3800,4700,4700,5200,23700,33600,43100,36300,24300,18800
総数,女,1204800,59600,80500,74400,78700,96600,96400,82800,74500,76600,111900,93700,84300,72900,57300,64800
有業者,女,566500,9500,48600,57800,53100,65400,64100,60900,53800,48400,51500,26200,12800,9000,4000,1300
有業者_仕事が主な者,女,345400,2700,32900,48500,41000,41500,38300,35800,31600,25000,26300,10900,5800,2900,1800,200
有業者_仕事は従な者,女,213200,6700,15300,9000,11300,23400,24700,24700,22000,22100,23700,14500,6800,5900,2100,1000
有業者_仕事は従な者_家事が主な者,女,184800,100,1900,6900,10400,22300,23700,24500,21000,21700,22900,14100,6700,5700,1900,1000
有業者_仕事は従な者_通学が主な者,女,21400,6500,12900,1100,600,100,100,-,100,-,-,-,-,-,-,-
有業者_仕事は従な者_家事・通学以外が主な者,女,7000,100,500,1000,300,1000,800,100,900,500,800,300,100,300,200,-
無業者,女,638300,50100,31800,16600,25600,31100,32300,21800,20700,28100,60400,67500,71500,63900,53300,63500
無業者_家事をしている者,女,415500,600,2800,11500,21600,28200,28300,19000,18500,24800,51800,57100,55700,46900,30800,18000
無業者_通学している者,女,77600,48700,26700,1400,500,200,100,-,-,-,-,-,-,-,-,100
無業者_その他,女,130600,800,2300,3400,3100,2400,3500,2300,1800,2400,7300,8700,12900,15300,20900,43400
